input,output
#balaj#,#balaj#
#bataŋ#,#bataŋ#
#batek#,#batek#
#batu#,#bato#
#bitbit#,#biʔbit#
#bulan#,#bulan#
#buliʔ#,#buliʔ#
#bulud#,#bulud#
#bunut#,#bunot#
#buŋa#,#buŋa#
#bedʒbedʒ#,#bedbed#
#beŋel#,#beŋel#
#buŋa#,#buŋa#
#dahun#,#daʔon#
#dilaʔ#,#dilaʔ#
#duha#,#duwa#
#zeket#,#dɨkɨt#
#kamu#,#kamu#
#ɡatel#,#katel#
#kahiw#,#kajo#
#laŋit#,#laŋit#
#lusuŋ#,#lusuŋ#
#luheʔ#,#luwaʔ#
#lawaʔ#,#lawaʔ#
#manuk#,#manok#
#mata#,#mata#
#ɲamuk#,#namok#
#panaw#,#panaw#
#pusedʒ#,#pusud#
#saŋa#,#saŋa#
#taliŋa#,#taliŋa#
#taŋis#,#taŋis#
#taʔun#,#taʔon#
#tuduŋ#,#tuduŋ#
#talun#,#talon#
#tau#,#tao#
#tales#,#tɐlɐs#
#ʔaledʒaw#,#ʔaldaw#
#anak#,#ʔanak#
#ʔanibuŋ#,#ʔanibuŋ#
#apuk#,#ʔapok#
#hapuj#,#ʔapoj#
#ʔataj#,#ʔataj#
#epat#,#ʔepat#
#heʔe#,#ʔeʔe#
#ʔi#,#ʔi#
#uaʔ#,#ʔuaʔ#
#ʔabu#,#ʔabo#
#ʔapidʒ#,#ʔapid#
#ʔatep#,#ʔatep#
#ʔelad#,#ʔelad#
#hejaʔ#,#ʔɨjaʔ#
