input,output
#huadʒi#,#aɡi#
#anak#,#anak#
#ʔaninu#,#anino#
#ampu#,#apo#
#hapuj#,#apoj#
#hasaŋ#,#asaŋ#
#ʔatep#,#atep#
#awaŋ#,#awaŋ#
#badʒaʔ#,#baɡa#
#bakes#,#balkes#
#banua#,#banwa#
#baseʔ#,#basa#
#batek#,#batek#
#batu#,#bato#
#baŋun#,#baŋon#
#betak#,#betak#
#bili#,#bili#
#binehiʔ#,#bini#
#bubun#,#bobon#
#bulan#,#bolan#
#buluŋ#,#boloŋ#
#buŋa#,#boŋa#
#buka#,#buka#
#bukut#,#bukot#
#buhat#,#buat#
#buʔaja#,#buaja#
#buhuk#,#buek#
#buhek#,#buek#
#bahaw#,#baaw#
#bali#,#bali#
#buŋkul#,#bokol#
#dalikan#,#dalikan#
#zalan#,#dalan#
#dalem#,#dalem#
#danum#,#danum#
#dapan#,#dapan#
#dilaʔ#,#dila#
#duha#,#dua#
#daʔan#,#daan#
#datu#,#datu#
#daŋdaŋ#,#daŋdaŋ#
#diŋdiŋ#,#diŋdiŋ#
#etel#,#etel#
#ɡatel#,#ɡatel#
#ɡanas#,#ɡanas#
#hiket#,#iket#
#ina#,#ina#
#inum#,#inom#
#ʔipil#,#ipil#
#hipun#,#ipon#
#hitu#,#ito#
#ka#,#ka#
#kali#,#kali#
#kapaj#,#kapaj#
#kaput#,#kapot#
#kemel#,#kemel#
#kepkep#,#kepkep#
#kahiw#,#kiew#
#kukuh#,#koko#
#kutu#,#koto#
#kazaŋ#,#karaŋ#
#laki#,#laki#
#laluŋ#,#laloŋ#
#laɲa#,#lana#
#luslus#,#loslos#
#luɡluɡ#,#luɡluɡ#
#luŋkas#,#lukas#
#lukas#,#lukas#
#luheʔ#,#lua#
#laban#,#laban#
#lapad#,#lapar#
#likuʔ#,#liko#
#lumu#,#lomo#
#madʒa#,#maɡa#
#manuk#,#manok#
#mata#,#mata#
#nihawa#,#nawa#
#ʔuban#,#oban#
#ukuk#,#okok#
#ʔuledʒ#,#oleɡ#
#ʔules#,#oles#
#uliʔ#,#oli#
#ʔulu#,#olo#
#unah#,#ona#
#ʔuzan#,#oran#
#hutek#,#otek#
#uak#,#owak#
#huj#,#oj#
#huab#,#oab#
#palaʔpaʔ#,#palapa#
#paliŋ#,#paliŋ#
#paniki#,#paniki#
#paʔit#,#pait#
#pahuʔ#,#pao#
#peket#,#peket#
#pespes#,#pespes#
#pikit#,#pikit#
#punas#,#ponas#
#pusuʔ#,#poso#
#putiʔ#,#puti#
#para#,#pala#
#paladʒ#,#palar#
#pusuʔ#,#poso#
#sabaŋ#,#sabaŋ#
#saʔebit#,#sabit#
#saɡu#,#saɡo#
#sakaj#,#sakaj#
#sakit#,#sakit#
#sapuk#,#sapok#
#saŋa#,#saŋa#
#siwaŋ#,#siwaŋ#
#siŋeʔit#,#siŋit#
#siŋʔit#,#siŋit#
#cupcup#,#sopsop#
#suŋut#,#soŋot#
#sudʒa#,#suɡa#
#sual#,#sual#
#siraʔ#,#sira#
#takaw#,#takew#
#tanem#,#tanem#
#tazem#,#tarem#
#tajtaj#,#tajtaj#
#tahaw#,#taew#
#taʔi#,#tai#
#taʔun#,#taon#
#taŋan#,#taŋan#
#teɡteɡ#,#teɡteɡ#
#timid#,#timir#
#tubuʔ#,#tobo#
#tumbuʔ#,#tobo#
#tuluj#,#toloj#
#tumah#,#toma#
#tau#,#tao#
#tuɡtuɡ#,#toɡtoɡ#
#tuluŋ#,#toloŋ#
#ʔubi#,#ubi#
#luaʔ#,#ua#
#aŋkup#,#akop#
#ʔahelu#,#alo#
#ʔanih#,#ani#
#hapedʒes#,#apɡes#
#ampu#,#apo#
#hawak#,#awak#
#ibah#,#iba#
#hituʔ#,#ito#
#ʔuhuŋ#,#ooŋ#
#ʔutaŋ#,#otaŋ#
#huni#,#uni#
#ŋadʒan#,#ŋaran#
#ŋaŋa#,#ŋaŋa#
