input,output
#aliʔ#,#aliaʔ#
#anak#,#anoʔ#
#ampun#,#apun#
#hasaʔ#,#aseaʔ#
#ʔatep#,#atep#
#ati#,#ati#
#hawak#,#awoʔ#
#haŋin#,#aŋin#
#bakbak#,#babaʔ#
#balun#,#balun#
#bataŋ#,#bataŋ#
#beŋkak#,#bekoʔ#
#bener#,#benea#
#bidiŋ#,#bidiŋ#
#binehiʔ#,#biniaʔ#
#belaŋ#,#blaŋ#
#beli#,#blej#
#buaʔ#,#buaʔ#
#bubun#,#bubuen#
#buŋkas#,#bukas#
#bukas#,#bukas#
#buket#,#buket#
#bukuh#,#bukew#
#bulan#,#bulen#
#bulu#,#bulew#
#buʔaj#,#buoj#
#butuʔ#,#butuaʔ#
#buntut#,#butut#
#batu#,#butəw#
#buŋa#,#buŋej#
#buhek#,#buʔ#
#zalan#,#daleun#
#dilaʔ#,#dileaʔ#
#dukut#,#dukuet#
#ɡila#,#ɡilo#
#ʔimpun#,#ipun#
#ʔipun#,#ipun#
#ʔiris#,#iris#
#kabut#,#kabuet#
#kasaw#,#kaseuw#
#kepit#,#kempit#
#kahu#,#ko#
#laki#,#lakəj#
#laŋaw#,#laŋeuw#
#leŋkuŋ#,#lekuŋ#
#lepaw#,#lepaw#
#liket#,#likeut#
#lumut#,#lumuet#
#mama#,#mama#
#nanaʔ#,#naneaʔ#
#natad#,#nateut#
#ʔanibuŋ#,#nibuŋ#
#palu#,#paleuw#
#panaw#,#paneuw#
#papan#,#papeun#
#hapedʒes#,#pedeus#
#pitak#,#pitaʔ#
#puket#,#pukeʔ#
#puʔun#,#pun#
#puʔun#,#puen#
#salaʔ#,#saleaʔ#
#sampaj#,#sapeui#
#simpaŋ#,#sipaŋ#
#suluʔ#,#suluaʔ#
#tazem#,#tadʒeum#
#tales#,#taleus#
#taʔun#,#taweun#
#taʔun#,#tawun#
#teken#,#tekeun#
#teka#,#teko#
#teŋaʔ#,#teŋeəʔ#
#timba#,#timbo#
#titiʔ#,#titiʔ#
#tumah#,#tumej#
#ʔulu#,#ulew#
#ʔumpan#,#upan#
#upaʔ#,#upeaʔ#
#hupiʔ#,#upiaʔ#
#ʔusuŋ#,#usuŋ#
#uaʔ#,#waʔ#
#uaʔ#,#waʔ#
#uaʔ#,#woʔ#
