input,output
#a#,#a#
#taʔaj#,#ae#
#tabad#,#aha#
#taneʔ#,#ano#
#handem#,#aro#
#ʔajuju#,#asusu#
#kasaw#,#ato#
#hasek#,#ato#
#tawan#,#awa#
#deŋan#,#doŋa#
#daʔani#,#dɐni#
#baba#,#haha#
#babaʔ#,#haha#
#balaj#,#hale#
#balu#,#halu#
#panahik#,#hane#
#panaw#,#hano#
#banua#,#hanua#
#papan#,#hapa#
#pasaŋ#,#hata#
#bakuŋ#,#haʔu#
#pirit#,#hiri#
#biseʔak#,#hite#
#betak#,#hoa#
#beli#,#holi#
#peɲu#,#honu#
#butun#,#roma#
#buʔaja#,#huasa#
#busbus#,#huhu#
#bulan#,#hule#
#bulu#,#hulu#
#bunuʔ#,#hunu#
#butun#,#huu#
#puket#,#huʔo#
#tian#,#ie#
#ia#,#ie#
#tiŋtiŋ#,#ii#
#tiktik#,#iki#
#inum#,#inu#
#tindaw#,#iro#
#hikan#,#iʔe#
#kaŋ#,#kaa#
#kakaʔ#,#kaka#
#keŋkeŋ#,#koko#
#kebkeb#,#koko#
#kebit#,#kopi#
#kuk#,#kuu#
#kuŋ#,#kuu#
#laba#,#laha#
#lalak#,#lala#
#dalem#,#lalo#
#lama#,#lama#
#ladʒi#,#lasi#
#lawaʔ#,#lawa#
#laŋaw#,#laŋo#
#laʔia#,#lie#
#lian#,#lie#
#leku#,#loku#
#ludʒan#,#lude#
#lulun#,#lulu#
#lumiʔ#,#lumi#
#lumut#,#lumu#
#laŋit#,#lɐŋi#
#mantalaʔ#,#madala#
#malaŋ#,#mala#
#mekmek#,#momo#
#manuk#,#mɐnu#
#na#,#na#
#ʔanunu#,#nunu#
#ɲatuʔ#,#nɐu#
#uliʔ#,#oli#
#ena#,#ona#
#tebuh#,#oohu#
#tekas#,#oʔa#
#bara#,#para#
#peceʔ#,#pota#
#buliʔ#,#puli#
#buluŋ#,#pulu#
#burit#,#puri#
#picik#,#pwisi#
#dapdap#,#rara#
#daŋdaŋ#,#rara#
#raŋkup#,#raʔu#
#rakup#,#raʔu#
#dikiʔ#,#riʔi#
#duha#,#ro#
#duha#,#rue#
#dahun#,#rɐu#
#ʔataj#,#sae#
#ʔabated#,#sahao#
#ʔatep#,#sao#
#ʔadep#,#saro#
#adʒan#,#sata#
#ʔazaj#,#sate#
#ʔawas#,#sawa#
#siwa#,#siwe#
#ʔaliliŋ#,#sɐlili#
#ʔalu#,#sɐlu#
#ʔasu#,#sɐsu#
#zalan#,#tala#
#salaʔ#,#tala#
#sakaj#,#tataʔe#
#saŋa#,#taŋa#
#sakaj#,#taʔe#
#zaʔat#,#taʔa#
#sakaj#,#taʔe#
#ʔubi#,#uhi#
#ʔuli#,#uli#
#ʔules#,#ulo#
#ʔumun#,#umu#
#ʔuruŋ#,#uru#
#ʔunzur#,#usu#
#usuʔ#,#usu#
#tuʔu#,#uu#
#wakaʔ#,#waʔa#
#talih#,#ɐli#
#talisaj#,#ɐlite#
#taliŋa#,#ɐliŋe#
#talun#,#ɐlu#
#ʔabin#,#ɐpi#
#tasik#,#ɐsi#
#ŋurut#,#ŋuru#
#ɡasɡas#,#ʔaʔasi#
#kima#,#ʔime#
#kua#,#ʔue#
#kahiw#,#ʔɐi#
