input,output
#asuk#,#ahok#
#hadʒek#,#alek#
#huadʒi#,#ali#
#ʔaninu#,#anino#
#hapedʒiʔ#,#apliʔ#
#hapuj#,#apoj#
#ʔatep#,#atop#
#hawak#,#awak#
#bahaw#,#baaw#
#balu#,#balo#
#balaj#,#bali#
#batu#,#bato#
#buŋkul#,#bokol#
#buteʔul#,#botol#
#buteʔul#,#botʔo#
#bunat#,#bunat#
#buliʔ#,#boliʔ#
#daʔan#,#daʔan#
#tilen#,#itlɨn#
#kilat#,#kilat#
#kukuh#,#koko#
#lakaw#,#lako#
#duha#,#lua#
#danum#,#lanum#
#laŋit#,#laŋit#
#manuk#,#manuk#
#ʔules#,#oɨh#
#pudul#,#porol#
#pusuʔ#,#pusuʔ#
#pataʔ#,#pataʔ#
#tahiʔ#,#tajiʔ#
#tian#,#tian#
#tuduŋ#,#toloŋ#
#tamaʔ#,#tamaʔ#
#tiked#,#tiked#
#tidaʔ#,#tilaʔ#
#tuhud#,#toʔol#
#tebuh#,#təboʔ#
#hasaŋ#,#ahaŋ#
#ʔutaŋ#,#otaŋ#
#ʔuŋal#,#oŋol#
#hejup#,#ɨjɨp#
