input,output
#ampun#,#ampuŋ#
#aɲam#,#anaŋ#
#anak#,#anaʔ#
#apa#,#apa#
#ʔazaj#,#are#
#hasaʔ#,#asa#
#hasaŋ#,#asaŋ#
#hasek#,#asiʔ#
#atas#,#ataseʔ#
#ataj#,#ate#
#ʔataj#,#ate#
#ʔatep#,#atuʔ#
#ʔabu#,#awu#
#haŋin#,#aŋiŋ#
#balabaw#,#balawo#
#balidʒa#,#balira#
#baliw#,#baliw#
#balu#,#balu#
#baliw#,#baluj#
#banua#,#banua#
#batu#,#batu#
#babaʔ#,#bawa#
#baba#,#bawa#
#baŋun#,#baŋuŋ#
#bedʒbedʒ#,#bebideʔ#
#beŋkuŋ#,#bekuŋ#
#beli#,#belli#
#besiʔ#,#bese#
#bentuk#,#betuʔ#
#beŋaŋ#,#beŋaŋ#
#beŋat#,#beŋaʔ#
#beŋi#,#beŋi#
#beŋkas#,#beŋkaseʔ#
#biliŋ#,#biliŋ#
#biluk#,#biluʔ#
#binehiʔ#,#bine#
#bities#,#bisiʔ#
#bisul#,#bisuleʔ#
#biŋkuŋ#,#biŋkuŋ#
#bahu#,#bou#
#buaʔ#,#bua#
#buʔaja#,#buala#
#buhat#,#buaʔ#
#buka#,#buka#
#bukuh#,#buku#
#bunbun#,#bumbuŋ#
#buni#,#buni#
#bunuʔ#,#buno#
#buntuʔ#,#buntu#
#bunut#,#bunuʔ#
#buta#,#buta#
#butuʔ#,#butu#
#buŋa#,#buŋa#
#buŋaŋ#,#buŋaŋ#
#buŋkuk#,#buŋkuʔ#
#bulan#,#buɭaŋ#
#datu#,#datu#
#zauʔ#,#dau#
#dahun#,#dauŋ#
#zalan#,#daɭeŋ#
#dedap#,#dedaʔ#
#dilaʔ#,#dila#
#duha#,#dua#
#dukut#,#dukuʔ#
#dujuŋ#,#duluŋ#
#hebut#,#ebuʔ#
#hezam#,#edaŋ#
#hedaw#,#edo#
#ʔaledʒaw#,#ello#
#epat#,#epaʔ#
#ʔetut#,#etuʔ#
#eŋɡem#,#eŋɡuŋ#
#eŋɡuk#,#eŋɡuʔ#
#eɡuk#,#eŋɡuʔ#
#ɡepit#,#ɡepiʔ#
#hiket#,#ikiʔ#
#inum#,#inuŋ#
#ʔio#,#io#
#hipi#,#ipi#
#isu#,#isu#
#ʔitem#,#ituŋ#
#iŋat#,#iŋaʔ#
#kahiw#,#kalu#
#kasaw#,#kaso#
#kabus#,#kawusəʔ#
#kemi#,#kemmi#
#kilat#,#kilaʔ#
#kima#,#kima#
#kenas#,#kinaʔ#
#kuliliŋ#,#kudidiŋ#
#kumi#,#kumi#
#kunidʒ#,#kuniʔ#
#kudin#,#kuriŋ#
#kuru#,#kuru#
#kusu#,#kusu#
#kutu#,#kutu#
#keteŋ#,#kətiŋ#
#lampaʔ#,#lampa#
#laɲa#,#lana#
#latuʔ#,#lato#
#laŋaw#,#laŋo#
#laʔia#,#lia#
#liaŋ#,#liaŋ#
#limas#,#limasəʔ#
#limbun#,#limbuŋ#
#lumut#,#lumuʔ#
#lisehaʔ#,#ləsia#
#liseʔah#,#ləsia#
#manuk#,#manuʔ#
#mata#,#mata#
#ʔamihan#,#miaŋ#
#ɲatuʔ#,#nato#
#nabuʔ#,#nawo#
#nihawa#,#niawa#
#nipis#,#nipiʔ#
#nunuk#,#nunuʔ#
#nusa#,#nusa#
#nepuʔ#,#nəpo#
#palu#,#palu#
#panid#,#panidəʔ#
#paniki#,#paniki#
#peceʔ#,#pesaʔ#
#pesak#,#pesaʔ#
#peŋa#,#peŋa#
#piŋkuk#,#piŋkuʔ#
#pikuk#,#piŋkuʔ#
#puʔun#,#pueŋ#
#pusedʒ#,#puidəʔ#
#pusuʔ#,#puso#
#hapedʒis#,#pədisəʔ#
#sakil#,#sakeləʔ#
#sakit#,#sakiʔ#
#salaʔ#,#sala#
#tasak#,#sasaʔ#
#saut#,#sauʔ#
#taŋis#,#saŋiʔ#
#seŋehit#,#seŋiʔ#
#seŋhit#,#seŋiʔ#
#siwa#,#sio#
#suʔan#,#suaŋ#
#suluʔ#,#suluʔ#
#taʔ#,#ta#
#taʔi#,#tai#
#takaw#,#tako#
#tapa#,#tapa#
#tian#,#tiaŋ#
#tiup#,#tiuʔ#
#tuaj#,#tue#
#tumah#,#tuma#
#tunu#,#tunu#
#tubuʔ#,#tuwo#
#tumbuʔ#,#tuwo#
#tebuh#,#tuwu#
#teken#,#təkiŋ#
#huʔu#,#u#
#ʔuledʒ#,#ulideʔ#
#ʔunedʒ#,#unideʔ#
#upas#,#upaseʔ#
#uduʔ#,#uro#
#ʔutaŋ#,#utaŋ#
#ʔutud#,#utudeʔ#
#ʔulu#,#uɭu#
#wai#,#wai#
#hemaj#,#emme#
#ŋuda#,#ŋura#
