input,output
#hapuj#,#ah#
#ʔalu#,#al#
#alali#,#alal#
#ʔawas#,#aw#
#batu#,#hat#
#peɲu#,#hon#
#buʔaja#,#hua#
#butun#,#hut#
#danum#,#kan#
#lalak#,#lal#
#laŋaw#,#laŋ#
#suluʔ#,#lul#
#lumiʔ#,#lumi#
#luʔemit#,#lumi#
#miʔmiʔ#,#mimi#
#ɲatuʔ#,#nat#
#ɲikɲik#,#nini#
#nepuʔ#,#noh#
#taliŋa#,#paxi#
#budaʔ#,#puh#
#bulat#,#pul#
#buna#,#pun#
#saŋa#,#saŋasaŋ#
#talih#,#tal#
#talisaj#,#talil#
#tasik#,#tax#
#taliŋa#,#taxiŋ#
#taŋis#,#taŋ#
#tiʔaw#,#tioti#
#tekas#,#to#
#ʔumun#,#um#
#dujuŋ#,#xu#
