input,output
#ʔanit#,#anit#
#haŋin#,#aniŋ#
#apa#,#apa#
#hapuj#,#api#
#hapun#,#apuŋ#
#asuŋ#,#asuŋ#
#ʔatep#,#ata#
#awaj#,#awe#
#bahaʔ#,#ba#
#baʔak#,#baak#
#baʔaɡi#,#baɡi#
#bahi#,#bai#
#panaw#,#bano#
#batek#,#bate#
#beŋkaŋ#,#bekaŋ#
#bekaŋ#,#bekaŋ#
#belak#,#bela#
#beli#,#beli#
#benut#,#benut#
#betas#,#beta#
#betu#,#betu#
#beŋis#,#beŋis#
#beŋkak#,#beŋkak#
#beŋuŋ#,#beŋuŋ#
#bilat#,#bila#
#bila#,#bila#
#bilik#,#bilik#
#bitak#,#bitak#
#bintiŋ#,#biti#
#bukbuk#,#bobok#
#abuʔaŋ#,#boʔaŋ#
#buhuk#,#bu#
#buaʔ#,#bua#
#buhat#,#bua#
#bukbuk#,#bubuk#
#budaʔ#,#bura#
#bubuŋ#,#buwuŋ#
#buŋa#,#buŋa#
#buŋaŋ#,#buŋaŋ#
#talaʔ#,#dala#
#kali#,#ɡali#
#ɡatel#,#ɡatar#
#ɡemi#,#ɡemi#
#sai#,#hai#
#siŋket#,#hiket#
#siket#,#hiket#
#suŋkuk#,#huɡu#
#sukuk#,#huɡu#
#ina#,#ina#
#hiras#,#ira#
#eŋkak#,#kak#
#ekak#,#kak#
#kakakₐ#,#kakak#
#karaŋ#,#karaŋ#
#kaŋ#,#kaŋ#
#kek#,#kek#
#kik#,#kik#
#kiliŋ#,#kiliŋ#
#kubu#,#kuwu#
#laledʒ#,#lale#
#laki#,#laʔi#
#laʔia#,#lea#
#leŋkaʔ#,#leka#
#lekaʔ#,#leka#
#lepaw#,#lepo#
#ʔaledʒaw#,#lero#
#liaŋ#,#liaŋ#
#luaʔ#,#lua#
#mamaʔ#,#mama#
#manuk#,#manu#
#mata#,#mata#
#hemis#,#mi#
#emis#,#mi#
#naŋuj#,#nani#
#nilaw#,#nilo#
#ʔanitu#,#nitu#
#ʔu#,#o#
#udehi#,#odi#
#hujuŋ#,#odʒoŋ#
#ʔulu#,#olo#
#hutek#,#otek#
#pasuŋ#,#pahuŋ#
#paliŋ#,#paliŋ#
#palu#,#palo#
#panaj#,#pane#
#pikaŋ#,#pikaŋ#
#puʔun#,#pu#
#puaŋ#,#puaŋ#
#pusedʒ#,#puhe#
#pusuŋ#,#puhuŋ#
#datu#,#ratu#
#reŋut#,#reŋut#
#dahun#,#rouŋ#
#duha#,#rua#
#sampaj#,#sape#
#simpaŋ#,#simpaŋ#
#suku#,#suku#
#sika#,#sika#
#tasik#,#tahi#
#talih#,#tali#
#tama#,#tama#
#taneʔ#,#tana#
#tekuŋ#,#tekuŋ#
#tuhud#,#tur#
#ubet#,#ubet#
#ubuŋ#,#ubuŋ#
#ʔulin#,#uli#
#kulit#,#ulit#
#ʔuma#,#uma#
#ʔunedʒ#,#une#
#ʔutan#,#utaŋ#
#kutu#,#utu#
#hubun#,#uwuŋ#
#bahaʔ#,#wa#
#wanan#,#wana#
#bahu#,#wau#
#babaʔ#,#wawa#
#beɲan#,#wenaŋ#
#binehiʔ#,#wini#
#bitak#,#witak#
#biŋaʔ#,#wiŋa#
#buhek#,#wu#
#buaʔ#,#wua#
#bulan#,#wulaŋ#
#bulu#,#wulu#
#buŋ#,#wuŋ#
#ʔahelu#,#ʔalu#
#anak#,#ʔanak#
#ʔabu#,#ʔawu#
#ʔelaŋ#,#ʔelaŋ#
#elet#,#ʔele#
#ʔeɲek#,#ʔenek#
#ʔetes#,#ʔeta#
#eŋer#,#ʔeŋer#
#inda#,#ʔida#
#ʔila#,#ʔila#
#ʔilaŋ#,#ʔilaŋ#
#kima#,#ʔima#
#ʔipit#,#ʔipi#
#hipun#,#ʔipuŋ#
#idʒuŋ#,#ʔiru#
#ʔuledʒ#,#ʔule#
#ʔulu#,#ʔulu#
#ʔutan#,#ʔuta#
#ʔutin#,#ʔuti#
