input,output
#abaŋ#,#abaŋ#
#ʔabu#,#abo#
#ʔabuk#,#abok#
#akerahaʔ#,#aklahaʔ#
#aluluŋ#,#aluloŋ#
#abuʔaŋ#,#ambuwaŋ#
#ʔamihan#,#amihan#
#ampaw#,#ampaw#
#ʔanuaŋ#,#anwaŋ#
#aɲuliŋ#,#anuliŋ#
#ʔanahaw#,#anahaw#
#anak#,#anak#
#ʔaninu#,#anino#
#ʔanit#,#anit#
#ʔanitu#,#anito#
#ampu#,#apo#
#hapuj#,#apoj#
#ʔasu#,#aso#
#atab#,#atab#
#ʔataj#,#ataj#
#ʔatep#,#atip#
#awaŋ#,#awaŋ#
#ba#,#ba#
#baba#,#baba#
#baɡeʔaŋ#,#baɡaŋ#
#baɡeʔaŋ#,#baɡʔaŋ#
#bahaʔ#,#bahaʔ#
#bakbak#,#bakbak#
#badas#,#balas#
#balik#,#balik#
#baliw#,#baliw#
#baŋbaŋ#,#bambaŋ#
#baseʔ#,#basaʔ#
#batu#,#bato#
#batu#,#bato#
#bahi#,#bai#
#bahi#,#bajiʔ#
#baŋkaʔ#,#baŋkaʔ#
#baŋi#,#baŋi#
#beŋis#,#baŋis#
#baʔak#,#baʔak#
#bedʒbedʒ#,#bidbid#
#betas#,#biɡtas#
#bikaʔ#,#bikakaʔ#
#bikuʔ#,#bikoʔ#
#belbel#,#bilbil#
#beli#,#bili#
#bilik#,#bilik#
#biliŋ#,#biliŋ#
#binehiʔ#,#binhiʔ#
#bitbit#,#bitbit#
#betak#,#bitak#
#bituka#,#bituka#
#biʔak#,#bijak#
#beŋkaŋ#,#biŋkaŋ#
#bekaŋ#,#biŋkaŋ#
#beŋel#,#biŋi#
#bubuŋ#,#buboŋ#
#buʔbuʔ#,#buboʔ#
#budbud#,#budbod#
#buhek#,#buhok#
#bukbuk#,#bukbok#
#buka#,#buka#
#bukal#,#bukal#
#buŋkas#,#bukas#
#bukas#,#bukas#
#bukuh#,#buko#
#bukut#,#bukot#
#bulah#,#bula#
#bulati#,#bulati#
#buri#,#buli#
#bunbun#,#bumbon#
#bunduk#,#bundok#
#buntut#,#buntot#
#bunut#,#bunot#
#bunuʔ#,#bunoʔ#
#busbus#,#busbos#
#butbut#,#butbot#
#buteʔul#,#buto#
#buteʔul#,#butol#
#bulan#,#buan#
#buʔaja#,#buaja#
#buʔaj#,#buʔaj#
#babaʔ#,#babaʔ#
#baɡal#,#baɡal#
#bahaw#,#bahaw#
#balaj#,#bahaj#
#bahuʔ#,#bahoʔ#
#baliʔ#,#baliʔ#
#balu#,#balo#
#baŋun#,#baŋon#
#buhat#,#buhat#
#buŋkul#,#bukol#
#bulu#,#bulo#
#buʔeni#,#buni#
#buŋa#,#buŋa#
#dapdap#,#dapdap#
#daŋdaŋ#,#daraŋ#
#dateŋ#,#datiŋ#
#zaʔit#,#dait#
#daŋdaŋ#,#daŋdaŋ#
#daŋdaŋ#,#dandaŋ#
#dekdek#,#dikdik#
#deket#,#dikit#
#delem#,#dilim#
#ditaʔ#,#ditaʔ#
#diŋdiŋ#,#diŋdiŋ#
#zalan#,#daan#
#zalan#,#daan#
#dahun#,#dahon#
#dilaʔ#,#dilaʔ#
#dujuŋ#,#dujoŋ#
#ɡaris#,#ɡalis#
#ɡasɡas#,#ɡasɡas#
#ɡikɡik#,#ɡikɡik#
#ɡipit#,#ɡipit#
#ɡuham#,#ɡuham#
#ɡuru#,#ɡulo#
#ɡumi#,#ɡumi#
#ɡarus#,#ɡalos#
#ɡiliŋ#,#ɡiliŋ#
#ha#,#ha#
#hadʒek#,#halik#
#hapedʒiʔ#,#hapdiʔ#
#hapit#,#hapit#
#hasek#,#hasik#
#hawhaw#,#hawhaw#
#hiɲaw#,#hinaw#
#hezam#,#hiram#
#hiwid#,#hiwid#
#hejaʔ#,#hijaʔ#
#hejaʔ#,#hijaʔ#
#huj#,#hoj#
#huhuʔ#,#huhoʔ#
#hekut#,#hukot#
#udehi#,#huli#
#huɲus#,#hunos#
#hakut#,#hakot#
#hamuk#,#hamok#
#hapit#,#hapit#
#hasaŋ#,#hasaŋ#
#hasaʔ#,#hasaʔ#
#haŋin#,#haŋin#
#hiras#,#hilas#
#hilat#,#hilat#
#hisuʔ#,#hisoʔ#
#hituʔ#,#hitoʔ#
#huni#,#huni#
#hunus#,#hunos#
#ibah#,#iba#
#ihiʔ#,#ihiʔ#
#ʔelaŋ#,#ilaŋ#
#idʒuŋ#,#iloŋ#
#ʔipit#,#impit#
#inzak#,#indak#
#ina#,#ina#
#inum#,#inom#
#ʔimpun#,#ipon#
#ʔipun#,#ipon#
#ʔitem#,#itim#
#iak#,#iak#
#iu#,#io#
#ʔiuk#,#iok#
#ka#,#ka#
#kahiw#,#kahoj#
#kakakₐ#,#kakak#
#kalumpaŋ#,#kalumpaŋ#
#kemel#,#kamal#
#kanawah#,#kanawa#
#kaskas#,#kaskas#
#katapaŋ#,#katapaŋ#
#katuk#,#katok#
#kawaj#,#kawaj#
#kilab#,#kilab#
#kiluʔ#,#kiloʔ#
#kemes#,#kimis#
#kepkep#,#kipkip#
#kiseɡ#,#kisiɡ#
#kukuh#,#kuko#
#kunu#,#kuno#
#kupkup#,#kupkop#
#kalaw#,#kalaw#
#kapit#,#kapit#
#kampit#,#kapit#
#kampit#,#kapit#
#kazaŋ#,#karaŋ#
#kiliŋ#,#kiliŋ#
#kiput#,#kipot#
#kubu#,#kubo#
#kulat#,#kulat#
#kutu#,#kuto#
#lakadʒ#,#lakad#
#laŋkas#,#lakas#
#lakas#,#lakas#
#lakas#,#lakas#
#lamuk#,#lamok#
#dapet#,#lapit#
#lapuk#,#lapok#
#lawit#,#lawit#
#lawi#,#lawi#
#laŋkaw#,#laŋkaw#
#likuʔ#,#likoʔ#
#limas#,#limas#
#lisehaʔ#,#lisaʔ#
#liseʔah#,#lisaʔ#
#likes#,#liŋkis#
#leŋa#,#liŋa#
#luɡluɡ#,#luɡloɡ#
#luŋkas#,#lukas#
#lukas#,#lukas#
#leŋkuŋ#,#lukoŋ#
#lulun#,#lulon#
#lumpuk#,#lumpok#
#ludaʔ#,#luraʔ#
#luslus#,#luslos#
#lesuŋ#,#lusoŋ#
#luaʔ#,#luwaʔ#
#laban#,#laban#
#lakadʒ#,#lakad#
#dalem#,#lalim#
#laɲa#,#lana#
#lapis#,#lapis#
#laŋaw#,#laŋaw#
#laŋit#,#laŋit#
#linaw#,#linaw#
#luheʔ#,#luhaʔ#
#ludʒan#,#lulan#
#lumut#,#lumot#
#mali#,#mali#
#maliraŋ#,#malilaŋ#
#deket#,#manikit#
#manuk#,#manok#
#mata#,#mata#
#maŋa#,#maŋa#
#musaŋ#,#musaŋ#
#na#,#na#
#ɲikɲik#,#niknik#
#ɲikɲik#,#niknik#
#nipis#,#nipis#
#niŋniŋ#,#niŋniŋ#
#nakaw#,#nakaw#
#nanaʔ#,#nanaʔ#
#nara#,#nara#
#nituʔ#,#nitoʔ#
#palaʔpaʔ#,#palapaʔ#
#paliŋ#,#paliŋ#
#paŋedan#,#pandan#
#panahik#,#panhik#
#pasaʔan#,#pasan#
#paʔit#,#paʔit#
#paʔet#,#paʔit#
#pikit#,#pikit#
#pipis#,#pipis#
#peceʔ#,#pisaʔ#
#pitik#,#pitik#
#piŋkaw#,#piŋkaw#
#pula#,#pula#
#pulut#,#pulot#
#pudul#,#purol#
#putat#,#putat#
#putiʔ#,#putiʔ#
#putul#,#putol#
#pahuʔ#,#pahoʔ#
#paladʒ#,#palad#
#paliŋ#,#paliŋ#
#palu#,#paloʔ#
#panaw#,#panaw#
#pened#,#pinid#
#pisaw#,#pisaw#
#puket#,#pukot#
#pudun#,#pulun#
#punas#,#punas#
#puʔun#,#punoʔ#
#pusedʒ#,#pusod#
#pusuʔ#,#pusoʔ#
#putul#,#putol#
#saʔebit#,#sabit#
#saɡu#,#saɡo#
#cekel#,#sakal#
#sakaj#,#sakaj#
#sakaŋ#,#sakaŋ#
#sakit#,#sakit#
#sampaj#,#sampaj#
#sasah#,#sasa#
#sawa#,#sawa#
#seŋehidʒ#,#saŋhid#
#seŋhidʒ#,#saŋhid#
#saŋa#,#saŋa#
#siŋkul#,#sikol#
#silaw#,#silaw#
#sidʒi#,#sili#
#sitsit#,#sitsit#
#siwaŋ#,#siwaŋ#
#siuk#,#sijok#
#siŋeʔit#,#siŋit#
#siŋʔit#,#siŋit#
#sebuh#,#subo#
#suluʔ#,#suloʔ#
#sumpit#,#sumpit#
#susun#,#suson#
#susuʔ#,#susoʔ#
#suli#,#suwi#
#suŋkit#,#suŋkit#
#sukit#,#suŋkit#
#sakit#,#sakit#
#saruk#,#salok#
#sapak#,#sapak#
#saput#,#sapot#
#silaw#,#silaw#
#siraʔ#,#siraʔ#
#sinduk#,#sirok#
#siduk#,#sirok#
#sulam#,#sulam#
#suŋkit#,#suŋkit#
#tabad#,#tabad#
#tahep#,#tahip#
#tahiʔ#,#tahiʔ#
#talisaj#,#talisaj#
#tazem#,#talim#
#tambak#,#tambak#
#taʔemis#,#tamis#
#taʔmis#,#tamis#
#tanem#,#tanim#
#tapa#,#tapa#
#tapik#,#tapik#
#tajtaj#,#tajtaj#
#taŋa#,#taŋa#
#taʔi#,#taʔe#
#taʔi#,#taʔi#
#atas#,#taʔas#
#taliŋa#,#taʔiŋa#
#tau#,#taʔo#
#taʔun#,#taʔon#
#tebah#,#tibaʔ#
#teɡaŋ#,#tiɡaŋ#
#teɡuk#,#tiɡok#
#tiktik#,#tiktik#
#teken#,#tikin#
#timpaŋ#,#timpaŋ#
#tinzeɡ#,#tindiɡ#
#tizeɡ#,#tindiɡ#
#tepeŋ#,#tipiŋ#
#tida#,#tira#
#tenzeɡ#,#tirik#
#tendek#,#tirik#
#tenzeɡ#,#tirik#
#tedek#,#tirik#
#tindes#,#tiris#
#tian#,#tijan#
#tiŋah#,#tiŋa#
#tuɡtuɡ#,#tuɡtoɡ#
#turik#,#tulik#
#tuluj#,#tuloj#
#tumbuk#,#tumbok#
#tutup#,#tutop#
#tutuŋ#,#tutoŋ#
#tabun#,#tabon#
#tabuʔ#,#taboʔ#
#tahaw#,#tahaw#
#takaw#,#takaw#
#talaʔ#,#talaʔ#
#talu#,#talo#
#tamaʔ#,#tamaʔ#
#tapa#,#tapa#
#tasik#,#tasik#
#tawa#,#tawa#
#taŋis#,#taŋis#
#tau#,#taʔo#
#tenzeɡ#,#tirik#
#tendek#,#tirik#
#tenzeɡ#,#tirik#
#tedek#,#tirik#
#tubuʔ#,#tuboʔ#
#tumbuʔ#,#tuboʔ#
#tuhud#,#tuhod#
#tulak#,#tulak#
#turus#,#tulos#
#tuluŋ#,#tuloŋ#
#tumah#,#tuma#
#tuduŋ#,#turoŋ#
#tuzuʔ#,#turoʔ#
#tutur#,#tutol#
#ʔubus#,#ubos#
#eŋɡuk#,#uɡok#
#eɡuk#,#uɡok#
#ʔuhaw#,#uhaw#
#ʔuzan#,#ulan#
#uliʔ#,#uliʔ#
#umel#,#umi#
#ʔunus#,#unos#
#upus#,#upos#
#ʔetut#,#utot#
#ʔutut#,#utot#
#uak#,#uwak#
#uliʔ#,#uwiʔ#
#uj#,#uj#
#ʔalun#,#alon#
#ʔanih#,#ani#
#ʔanit#,#anit#
#ʔaledʒaw#,#araw#
#aten#,#atin#
#aten#,#atin#
#ihiʔ#,#ihiʔ#
#ʔilaw#,#ilaw#
#ʔipil#,#ipil#
#ipes#,#ipis#
#ʔipit#,#ipit#
#iŋat#,#iŋat#
#eŋer#,#iŋil#
#ʔuban#,#uban#
#ʔubi#,#ubi#
#ʔubudʒ#,#ubod#
#ʔuhaw#,#uhaw#
#ʔuledʒ#,#uhod#
#ʔulu#,#ulo#
#unah#,#una#
#ʔusuŋ#,#usoŋ#
#ʔutaŋ#,#utaŋ#
#ŋisŋis#,#ŋisŋis#
#ŋitŋit#,#ŋitŋit#
#ŋutŋut#,#ŋutŋot#
#ŋadʒan#,#ŋalan#
#ŋisi#,#ŋisi#
