input,output
#alem#,#alum#
#aja#,#aja#
#bahuʔ#,#bahuʔ#
#badʒaʔ#,#balaʔ#
#bataŋ#,#bataŋ#
#batu#,#batu#
#baŋkaʔ#,#baŋkaʔ#
#buliʔ#,#buliʔ#
#daʔan#,#daan#
#dahun#,#dahun#
#dateŋ#,#datuŋ#
#daŋdaŋ#,#daŋdaŋ#
#dilaʔ#,#dilaʔ#
#deket#,#dukut#
#duha#,#duwa#
#dujuŋ#,#dujuŋ#
#zalan#,#daːn#
#delem#,#duːm#
#ɡila#,#ɡila#
#udehi#,#huli#
#ipen#,#ipun#
#kabus#,#kabus#
#kahiw#,#kahuj#
#kakakₐ#,#kakak#
#kamu#,#kamu#
#kamet#,#kamut#
#kapaj#,#kapaj#
#kasaw#,#kasaw#
#ɡatel#,#katul#
#ɡajam#,#kajam#
#kilat#,#kilat#
#kiput#,#kiput#
#kiŋkiŋ#,#kiŋkiŋ#
#kukuh#,#kukku#
#kutu#,#kutu#
#kuŋkuŋ#,#kuŋkuŋ#
#lalak#,#laak#
#lawaʔ#,#lawaʔ#
#laŋaw#,#laŋaw#
#laŋit#,#laŋit#
#raŋepas#,#laŋpas#
#raŋpas#,#laŋpas#
#lisehaʔ#,#lisaʔ#
#liseʔah#,#lisaʔ#
#lubaŋ#,#lubaŋ#
#lumut#,#lumut#
#ludaʔ#,#luraʔ#
#lulun#,#luːn#
#mamaʔ#,#mamaʔ#
#manuk#,#manuk#
#mata#,#mata#
#maŋa#,#maŋa#
#na#,#na#
#nanaʔ#,#nanaʔ#
#nipaʔ#,#nipaʔ#
#nipis#,#nipis#
#paʔit#,#pait#
#pasaŋ#,#pasaŋ#
#piŋkuk#,#pikuk#
#pikuk#,#pikuk#
#pikit#,#piŋkit#
#puket#,#pukut#
#pula#,#pula#
#pened#,#punud#
#pusuʔ#,#pusuʔ#
#putiʔ#,#putiʔ#
#puʔun#,#puun#
#pisaw#,#pisaw#
#pusedʒ#,#pusud#
#pulut#,#puːt#
#saʔebit#,#sabit#
#saʔebit#,#saʔbit#
#sakit#,#sakit#
#saput#,#saput#
#sumpit#,#sumpit#
#salaʔ#,#saːʔ#
#suluʔ#,#suːʔ#
#tanem#,#tanum#
#taŋkaj#,#taŋkaj#
#tian#,#tijan#
#tebuh#,#tubu#
#teken#,#tukun#
#tumpul#,#tumpul#
#teŋaʔ#,#tuŋaʔ#
#tuʔu#,#tuʔu#
#ʔuban#,#uban#
#ʔubudʒ#,#ubud#
#ʔubus#,#ubus#
#ubuŋ#,#ubuŋ#
#ɡuham#,#uɡam#
#ʔuhaw#,#uhaw#
#ukir#,#ukkil#
#ʔuŋal#,#ulaŋ#
#ʔuma#,#uma#
#ʔumpan#,#umpan#
#unah#,#una#
#ʔusuŋ#,#usuŋ#
#ʔutaŋ#,#utaŋ#
#hutek#,#utuk#
#uliʔ#,#uwiʔ#
#ŋadʒan#,#ŋaːn#
#ʔulu#,#uː#
#ʔuledʒ#,#uːd#
