input,output
#mamaʔ#,#amak#
#bak#,#bak#
#bahaʔ#,#bak#
#bara#,#bala#
#bekut#,#bekut#
#beli#,#beli#
#beɲan#,#benon#
#besiʔ#,#besek#
#betu#,#betuʔ#
#embeŋ#,#beŋ#
#bitil#,#bitil#
#bekut#,#bkut#
#batu#,#botu#
#budʒeʔ#,#bulok#
#bulan#,#bulon#
#buluŋ#,#buluŋ#
#buni#,#buni#
#busaw#,#busaw#
#buʔut#,#buut#
#badʒaʔ#,#balaʔ#
#binehiʔ#,#benek#
#bataŋ#,#botoŋ#
#dilaʔ#,#dilak#
#deket#,#dket#
#dalidʒ#,#dolil#
#dahun#,#doun#
#epat#,#fat#
#puʔun#,#fun#
#ɡiliŋ#,#ɡiliŋ#
#hapedʒiʔ#,#hedek#
#pihpih#,#hifi#
#paladʒ#,#holol#
#pusuʔ#,#hosoʔ#
#pusedʒ#,#huhed#
#puket#,#huket#
#pulaʔ#,#huloʔ#
#pulut#,#hulut#
#paʔit#,#heet#
#ikuŋ#,#ikoŋ#
#idʒuŋ#,#iluŋ#
#ʔapah#,#kafa#
#ʔataj#,#kataj#
#kaŋa#,#kaŋa#
#ʔaledʒaw#,#kedaw#
#kanarum#,#kenalum#
#ʔanilaw#,#kenilaw#
#ʔatep#,#ketef#
#ɡatel#,#ketel#
#ʔeti#,#keti#
#kima#,#kima#
#ʔuhuŋ#,#kooŋ#
#kahiw#,#koju#
#ʔuledʒ#,#kuled#
#ʔuzan#,#kulon#
#ʔulu#,#kulu#
#kulat#,#kulot#
#kunidʒ#,#kunil#
#kutu#,#kutu#
#lampaŋ#,#lafaŋ#
#zalan#,#lan#
#lekas#,#lekas#
#duha#,#lewu#
#laʔia#,#leʔije#
#liket#,#liket#
#limun#,#limun#
#laki#,#loɡi#
#laŋit#,#loŋit#
#luʔepit#,#lufit#
#lulun#,#lulun#
#lumut#,#lumut#
#mata#,#mata#
#hemis#,#mi#
#nanaʔ#,#nanak#
#ɲatuʔ#,#natuk#
#nihawa#,#nawa#
#na#,#ne#
#hapuj#,#ofi#
#aluŋ#,#oluŋ#
#manuk#,#onuk#
#salaʔ#,#salaʔ#
#siŋkul#,#siɡol#
#saladeŋ#,#sledeŋ#
#sawa#,#sowu#
#suli#,#suliʔ#
#esuŋ#,#suŋ#
#sual#,#swol#
#taŋ#,#taŋ#
#tiked#,#tiked#
#tiŋkuʔ#,#tiŋkuk#
#teken#,#tken#
#taneʔ#,#tonok#
#tudaʔ#,#tudaʔ#
#tutur#,#tutul#
#uliʔ#,#ulek#
#ʔuhenap#,#unaf#
#huni#,#uni#
#hutek#,#utek#
#ŋaŋa#,#ŋaŋa#
