input,output
#ʔambat#,#abat#
#ʔadep#,#adop#
#ʔadʒeŋ#,#aɡoŋ#
#hawak#,#ak#
#laŋket#,#alhot#
#laket#,#alhot#
#aliʔ#,#ali#
#ʔambat#,#ambat#
#ʔampelas#,#ampolas#
#ʔapelas#,#ampolas#
#ampun#,#ampun#
#anak#,#anak#
#hapuj#,#api#
#ʔampus#,#apus#
#ʔapus#,#apus#
#hasaʔ#,#asa#
#ʔasiʔ#,#asi#
#atas#,#atas#
#huadʒi#,#aŋɡi#
#haŋin#,#aŋin#
#ba#,#ba#
#ba#,#ba#
#babaw#,#babo#
#baʔaɡi#,#baɡi#
#bakbak#,#bakbak#
#balidʒa#,#baliɡa#
#banua#,#banua#
#baraŋ#,#baraŋ#
#bataŋ#,#bataŋ#
#batu#,#batu#
#batuk#,#batuk#
#bahu#,#bau#
#baŋa#,#baŋa#
#baɡal#,#baŋɡal#
#baŋun#,#baŋun#
#birbir#,#bibir#
#bidiŋ#,#bidiŋ#
#bikaʔ#,#biha#
#bilik#,#bilik#
#binaŋa#,#binaŋa#
#bitas#,#bintas#
#bities#,#bitis#
#biŋkas#,#biŋkas#
#bedʒbedʒ#,#bobok#
#bekeladʒ#,#bolak#
#belat#,#bolat#
#belaŋ#,#bolaŋ#
#belbel#,#bolbol#
#beli#,#boli#
#bena#,#bona#
#bener#,#bonor#
#beŋkuŋ#,#boŋkuŋ#
#buaʔ#,#bua#
#bubuŋ#,#bubuŋ#
#buʔaja#,#buea#
#bukuh#,#buhu#
#buka#,#buha#
#bulan#,#bulan#
#buluŋ#,#buluŋ#
#bunbun#,#bunbun#
#buni#,#buni#
#buntal#,#buntal#
#buntul#,#buntul#
#busuk#,#busuk#
#buta#,#buta#
#bituka#,#butuha#
#buŋa#,#buŋa#
#buka#,#buŋka#
#buŋkuk#,#buŋkuk#
#daŋdaŋ#,#dadaŋ#
#daki#,#dahi#
#zalan#,#dalan#
#dalikan#,#dalihan#
#dapdap#,#dapdap#
#datu#,#datu#
#dilaʔ#,#dila#
#diŋdiŋ#,#diŋdiŋ#
#deket#,#dohot#
#dekuŋ#,#dohuŋ#
#deŋan#,#doŋan#
#duha#,#dua#
#zukut#,#duhut#
#dukut#,#duhut#
#ɡaris#,#ɡaris#
#ɡarut#,#ɡarut#
#ɡila#,#ɡila#
#ɡetes#,#ɡotos#
#ɡuham#,#ɡuam#
#ɡutɡut#,#ɡuɡut#
#ɡurit#,#ɡurit#
#kabut#,#habut#
#kaka#,#haha#
#kazaŋ#,#hadʒaŋ#
#kamu#,#hamu#
#karaŋ#,#haraŋ#
#katapaŋ#,#hatapaŋ#
#kahiw#,#hau#
#kilap#,#hilap#
#kima#,#hima#
#kahu#,#ho#
#kemel#,#homol#
#kepit#,#hopit#
#ketuk#,#hotuk#
#kubu#,#hubu#
#kulit#,#hulit#
#kunidʒ#,#hunik#
#kur#,#hur#
#kutu#,#hutu#
#ʔi#,#i#
#idʒuŋ#,#iɡuŋ#
#hikan#,#ihan#
#hiket#,#ihot#
#ikut#,#ihut#
#imbaŋ#,#imbaŋ#
#ʔimpas#,#impas#
#impu#,#impu#
#ina#,#ina#
#inzak#,#indʒak#
#inum#,#inum#
#hipaʔ#,#ipa#
#hipi#,#ipi#
#ipen#,#ipon#
#ipes#,#ipos#
#ʔiris#,#iris#
#iriŋ#,#iriŋ#
#ʔitem#,#itom#
#hejup#,#iup#
#zaʔit#,#dʒait#
#zariŋ#,#dʒariŋ#
#zemak#,#dʒomak#
#ladʒaʔ#,#laɡa#
#laki#,#lahi#
#lakaw#,#laho#
