input,output
#a#,#a#
#ba#,#ba#
#baka#,#baka#
#baraŋ#,#bara#
#biŋaʔ#,#biŋa#
#peɲu#,#bonu#
#beŋel#,#boŋ#
#bukuh#,#buk#
#bukuh#,#bukbuk#
#puliŋ#,#buli#
#bulit#,#bulit#
#ba#,#baː#
#baliw#,#bali#
#ʔi#,#i#
#ia#,#ia#
#ina#,#ina#
#ʔio#,#io#
#ibut#,#ivut#
#ibut#,#iwut#
#kaʔit#,#kait#
#kamit#,#kamit#
#ʔataj#,#kat#
#kilik#,#kilik#
#kinit#,#kinit#
#kebet#,#kobot#
#ʔabu#,#kabu#
#lisehaʔ#,#li#
#liseʔah#,#li#
#liu#,#liu#
#mamin#,#mamin#
#na#,#na#
#nati#,#nat#
#nunuk#,#nunu#
#selep#,#olo#
#ʔeti#,#ot#
#pakul#,#pakul#
#pakut#,#pakut#
#balaj#,#pal#
#paraʔu#,#parau#
#pirit#,#pir#
#punas#,#pun#
#deket#,#rokot#
#talisaj#,#talia#
#tani#,#tani#
#tapis#,#tap#
#taʔun#,#taun#
#taŋis#,#taŋi#
#tek#,#tok#
#tubuʔ#,#tubu#
#tumbuʔ#,#tubu#
#tukik#,#tuk#
#tunu#,#tun#
#tebuh#,#tup#
#huʔu#,#u#
#sual#,#ua#
#ʔulu#,#ul#
#ʔuma#,#uma#
#ʔubi#,#up#
#ʔutud#,#ut#
#ʔutun#,#ut#
#kutu#,#ut#
#uu#,#uu#
#bunat#,#vun#
#punaŋ#,#vuna#
#baŋun#,#waŋun#
#pirit#,#wir#
#butun#,#wutun#
#ŋaŋ#,#ŋa#
#ŋaŋŋaŋ#,#ŋaŋaː#
#ŋaŋaŋ#,#ŋaŋaː#
#ŋekŋek#,#ŋoŋo#
#ŋuk#,#ŋuk#
#ŋutŋut#,#ŋut#
#ŋutŋut#,#ŋuŋut#
