input,output
#hapuj#,#afi#
#hapen#,#afo#
#alali#,#ali#
#atu#,#atu#
#haŋin#,#aŋi#
#baba#,#fafa#
#pauʔ#,#fao#
#baŋa#,#faŋa#
#paʔa#,#faʔa#
#baʔas#,#faʔa#
#bitik#,#fisi#
#peceʔ#,#foa#
#peɲu#,#fonu#
#banua#,#fonua#
#betu#,#fotu#
#buaʔ#,#fua#
#buat#,#fua#
#buhat#,#fua#
#buka#,#fuke#
#bulu#,#fulu#
#buaʔ#,#fuo#
#butun#,#futu#
#bahaʔ#,#faː#
#epat#,#faː#
#paŋedan#,#faː#
#pirit#,#fiː#
#puk#,#fuː#
#zakan#,#haka#
#sakaj#,#hake#
#zalan#,#hala#
#salaʔ#,#hala#
#zaŋan#,#haŋa#
#saŋa#,#haŋa#
#zaʔit#,#haʔi#
#sisi#,#hihi#
#simpa#,#hipa#
#siwa#,#hiva#
#seŋkar#,#hoka#
#sual#,#hua#
#culcul#,#huhu#
#cucul#,#huhu#
#cupcup#,#huhu#
#suliɡ#,#huli#
#suli#,#huli#
#suluŋ#,#hulu#
#suluʔ#,#hulu#
#surup#,#huː#
#ia#,#ia#
#hikan#,#ika#
#ikaj#,#ike#
#inum#,#inu#
#ɡasɡas#,#kahi#
#kasaw#,#kaho#
#kanasaj#,#kanahe#
#kabuʔ#,#kapu#
#kahiw#,#kau#
#kiₐ#,#ki#
#kikik#,#kikiː#
#kulit#,#kili#
#keŋkeŋ#,#koko#
#kutu#,#kutu#
#kik#,#kiː#
#keŋ#,#koː#
#kek#,#koː#
#lambeɡ#,#lafo#
#lakadʒ#,#laka#
#laŋkaʔ#,#laka#
#dalem#,#lalo#
#danum#,#lanu#
#dahun#,#lau#
#dahun#,#lou#
#lawi#,#lave#
#laŋit#,#laŋi#
#laŋaw#,#laŋo#
#lisehaʔ#,#liha#
#liseʔah#,#liha#
#dikiʔ#,#liki#
#diʔdiʔ#,#lili#
#lebleb#,#lolo#
#lemiʔ#,#lomi#
#luaʔ#,#lua#
#luaŋ#,#luo#
#mapu#,#mafu#
#madʒa#,#maha#
#maŋsit#,#mahi#
#malaŋ#,#mala#
#mamaʔ#,#mama#
#manuk#,#manu#
#mata#,#mata#
#mimi#,#mimi#
#miʔmiʔ#,#mimi#
#mekmek#,#momo#
#muda#,#mula#
#ɲamuk#,#namu#
#neknek#,#nono#
#asu#,#ohu#
#baku#,#paku#
#papan#,#papa#
#piluʔ#,#pelu#
#picik#,#pihi#
#bicik#,#pihi#
#pikit#,#piki#
#piŋkaw#,#piko#
#pikel#,#piko#
#bibi#,#pipi#
#bituŋ#,#pitu#
#bekbek#,#popo#
#budaʔ#,#pula#
#buliʔ#,#pule#
#bulut#,#pulu#
#punaŋ#,#puna#
#bak#,#paː#
#picik#,#piː#
#tindaw#,#sio#
#taba#,#tafa#
#tapis#,#tafi#
#tasik#,#tahi#
#tales#,#talo#
#tanem#,#tano#
#saet#,#tao#
#sauʔ#,#tau#
#tawan#,#tava#
#taŋa#,#taŋa#
#taŋis#,#taŋi#
#taʔaj#,#taʔe#
#taʔun#,#taʔu#
#talisaj#,#telie#
#taliŋa#,#teliŋa#
#tebiʔ#,#tofi#
#tekas#,#toka#
#tuli#,#tuli#
#tumah#,#tuma#
#tuna#,#tuna#
#tunu#,#tunu#
#tubuʔ#,#tupu#
#tumbuʔ#,#tupu#
#tutuŋ#,#tutu#
#duha#,#ua#
#huj#,#ui#
#hunus#,#unu#
#huɲus#,#unu#
#udʒan#,#uta#
#wirit#,#vili#
#daŋdaŋ#,#aː#
#irid#,#iː#
#ŋak#,#ŋaː#
#ŋakŋak#,#ŋaːŋaː#
#ŋik#,#ŋiː#
#ŋikŋik#,#ŋiːŋiː#
#ŋuk#,#ŋuː#
#ŋuŋŋuŋ#,#ŋuːŋuː#
#ŋuŋuŋ#,#ŋuːŋuː#
#uduŋ#,#uː#
#duŋduŋ#,#uː#
#ʔasu#,#ʔahu#
#ʔadep#,#ʔao#
#ʔataj#,#ʔate#
#ʔatep#,#ʔato#
#ʔawa#,#ʔava#
#ʔawas#,#ʔava#
#ʔawan#,#ʔawa#
#ʔapit#,#ʔefi#
#ʔi#,#ʔi#
#ʔila#,#ʔila#
#ʔio#,#ʔio#
#ʔisaʔ#,#ʔisa#
#ʔisaʔ#,#ʔisaʔisa#
#ʔitaʔ#,#ʔita#
#ʔiŋet#,#ʔiŋo#
#ʔeti#,#ʔosi#
#ʔatuan#,#ʔotua#
#ʔatulaj#,#ʔotule#
#ʔubi#,#ʔufi#
#ʔuzan#,#ʔuha#
#ʔulin#,#ʔuli#
#ʔulu#,#ʔulu#
#ʔumaj#,#ʔume#
#ʔumun#,#ʔumu#
#ʔunus#,#ʔunu#
#ʔutan#,#ʔuta#
#ʔutek#,#ʔuto#
#ʔuŋal#,#ʔuŋaː#
