input,output
#hapen#,#afo#
#ʔanitu#,#aitu#
#ʔadep#,#alo#
#ʔataj#,#ate#
#ʔatep#,#ato#
#atu#,#atu#
#ʔatuan#,#atua#
#ʔasu#,#au#
#saŋa#,#aŋa#
#haŋin#,#aŋi#
#baʔas#,#faai#
#panaw#,#fano#
#pauʔ#,#fao#
#batu#,#fatu#
#baŋa#,#faŋa#
#pirit#,#fili#
#bitik#,#fiti#
#peceʔ#,#foa#
#peɲu#,#fonu#
#buaʔ#,#fua#
#puliŋ#,#fuli#
#bulu#,#fulu#
#bulu#,#fulu#
#salaʔ#,#hala#
#suŋkit#,#huki#
#suluŋ#,#hulu#
#iʔi#,#ii#
#kulit#,#kili#
#kutu#,#kutu#
#daʔih#,#lae#
#lambeɡ#,#lafo#
#daŋdaŋ#,#lala#
#dalem#,#lalo#
#laŋaw#,#laŋo#
#lisehaʔ#,#lia#
#liseʔah#,#lia#
#limut#,#limu#
#duha#,#lua#
#luaʔ#,#lua#
#madʒa#,#maha#
#mamaʔ#,#mama#
#mata#,#mata#
#ɲamuk#,#namu#
#ʔeti#,#oti#
#pikit#,#piki#
#pikel#,#piko#
#pilit#,#pili#
#bibi#,#pipi#
#bekbek#,#popo#
#buliʔ#,#pule#
#bulut#,#pulu#
#bukbuk#,#pupu#
#taʔaj#,#tae#
#tasik#,#tai#
#talisaj#,#talie#
#tales#,#talo#
#saet#,#tao#
#taʔun#,#tau#
#taŋis#,#taŋi#
#tebiʔ#,#tofi#
#tebiʔ#,#tohi#
#tekas#,#toka#
#teken#,#toko#
#tusiʔ#,#tuhi#
#tuli#,#tuli#
#tuna#,#tuna#
#tunu#,#tunu#
#tubuʔ#,#tupu#
#tumbuʔ#,#tupu#
#ʔuhenap#,#una#
#udʒan#,#uta#
#ŋurut#,#ŋulu#
