input,output
#sapa#,#ava#
#sapa#,#java#
#papan#,#baba#
#sakaj#,#cake#
#sakaj#,#cake#
#salaʔ#,#cala#
#siwa#,#ciwa#
#surup#,#curu#
#danum#,#dranu#
#tusiʔ#,#duci#
#turus#,#duru#
#kahiw#,#kai#
#ɡaris#,#kari#
#ɡila#,#kila#
#kukuh#,#kuku#
#kutu#,#kutu#
#lakadʒ#,#laka#
#laŋkaʔ#,#laka#
#laŋit#,#laŋi#
#laŋaw#,#laŋo#
#lemes#,#lomo#
#limut#,#lumi#
#mamaʔ#,#mama#
#mata#,#mata#
#na#,#na#
#daŋdaŋ#,#rara#
#dapdap#,#rara#
#dahun#,#rau#
#diʔdiʔ#,#riri#
#rebuŋ#,#rovu#
#daʔih#,#raː#
#zalateŋ#,#salato#
#sitsit#,#sisi#
#seŋkar#,#soka#
#suluŋ#,#sulu#
#saet#,#saː#
#tasik#,#taci#
#taliŋa#,#taliŋa#
#tapis#,#tavi#
#taŋis#,#taŋi#
#tindaw#,#tiro#
#tekas#,#toka#
#tebuh#,#tovu#
#tuna#,#tuna#
#taʔaj#,#taː#
#pilu#,#vilu#
#peceʔ#,#voca#
#buni#,#vuni#
#ŋurut#,#ŋudru#
