input,output
#taʔ#,#ta…amma#
#hasaŋ#,#aana#
#hapuj#,#ai#
#halas#,#ala#
#haŋin#,#anni#
#ʔataj#,#ati#
#ʔabu#,#awi#
#ʔawan#,#awna#
#inum#,#emni#
#peɲu#,#eni#
#ʔilih#,#ili#
#imu#,#imi#
#ina#,#ina#
#ʔina#,#ine#
#hiras#,#ira#
#ida#,#ira#
#ibit#,#iwti#
#ɡatel#,#katla#
#kutu#,#kuti#
#kanari#,#kənari#
#lakaw#,#laa#
#ʔaledʒaw#,#lera#
#laʔia#,#lia#
#laŋit#,#lianti#
#liaŋ#,#liena#
#lilin#,#lilli#
#lumut#,#lomti#
#lukut#,#lukti#
#lulun#,#lulli#
#mata#,#mata#
#nasu#,#nai#
#nipaj#,#nipaj#
#nusa#,#noa#
#unah#,#ona#
#ʔutaŋ#,#otna#
#ʔuzan#,#otna#
#balu#,#pali#
#papan#,#papna#
#bunbun#,#pupni#
#datu#,#rai#
#dalem#,#ralma#
#diŋdiŋ#,#rinni#
#duha#,#roa#
#dujuŋ#,#ruini#
#suli#,#suli#
#taʔ#,#ta#
#talih#,#tali#
#zalan#,#talla#
#tanem#,#tamna#
#taʔi#,#tee#
#tebuh#,#tewi#
#tuli#,#tili#
#taliŋa#,#tlina#
#tunu#,#tuni#
#suluʔ#,#uli#
#ʔulin#,#ulli#
#kulit#,#ulti#
#batu#,#wati#
#baba#,#wawa#
#beli#,#weli#
#beraŋ#,#werna#
#betem#,#wetma#
#binehiʔ#,#wini#
#buaʔ#,#woa#
#bulan#,#wolla#
#bulu#,#wuli#
#bunuʔ#,#wuni#
#bukbuk#,#wuwa#
#bubun#,#wuwni#
#hikan#,#iːna#
