input,output
#hezam#,#ada#
#anak#,#ana#
#aɲam#,#ana#
#hasaŋ#,#anca#
#huadʒi#,#andi#
#epat#,#apa#
#apa#,#apa#
#ʔataj#,#ate#
#hakut#,#aŋku#
#baliw#,#bali#
#baliw#,#bali#
#balidʒa#,#balida#
#balun#,#balu#
#bataŋ#,#bata#
#batu#,#batu#
#baba#,#bawa#
#besiʔ#,#benci#
#benut#,#benu#
#bedʒbedʒ#,#bewe#
#binit#,#bini#
#bities#,#biti#
#birbir#,#biwi#
#biŋkuŋ#,#biŋku#
#beliʔ#,#boli#
#betus#,#botu#
#bekaʔ#,#boŋka#
#buhat#,#bua#
#buʔbuʔ#,#bubu#
#budbud#,#bubu#
#buʔaj#,#bue#
#buʔaja#,#buea#
#bukuh#,#buku#
#bulan#,#bula#
#bulan#,#bula#
#bulu#,#bulu#
#buni#,#buni#
#butaʔ#,#bunta#
#budʒeʔ#,#bura#
#burit#,#buri#
#busaj#,#buse#
#buta#,#buta#
#butun#,#butu#
#buŋa#,#buŋa#
#bukut#,#buŋku#
#buŋkuk#,#buŋku#
#zalan#,#dala#
#dalikan#,#dalika#
#diŋin#,#diŋi#
#ɡiliŋ#,#ɡili#
#ɡemi#,#ɡomi#
#ʔibaw#,#hiwo#
#ʔilaŋ#,#ila#
#ina#,#ina#
#nihawa#,#iɲawa#
#nihawa#,#inawa#
#kalumpaŋ#,#kalumpa#
#kanari#,#kanari#
#kahiw#,#kau#
#kilat#,#kila#
#kulit#,#kuli#
#kuman#,#kuma#
#labi#,#labi#
#ladiŋ#,#ladi#
#laledʒ#,#lale#
#lasuʔ#,#lasu#
#leŋa#,#laŋa#
#liaŋ#,#lia#
#lipuʔ#,#lipu#
#luab#,#lua#
#luaʔ#,#lua#
#lumut#,#lumu#
#mamaʔ#,#mama#
#manuk#,#manuk#
#mata#,#mata#
#maŋa#,#maŋa#
#miɲak#,#mina#
#ɲamit#,#nami#
#nanaʔ#,#nana#
#nasu#,#nasu#
#zaŋan#,#ndaŋa#
#duha#,#ndua#
#nepuʔ#,#nopu#
#ʔanuaŋ#,#nua#
#eŋkel#,#oŋko#
#pai#,#pai#
#palu#,#palu#
#papan#,#papa#
#para#,#para#
#pasaŋ#,#pasa#
#peɲu#,#ponu#
#puket#,#puka#
#pusedʒ#,#puse#
#puʔun#,#puu#
#daʔu#,#rau#
#diŋdiŋ#,#rindi#
#rebuŋ#,#robu#
#duha#,#rua#
#salaʔ#,#sala#
#sampaj#,#sampe#
#sawa#,#sawa#
#saŋa#,#saŋa#
#sileŋ#,#silo#
#simpa#,#simpa#
#siwa#,#sio#
#sinduk#,#siru#
#siduk#,#siru#
#siksik#,#sisi#
#sekep#,#soŋko#
#sual#,#sua#
#sulam#,#sula#
#suluʔ#,#sulu#
#sumaŋed#,#sumaŋa#
#taŋkep#,#tako#
#talih#,#tali#
#tambar#,#tamba#
#tapel#,#tampo#
#taneʔ#,#tana#
#taʔepil#,#tapi#
#taʔpil#,#tapi#
#teriŋ#,#tari#
#tasik#,#tasi#
#taʔi#,#taʔi#
#tapi#,#tepi#
#tiktik#,#titi#
#titis#,#titi#
#teka#,#toka#
#telen#,#tolo#
#teduŋ#,#toru#
#tatuʔu#,#totuu#
#tebuh#,#towu#
#tabuʔan#,#towua#
#tudaʔ#,#tuda#
#tumah#,#tuma#
#tumbuk#,#tumbu#
#tunu#,#tunu#
#huʔu#,#u#
#ʔuban#,#ua#
#ʔuzuŋ#,#udʒu#
#ʔulin#,#uli#
#ʔuledʒ#,#ulo#
#ʔulu#,#ulu#
#betak#,#weta#
#binehiʔ#,#wine#
#ŋadas#,#ŋara#
#ŋisi#,#ŋinci#
