input,output
#ʔati#,#aci#
#ʔatip#,#acip#
#daʔan#,#adan#
#ʔalu#,#aho#
#kanasaj#,#aknasaj#
#baŋbaŋ#,#alibaŋbaŋ#
#anak#,#anak#
#ʔaneb#,#aneb#
#hadu#,#aro#
#ʔasiʔ#,#asi#
#tebedʒ#,#atbed#
#ʔatep#,#atep#
#baruk#,#barok#
#titu#,#cito#
#daŋdaŋ#,#daŋdaŋ#
#duha#,#doa#
#hili#,#ili#
#ka#,#ka#
#kaka#,#kaka#
#kamu#,#kamo#
#kahiw#,#kajo#
#kunu#,#kono#
#kutu#,#koto#
#daŋdaŋ#,#manaŋdaŋ#
#manuk#,#manok#
#mata#,#mata#
#maŋa#,#maŋa#
#ɲatuʔ#,#nato#
#niket#,#niket#
#niniʔ#,#nini#
#nuka#,#noka#
#lumut#,#omot#
#lusuŋ#,#osoŋ#
#tuhud#,#otod#
#pia#,#pia#
#pikaŋ#,#pikaŋ#
#punas#,#ponas#
#dalem#,#rahem#
#danum#,#ranom#
#dapan#,#rapan#
#dateŋ#,#rateŋ#
#zaŋan#,#raŋan#
#sakaj#,#sakaj#
#salaʔ#,#sala#
#sitsit#,#sisit#
#suli#,#soli#
#taneʔ#,#tana#
#tabuʔ#,#tavo#
#taŋada#,#taŋara#
#tuna#,#tona#
#tuhud#,#tood#
#ʔubi#,#uvi#
#bahi#,#vai#
#batek#,#vatek#
#batu#,#vato#
#baŋun#,#vaŋon#
#buteʔul#,#vottoh#
#huadʒi#,#wari#
#ŋadʒan#,#ŋaran#
