input,output
#akot#,#ako#
#saman#,#ama#
#ʔaco#,#ao#
#api#,#api#
#dʒalan#,#ara#
#ʔatun#,#atu#
#ike#,#ike#
#ipi#,#ipi#
#sipo#,#ipo#
#kani#,#kai#
#kiadʒo#,#kiato#
#kulit#,#kiri#
#kiwiwi#,#kiui#
#kobit#,#kopi#
#matolu#,#maatoru#
#mai#,#mai#
#maɡa#,#maka#
#mana#,#mana#
#malaʔe#,#marae#
#mataʔ#,#mata#
#mataʔ#,#mata#
#matakut#,#mataku#
#matau#,#matau#
#mate#,#mate#
#matuʔa#,#matua#
#miti#,#miti#
#muri#,#muri#
#nipon#,#nipo#
#ɲoɲu#,#nonu#
#nofo#,#nopo#
#ʔone#,#one#
#onom#,#ono#
#ʔoso#,#oo#
#ʔoti#,#oti#
#soŋe#,#oŋe#
#baban#,#papa#
#papa#,#papa#
#papian#,#papie#
#papine#,#papine#
#patu#,#patu#
#benu#,#penu#
#bikit#,#piki#
#bito#,#pito#
#ponor#,#pono#
#poɲu#,#ponu#
#polon#,#poro#
#buku#,#puku#
#bula#,#pura#
#puri#,#puri#
#buliŋ#,#puri#
#bulut#,#puru#
#pulu#,#puru#
#pudi#,#puti#
#putun#,#putu#
#buŋa#,#puŋa#
#raʔe#,#rae#
#lapa#,#rapa#
#ralom#,#raro#
#laŋo#,#raŋo#
#rere#,#rere#
#lisa#,#ria#
#rikit#,#riki#
#loan#,#roa#
#rua#,#rua#
#druru#,#ruru#
#taʔe#,#tae#
#tanum#,#tanu#
#dʒaot#,#tao#
#tapa#,#tapa#
#tape#,#tape#
#tali#,#tari#
#talos#,#taro#
#tika#,#tika#
#tiko#,#tiko#
#tiro#,#tio#
#toko#,#toko#
#tonuʔ#,#tonu#
#toto#,#toto#
#tuʔa#,#tua#
#tubuʔ#,#tupu#
#tupuʔ#,#tupu#
#tupuʔa#,#tupua#
#tutuk#,#tutu#
#uka#,#uka#
#ʔunap#,#una#
#ule#,#ure#
#ʔulu#,#uru#
#ucan#,#uta#
#wanse#,#vae#
#wase#,#vae#
#wao#,#vao#
#ŋalu#,#ŋaru#
#ŋau#,#ŋau#
