input,output
#tadra#,#aada#
#tabal#,#aba#
#taba#,#aba#
#tabe#,#abe#
#tabu#,#abu#
#taʔe#,#ae#
#taʔe#,#ae#
#tape#,#ahe#
#tapola#,#ahora#
#tapun#,#ahu#
#tapuni#,#ahuni#
#kai#,#ai#
#ai#,#ai#
#tamadʒi#,#amadi#
#ane#,#ane#
#tanoʔ#,#ano#
#ʔatop#,#ao#
#taraɡau#,#araɡau#
#tali#,#ari#
#tali#,#ari#
#kalia#,#aria#
#talise#,#arite#
#talos#,#aro#
#aru#,#aru#
#acan#,#ata#
#acan#,#atei#
#ʔaso#,#ato#
#asok#,#ato#
#taŋa#,#aŋa#
#taŋa#,#aŋa#
#bak#,#baa#
#babak#,#baba#
#babak#,#baba#
#papa#,#baha#
#bali#,#bari#
#bakewak#,#baʔewa#
#bebe#,#bebe#
#bia#,#bia#
#bibit#,#bibi#
#boboc#,#bobo#
#boboŋ#,#bobo#
#boi#,#boi#
#bonot#,#bono#
#posaʔ#,#bota#
#boŋi#,#boŋi#
#puaʔ#,#bua#
#buaʔ#,#bua#
#bubu#,#bubu#
#bubuni#,#bubuni#
#burit#,#buri#
#buliʔ#,#buri#
#puluʔ#,#buru#
#bulut#,#buru#
#buluŋ#,#buru#
#dʒama#,#dama#
#dramut#,#damu#
#damut#,#damu#
#salatoŋ#,#darao#
#draŋi#,#daŋi#
#ridriŋ#,#didi#
#dʒiwaŋ#,#diwa#
#rodrom#,#dodo#
#droŋan#,#doŋa#
#dʒukul#,#duʔu#
#dʒukul#,#duʔu#
#e#,#e#
#kaput#,#ɡahu#
#kanam#,#ɡana#
#draula#,#ɡaura#
#daula#,#ɡaura#
#draula#,#kaura#
#daula#,#kaura#
#komos#,#ɡomo#
#papi#,#hahi#
#papo#,#haho#
#papo#,#haho#
#papo#,#haho#
#pakaʔ#,#haka#
#panek#,#hane#
#pano#,#hano#
#panua#,#hanua#
#panua#,#henua#
#baban#,#hapa#
#paladʒa#,#harata#
#pale#,#hare#
#pale#,#hare#
#pale#,#hare#
#paluʔ#,#haru#
#palu#,#haru#
#bpalu#,#haru#
#alu#,#haru#
#palus#,#haru#
#paluca#,#haruta#
#pasi#,#hasi#
#patu#,#hau#
#pakuŋ#,#haʔu#
#pitolon#,#hioro#
#pilat#,#hira#
#pilak#,#hira#
#pili#,#hiri#
#pilul#,#hiru#
#piluk#,#hiru#
#pisak#,#hita#
#pituʔun#,#hiʔu#
#potas#,#hoa#
#popol#,#hoho#
#popol#,#hoho#
#pokaŋ#,#hoka#
#poɲu#,#honu#
#ponuʔ#,#honu#
#polos#,#horo#
#polok#,#horo#
#pose#,#hote#
#pokaŋ#,#hoʔa#
#puʔaja#,#huasa#
#pudi#,#huɡi#
#pupu#,#huhu#
#pupus#,#huhu#
#puput#,#huhu#
#pupula#,#huhura#
#puke#,#huke#
#puni#,#huni#
#punuʔ#,#hunu#
#buraʔ#,#hura#
#pulan#,#hura#
#pulan#,#hura#
#pulu#,#huru#
#pusa#,#huta#
#busa#,#huto#
#putun#,#huu#
#putu#,#huu#
#butu#,#huu#
#puŋa#,#huŋa#
#pupuŋan#,#huŋa#
#puke#,#huʔe#
#pukot#,#huʔo#
#tiro#,#iro#
#iti#,#isi#
#kakas#,#kaka#
#kape#,#kape#
#karasi#,#karasi#
#kau#,#kau#
#kau#,#kau#
#katou#,#kawou#
#kisoɡ#,#kito#
#kokop#,#koko#
#komos#,#komo#
#kuka#,#kuka#
#kukur#,#kuku#
#madrar#,#mada#
#madrali#,#madari#
#mate#,#mae#
#mapo#,#maho#
#mai#,#mai#
#maʔati#,#mai#
#mamis#,#mami#
#mana#,#mana#
#mana#,#mana#
#maɲawa#,#manawa#
#manoŋi#,#manoŋi#
#manuk#,#manu#
#maʔaɲur#,#manu#
#mabusuk#,#mapusu#
#marau#,#maraːu#
#masakit#,#mataʔi#
#matuʔa#,#maua#
#maŋa#,#maŋa#
#maŋan#,#maŋa#
#maŋan#,#maŋa#
#meme#,#meme#
#momos#,#momo#
#monaki#,#monaɡi#
#mono#,#mono#
#muri#,#muri#
#mwata#,#mwaa#
#mwaloʔ#,#mwaro#
#nadi#,#naɡi#
#napok#,#naho#
#namo#,#namo#
#ɲao#,#nao#
#naɡo#,#naʔo#
#nopuʔ#,#nohu#
#nonok#,#nono#
#ɲoɲop#,#nono#
#ɲoɲop#,#nono#
#nunu#,#nunu#
#nunu#,#nunu#
#nuso#,#nuto#
#tobwa#,#obʷa#
#ʔodaʔ#,#oɡa#
#opus#,#ohu#
#ʔone#,#one#
#onom#,#ono#
#tola#,#ora#
#piras#,#pira#
#piro#,#piro#
#poku#,#poku#
#popol#,#popo#
#pwaka#,#pwaa#
#ladʒe#,#rade#
#lapa#,#rah#
#lapa#,#raha#
#rarap#,#rara#
#ralic#,#rari#
#ralom#,#raro#
#ladʒi#,#rasi#
#laur#,#rau#
#laŋo#,#raŋo#
#lake#,#raʔe#
#rere#,#rere#
#liko#,#riko#
#rilop#,#riro#
#rikiʔ#,#riʔi#
#rodrom#,#rodo#
#ropak#,#roha#
#ropeʔ#,#rohe#
#rokaʔ#,#roka#
#loɡuŋ#,#roku#
#lobi#,#ropi#
#roku#,#roʔu#
#rua#,#rua#
#lupit#,#ruhi#
#akup#,#saku#
#ane#,#sane#
#ʔarop#,#saro#
#ʔalop#,#saro#
#ʔatun#,#sau#
#ʔatu#,#sau#
#pica#,#siha#
#siri#,#siri#
#sisi#,#sisi#
#siki#,#siʔi#
#tubuʔ#,#subu#
#tupuʔ#,#subu#
#suca#,#suda#
#turuʔ#,#suru#
#sabak#,#taba#
#sape#,#tahe#
#sapulu#,#tahuru#
#salap#,#tara#
#sariŋ#,#tari#
