input,output
#ʔarita#,#alik#
#talise#,#dalis#
#tanoʔ#,#dan#
#tokon#,#do#
#tola#,#dun#
#ʔatop#,#kak#
#kalia#,#kali#
#kalika#,#kali#
#katapa#,#katah#
#kaju#,#ki#
#koro#,#kox#
#kupwena#,#kupʷen#
#kururu#,#kuxux#
#lisa#,#lis#
#lom#,#lo#
#mate#,#mak#
#maʔati#,#mak#
#mamata#,#mamak#
#mai#,#me#
#mwasasi#,#mosas#
#mwaɲa#,#moj#
#mwata#,#mwak#
#patu#,#pak#
#boma#,#pom#
#puta#,#puk#
#puʔulu#,#pun#
#pudi#,#pux#
#poɲu#,#puj#
#soka#,#so#
#sulu#,#sun#
#susup#,#susuh#
#tail#,#taj#
#tiki#,#ti#
#ʔone#,#won#
#ʔuraŋ#,#wuh#
#ʔusan#,#wus#
#kuriap#,#wuxi#
#draŋi#,#xak#
#dramut#,#xam#
#damut#,#xam#
#ranum#,#xan#
#rujuŋ#,#xu#
#ɲoɲu#,#ɲoj#
#ɲui#,#ɲu#
#ŋapa#,#ŋah#
