input,output
#aɡup#,#aɡu#
#ʔaco#,#aho#
#ane#,#ane#
#ʔatop#,#ato#
#ʔatun#,#atu#
#aŋak#,#aŋa#
#aŋusu#,#aŋusu#
#ba#,#ba#
#binam#,#bina#
#bio#,#bio#
#boŋi#,#boŋi#
#buta#,#buta#
#raʔani#,#dani#
#druru#,#duru#
#potak#,#fota#
#kaju#,#ɡai#
#ɡama#,#ɡama#
#kani#,#ɡani#
#karani#,#ɡarani#
#sauʔ#,#hau#
#sapulu#,#havulu#
#saŋa#,#haŋa#
#kana#,#kana#
#karis#,#kari#
#kau#,#kau#
#koba#,#koba#
#koro#,#koro#
#laur#,#lau#
#madrali#,#madali#
#mama#,#mama#
#mamis#,#mami#
#mana#,#mana#
#manuk#,#manu#
#matakut#,#mataɡu#
#mapo#,#mavo#
#mimiʔ#,#mimi#
#mono#,#mono#
#muno#,#muno#
#nadi#,#nadi#
#naɡo#,#naɡo#
#natar#,#nata#
#opi#,#ofi#
#ʔoso#,#oho#
#onom#,#ono#
#palala#,#palala#
#patu#,#patu#
#pwau#,#pau#
#baban#,#pava#
#pintik#,#pidi#
#piriŋ#,#piri#
#pintik#,#piti#
#bonor#,#pono#
#boɲu#,#poɲu#
#buku#,#puku#
#rua#,#rua#
#siuʔ#,#siu#
#sipi#,#sivi#
#sipiri#,#siviri#
#soka#,#soka#
#sonom#,#sono#
#taba#,#taba#
#tabu#,#tabu#
#tanoʔ#,#tano#
#tapola#,#tavotha#
#taŋop#,#taŋo#
#tete#,#tete#
#loki#,#thoki#
#loto#,#thoto#
#tiro#,#tiro#
#ʔatita#,#tita#
#tola#,#tola#
#tolira#,#tolira#
#tusuʔ#,#tuhu#
#tupa#,#tuva#
#ʔusan#,#uha#
#ʔulu#,#ulu#
#mwata#,#umata#
#ʔuraŋ#,#ura#
#uɲus#,#uɲu#
#pwasa#,#vaha#
#pasu#,#vahu#
#pano#,#vano#
#panua#,#vanua#
#pari#,#vari#
#papine#,#vavine#
#paŋan#,#vaŋa#
#paŋoda#,#vaŋoda#
#ponuʔ#,#vonu#
#poɲu#,#voɲu#
#puʔaja#,#vua#
#pudi#,#vudi#
#pusa#,#vuha#
#pulan#,#vula#
#putun#,#vutu#
#puŋao#,#vuŋao#
#ɲabi#,#ɲapi#
#ɲoro#,#ɲoro#
#ŋara#,#ŋara#
