input,output
#ʔaco#,#aho#
#baluc#,#balhu#
#binu#,#binu#
#bio#,#bio#
#buburu#,#buburu#
#buliʔ#,#buli#
#pilak#,#fila#
#pupuk#,#fufu#
#buraʔ#,#fura#
#puaʔ#,#fuʔa#
#buaʔ#,#fuʔa#
#kamu#,#ɡamu#
#sake#,#haɡe#
#lako#,#lao#
#loto#,#lotho#
#mapo#,#mafo#
#mama#,#mama#
#mamis#,#mamhi#
#muno#,#muno#
#nadi#,#nadi#
#nuso#,#nuho#
#oŋkol#,#oɡo#
#siku#,#seku#
#tabu#,#tabu#
#tadal#,#tada#
#tapa#,#tava#
#tiro#,#thiro#
#tupa#,#thufa#
#tiro#,#tiro#
#toɲom#,#tomno#
#tupa#,#tufa#
#ʔulu#,#ulu#
#pwasa#,#vahara#
#wanse#,#vahe#
#wase#,#vahe#
#waɡa#,#vaka#
#paluca#,#valuha#
