input,output
#ʔanunu#,#anunu#
#pasu#,#asu#
#binam#,#binama#
#kawar#,#kawara#
#kori#,#koli#
#kwarara#,#kʷalala#
#lusa#,#lusa#
#manuk#,#manua#
#matakut#,#matauta#
#maja#,#mea#
#muri#,#muria#
#mwata#,#mwata#
#natar#,#natala#
#boma#,#poma#
#poku#,#pou#
#puri#,#puli#
#ropa#,#roa#
#rua#,#rua#
#sobu#,#sobu#
#tabwa#,#tabʷa#
#toka#,#toa#
#tutup#,#tutupa#
#pudi#,#udi#
#waɡa#,#waɡa#
#papine#,#waine#
#papine#,#wiwine#
#ʔatop#,#ʔatoa#
#ʔawa#,#ʔawa#
#ʔenop#,#ʔeno#
#ʔue#,#ʔue#
#kupwena#,#ʔupʷena#
