input,output
#babaŋ#,#baba#
#baka#,#baka#
#balaŋi#,#balaŋi#
#bali#,#bali#
#bari#,#bari#
#bati#,#bati#
#baban#,#bava#
#bweka#,#beka#
#bele#,#bele#
#belu#,#belu#
#benu#,#benu#
#bilak#,#bila#
#boi#,#boi#
#polaʔ#,#bola#
#bona#,#bona#
#boŋa#,#boŋa#
#boŋi#,#boŋi#
#pupula#,#bubula#
#buku#,#buku#
#burit#,#buli#
#buliʔ#,#buli#
#bura#,#bura#
#buta#,#buta#
#bebe#,#beːbeː#
#ʔait#,#cai#
#ʔait#,#cai#
#sake#,#cake#
#apon#,#cavo#
#saŋa#,#caŋa#
#aŋin#,#caŋi#
#aŋo#,#caŋo#
#siul#,#ciu#
#dʒiŋana#,#ciŋana#
#soka#,#coka#
#soɡo#,#coko#
#solos#,#colo#
#sumu#,#cumu#
#si#,#ciː#
#da#,#da#
#tali#,#dali#
#taliŋa#,#daliŋa#
#talos#,#dalo#
#tamanu#,#damanu#
#taɲipa#,#daniva#
#tape#,#dave#
#tokon#,#doko#
#tonuʔ#,#donu#
#rano#,#drano#
#ranum#,#dranu#
#tupa#,#duva#
#taʔe#,#deː#
#e#,#e#
#kopu#,#ɡovu#
#ibe#,#ibe#
#ibo#,#ibo#
#ike#,#ike#
#ilo#,#ilo#
#irir#,#iri#
#ʔiro#,#iro#
#ipi#,#ivi#
#kabe#,#kabe#
#kabit#,#kabi#
#kaput#,#kabu#
#kasika#,#kacika#
#kadik#,#kadi#
#kadrut#,#kadru#
#kai#,#kai#
#kakap#,#kaka#
#kalaʔabusi#,#kalabuci#
#kalapo#,#kalavo#
#kalik#,#kali#
#kalia#,#kalia#
#kana#,#kana#
#kanase#,#kanace#
#karak#,#kara#
#kwarara#,#karawa#
#katae#,#kataː#
#kaju#,#kau#
#kapika#,#kavika#
#kapuru#,#kavuru#
#kedʒu#,#kesu#
#ki#,#ki#
#kila#,#kila#
#kili#,#kili#
#koka#,#koka#
#kokok#,#kokoː#
#koro#,#koro#
#koŋe#,#koŋe#
#kuka#,#kuka#
#kukur#,#kuku#
#ɡurat#,#kura#
#kupuk#,#kuvu#
