input,output
#ʔaʔe#,#aɡe#
#kaju#,#ai#
#ʔanunu#,#anunu#
#ʔawa#,#awa#
#ʔase#,#aze#
#baniŋ#,#bani#
#bekas#,#beɡa#
#bio#,#bio#
#boŋi#,#boŋ#
#puaʔ#,#bua#
#buaʔ#,#bua#
#damwa#,#damo#
#draula#,#daula#
#daula#,#daula#
#ipi#,#ipi#
#icuŋ#,#izu#
#lakas#,#la#
#lako#,#laɡo#
#laman#,#laman#
#latoŋ#,#lato#
#liko#,#lio#
#luŋan#,#luŋ#
#mama#,#mama#
#matakut#,#mataɡuzi#
#matakut#,#mataɡuza#
#mate#,#mate#
#masakit#,#mazai#
#moɲak#,#mona#
#muri#,#mur#
#naɡo#,#naɡo#
#ɲoɲu#,#nono#
#oʔo#,#oo#
#padran#,#pada#
#pwalaʔ#,#pala#
#piso#,#piso#
#pintik#,#piti#
#pose#,#poze#
#puaʔ#,#pua#
#buaʔ#,#pua#
#puʔaja#,#puɡaja#
#rere#,#rere#
#rua#,#rua#
#rujuŋ#,#rui#
#saman#,#sama#
#sipo#,#sio#
#sisi#,#sisi#
#sonom#,#son#
#tadal#,#tada#
#tanoʔ#,#tano#
#taŋa#,#taŋa#
#tiro#,#tiro#
#tokon#,#toɡo#
#totok#,#totok#
#topoŋ#,#tovo#
#tuʔa#,#tua#
#turuʔ#,#turu#
#tutuk#,#tutu#
#ʔuto#,#uto#
#uton#,#uton#
#ʔutup#,#utu#
#pani#,#van#
#pasok#,#vazok#
#ponuʔ#,#von#
#pose#,#voze#
#waɡa#,#waŋɡa#
#api#,#jap#
#ŋau#,#ŋa#
#ŋau#,#ŋau#
