input,output
#ʔaʔe#,#ahe#
#amatu#,#amatu#
#kani#,#ani#
#ʔanunu#,#anunu#
#ʔatun#,#atunu#
#ʔawa#,#awa#
#karat#,#ɡala#
#rua#,#hua#
#kodʒom#,#koso#
#kukur#,#kuku#
#rujuŋ#,#lui#
#malai#,#malai#
#manuk#,#manu#
#marau#,#marau#
#mate#,#mate#
#mona#,#mono#
#mwata#,#mota#
#muʔa#,#muɡha#
#muri#,#muhi#
#panako#,#panaho#
#patu#,#patu#
#pica#,#pira#
#poɲu#,#ponu#
#pose#,#pore#
#puni#,#puni#
#pukot#,#puo#
#pudi#,#puri#
#butul#,#putu#
#sapulu#,#ravulu#
#susup#,#ruru#
#sake#,#sae#
#sipo#,#sio#
#taʔe#,#tahe#
#talise#,#talire#
#taliŋa#,#taliŋa#
#tanoʔ#,#tano#
#tete#,#tete#
#tue#,#tue#
#tubu#,#tuvu#
#tubuʔ#,#tuvu#
#tupuʔ#,#tuvu#
#boŋi#,#voŋi#
#puaʔ#,#vua#
#buaʔ#,#vua#
#waɡa#,#waɡha#
#pai#,#wai#
#wanse#,#ware#
#wase#,#ware#
#ŋiŋis#,#ŋiŋi#
