input,output
#nadi#,#naɡi#
#tadra#,#ada#
#tapola#,#afola#
#tali#,#ali#
#tali#,#ali#
#talos#,#alo#
#tanoʔ#,#ano#
#tanom#,#ano#
#taŋa#,#aŋa#
#baban#,#baba#
#bali#,#bali#
#bara#,#bara#
#barat#,#bara#
#bebe#,#bebe#
#bibit#,#bibi#
#binam#,#bina#
#boboŋ#,#bobo#
#bonot#,#bono#
#boŋi#,#boŋi#
#puat#,#bua#
#buat#,#bua#
#bubu#,#bubu#
#buliʔ#,#buli#
#bulos#,#bulo#
#puluʔ#,#bulu#
#buluŋ#,#bulu#
#bulut#,#bulu#
#burit#,#buri#
#busa#,#buta#
#dʒama#,#dama#
#raʔani#,#dani#
#droŋan#,#doŋa#
#papa#,#fafa#
#papi#,#fafi#
#papo#,#fafo#
#pala#,#fala#
#paladʒa#,#falata#
#panek#,#fane#
#panua#,#fanua#
#paro#,#faro#
#pasi#,#fasi#
#pasa#,#fata#
#piro#,#filo#
#pitolon#,#fiolo#
#pica#,#fita#
#papo#,#fofo#
#pokaʔ#,#foɡa#
#polaʔ#,#fola#
#polac#,#fola#
#polos#,#folo#
#poɲu#,#fonu#
#pose#,#fote#
#patu#,#fou#
#puat#,#fua#
#puʔaja#,#fuasa#
#pudi#,#fudi#
#pupuk#,#fufu#
#pupuk#,#fufu#
#puput#,#fufu#
#pupuŋ#,#fufu#
#pui#,#fui#
#buraʔ#,#fula#
#pulan#,#fula#
#puro#,#fulo#
#pulu#,#fulu#
#puni#,#funi#
#punuʔ#,#funu#
#pusa#,#futa#
#putun#,#fuː#
#buu#,#fuː#
#puat#,#fuːa#
#kaput#,#ɡafu#
#iput#,#ifu#
#ʔiro#,#iro#
#tiro#,#iro#
#icuŋ#,#isu#
#kadik#,#kadi#
#kamu#,#kamu#
#kanam#,#kana#
#kakas#,#kasi#
#kau#,#kau#
#korit#,#kori#
#kulabo#,#kulabo#
#kururu#,#kururu#
#wati#,#kwai#
#wanse#,#kwate#
#wase#,#kwate#
#ralic#,#lali#
#ralom#,#lalo#
#laur#,#lau#
#laŋi#,#laŋi#
#laŋo#,#laŋo#
#leʔo#,#leo#
#liʔo#,#lio#
#lisa#,#lite#
#lukun#,#luku#
#mate#,#mae#
#mapo#,#mafo#
#maʔati#,#mai#
#mwaloʔ#,#malo#
#manuk#,#manu#
#masakit#,#matai#
#mwasasi#,#matasi#
#matuʔa#,#maua#
#matakut#,#mou#
#matuʔa#,#moua#
#muru#,#mulu#
#muno#,#muno#
#napok#,#nafo#
#namo#,#namo#
#nana#,#nana#
#naɡo#,#nao#
#naku#,#nau#
#nuso#,#nuto#
#opun#,#ofu#
#tola#,#ola#
#ona#,#ona#
#ona#,#ona#
#ʔone#,#one#
#onom#,#ono#
#rarap#,#rara#
#rodrom#,#rodo#
#rua#,#rua#
#ʔatita#,#saia#
#ane#,#sane#
#ʔatop#,#sao#
#ʔasu#,#sasu#
#acan#,#sata#
#ʔasam#,#sata#
#ʔaco#,#sato#
#ʔatun#,#sau#
#ʔatu#,#sau#
#sipo#,#sifo#
#siko#,#siko#
#siri#,#siri#
#siuʔ#,#siu#
#sua#,#sua#
#surup#,#suru#
#sabakap#,#tabaː#
#sake#,#tae#
#sapulu#,#tafulu#
#saʔit#,#tai#
#dʒalan#,#tala#
#sali#,#tali#
#sauʔ#,#tau#
#sau#,#tau#
#solos#,#tolo#
#sosop#,#toto#
#sou#,#tou#
#saʔat#,#taː#
#uton#,#uo#
#ʔuraŋ#,#ura#
#ʔusur#,#usu#
#usuri#,#usuli#
#ʔusan#,#uta#
#uso#,#uto#
#mwamwaki#,#wawaki#
#tabu#,#aːbu#
#karak#,#aːra#
#ŋara#,#ŋara#
#ŋeŋe#,#ŋeŋe#
#ŋoŋoŋ#,#ŋoŋoː#
#ŋek#,#ŋeː#
#toko#,#oː#
#kai#,#ʔai#
#kaju#,#ʔai#
#tawasi#,#ʔakʷasi#
#karaɡwam#,#ʔalaɡa#
#kodʒom#,#ʔoto#
