input,output
#ʔatop#,#ak#
#ʔalo#,#an#
#drali#,#can#
#tola#,#con#
#rujuŋ#,#cu#
#tokon#,#do#
#ʔasu#,#esu#
#paluca#,#heluh#
#api#,#dʒeh#
#kaju#,#kaj#
#katita#,#ketik#
#ʔatita#,#ketik#
#koro#,#koh#
#kupwena#,#kupʷen#
#kururu#,#kuruh#
#lako#,#la#
#ladʒe#,#lac#
#lisa#,#lih#
#loto#,#lok#
#mwaɲa#,#mon#
#mwasasi#,#morah#
#mwata#,#mwak#
#nopuʔ#,#noh#
#panapa#,#panah#
#patu#,#pok#
#pudi#,#puh#
#puta#,#puk#
#rato#,#rak#
#sakau#,#saːkow#
#sipiri#,#sihih#
#soŋe#,#son#
#kuriap#,#uri#
