input,output
#ʔarita#,#alis#
#ʔalo#,#an#
#baluc#,#ban#
#panapa#,#banap#
#pail#,#bei#
#patu#,#bek#
#boŋi#,#ben#
#pose#,#bos#
#poɲu#,#boj#
#pupu#,#bu#
#pudi#,#bur#
#puʔulu#,#buʔun#
#drali#,#dran#
#tola#,#dron#
#rujuŋ#,#dru#
#kapiku#,#kahew#
#ʔatop#,#kak#
#kalika#,#kalik#
#kiadʒo#,#kies#
#lako#,#la#
#ladʒe#,#las#
#loto#,#lok#
#maʔati#,#mek#
#mimiʔ#,#mim#
#mwanene#,#monnen#
#masou#,#morow#
#mwaɲa#,#moj#
#nai#,#naj#
#ʔone#,#on#
#sakau#,#saʔ#
#soŋe#,#son#
#tokalaur#,#tolaw#
#ɲui#,#ɲuw#
