input,output
#laŋi#,#leŋ#
#ane#,#an#
#ʔatai#,#ataj#
#saman#,#cam#
#dʒalan#,#can#
#salaŋ#,#can#
#sipiri#,#cihi#
#sulu#,#cun#
#ʔarita#,#eit#
#pati#,#hat#
#kanase#,#kanas#
#kanawe#,#kanaw#
#kabe#,#kap#
#katapa#,#katah#
#kalika#,#keli#
#kiadʒo#,#kiec#
#koro#,#ko#
#lako#,#la#
#ladʒe#,#lac#
#ladʒi#,#las#
#loto#,#lot#
#lau#,#low#
#mapua#,#mahu#
#mamata#,#mamat#
#maʔati#,#mat#
#mai#,#me#
#matau#,#motow#
#mwaɲa#,#moɲ#
#mwasasi#,#mwasas#
#mwata#,#mwat#
#nai#,#naj#
#nopuʔ#,#noh#
#rodrom#,#o#
#padran#,#pa#
#baluc#,#pan#
#panapa#,#panah#
#patu#,#pat#
#papine#,#pihin#
#boma#,#pom#
#poɲu#,#poɲ#
#pudi#,#pu#
#pupu#,#puh#
#puʔulu#,#pun#
#puta#,#put#
#sabutu#,#saput#
#tanoʔ#,#tan#
#tail#,#taj#
#taʔe#,#te#
#taɲipa#,#tenih#
#tiki#,#ti#
#tokon#,#to#
#tokalaur#,#tolaw#
#rujuŋ#,#u#
#ɲoro#,#ɲo#
#ŋapa#,#ŋah#
#ŋapa#,#ŋah#
#ranum#,#ʔan#
#draŋi#,#ʔaŋ#
