input,output
#karawina#,#arawin#
#aura#,#aur#
#paŋan#,#aŋ#
#kapiku#,#kahew#
#kabe#,#kam#
#kamu#,#kamu#
#kanawe#,#kana#
#kanase#,#kanas#
#katapa#,#karap#
#ʔatop#,#kat#
#kaju#,#ke#
#kapika#,#keik#
#kalika#,#kelij#
#katita#,#kerit#
#ʔarita#,#kerit#
#kiadʒo#,#kias#
#koraŋa#,#kolaŋ#
#kororo#,#koror#
#koŋa#,#koŋ#
#kururu#,#kurur#
#ʔapuk#,#kɔp#
#ʔapu#,#kɔp#
#lako#,#lak#
#ladʒe#,#las#
#lau#,#lo#
#loto#,#lot#
#mamata#,#mamat#
#mate#,#mat#
#mai#,#me#
#manuka#,#menua#
#maʔati#,#met#
#mwaɲa#,#mon#
#masou#,#moso#
#mapo#,#mwap#
#mwadʒar#,#mʷas#
#ɲabi#,#nap#
#kodʒom#,#os#
#panapa#,#panap#
#papa#,#pap#
#padran#,#par#
#pait#,#pe#
#papine#,#pein#
#pite#,#pit#
#potuŋ#,#pot#
#puʔaja#,#pua#
#pwatika#,#puet#
#pulan#,#pul#
#bpuna#,#pun#
#una#,#pun#
#punat#,#pun#
#pupu#,#pup#
#pakum#,#pwok#
#baluc#,#pɔl#
#dramut#,#rem#
#damut#,#rem#
#rujuŋ#,#ri#
#dʒalan#,#sal#
#saman#,#sam#
#dʒila#,#sil#
#soka#,#sok#
#taʔe#,#te#
#tali#,#tel#
#talise#,#telis#
#tiki#,#tik#
#toka#,#tuk#
#tokon#,#tuŋ#
#ʔutup#,#ut#
#kuriap#,#wɨrij#
#ŋau#,#ŋa#
