input,output
#papine#,#aine#
#pakum#,#aku#
#padʒale#,#alale#
#palu#,#alu#
#panako#,#anako#
#pani#,#ani#
#panua#,#anua#
#ʔanunu#,#anunu#
#ʔawa#,#aoa#
#ʔase#,#are#
#ʔarop#,#aro#
#ʔatun#,#atuŋ#
#paŋun#,#aŋun#
#baban#,#baba#
#bou#,#bou#
#boŋi#,#boŋ#
#puaʔ#,#bua#
#buaʔ#,#bua#
#buku#,#buku#
#bula#,#bula#
#bune#,#bune#
#damwa#,#damwa#
#ranum#,#daŋ#
#ʔenop#,#eno#
#ilo#,#ilo#
#io#,#io#
#pica#,#ira#
#dʒalan#,#dʒala#
#kau#,#kau#
#kani#,#kaŋ#
#koron#,#koro#
#lau#,#lau#
#laŋo#,#laŋo#
#lako#,#laʔo#
#mai#,#mai#
#malala#,#malala#
#madrali#,#malazi#
#mama#,#mama#
#maɲawa#,#manawa#
#mabusuk#,#mapuru#
#mate#,#mate#
#maʔati#,#mati#
#mawap#,#mawa#
#manuk#,#maŋ#
#motus#,#motu#
#muku#,#muku#
#mwata#,#mwata#
#ɲoɲop#,#nono#
#ɲoɲop#,#nono#
#nunu#,#nunu#
#o#,#o#
#ʔonop#,#ono#
#pose#,#ore#
#oro#,#oro#
#koro#,#oro#
#palala#,#palala#
#patu#,#patu#
#pintik#,#piti#
#poɲu#,#poŋ#
#pusa#,#pura#
#rua#,#rua#
#salaŋ#,#sala#
#seŋa#,#seŋ#
#talise#,#taile#
#take#,#take#
#tanom#,#tano#
#taraɡau#,#taraɡau#
#taʔe#,#taʔe#
#tete#,#tete#
#tuaka#,#toka#
#toka#,#toka#
#toka#,#toka#
#toka#,#toʔa#
#toɲom#,#tono#
#totok#,#toto#
#tolira#,#tolila#
#pukot#,#u#
#pupu#,#u#
#pudi#,#udi#
#punuʔ#,#unɡ#
#ʔusan#,#ura#
#salatoŋ#,#zalato#
#ŋaraŋara#,#ŋara#
#ŋau#,#ŋau#
#kasu#,#ʔasu#
#kiadʒo#,#ʔiadzo#
