input,output
#acan#,#ad#
#dʒalan#,#al#
#saman#,#dam#
#siba#,#dip#
#solos#,#dol#
#aŋin#,#eŋ#
#pia#,#ia#
#toko#,#dʒok#
#katapa#,#kadʒap#
#kodʒom#,#kod#
#ladʒi#,#lahd#
#manuk#,#mahn#
#manuk#,#manu#
#maŋiŋi#,#maŋiŋ#
#misi#,#mihk#
#masakit#,#mɔdɔk#
#apon#,#o#
#api#,#oai#
#ʔatop#,#oadʒ#
#onom#,#ohn#
#padʒu#,#pad#
#parara#,#palar#
#baniŋ#,#pehn#
#pidʒir#,#pid#
#piras#,#pir#
#boŋol#,#poŋpoŋ#
#buto#,#pwidʒ#
#baban#,#pɔp#
#rato#,#roadʒ#
#rodrom#,#ros#
#damwa#,#soamw#
#pukot#,#uk#
#bula#,#umwpwul#
#ubu#,#upw#
#ule#,#wil#
#ʔunap#,#wina#
#poɲu#,#woi#
#ʔusan#,#wud#
#pudi#,#wus#
#ŋapa#,#ŋaap#
