input,output
#waɡa#,#aka#
#api#,#av#
#awa#,#awa#
#kani#,#ɡan#
#kana#,#ɡana#
#kasupe#,#ɡasuwe#
#kati#,#ɡat#
#katae#,#ɡatae#
#katou#,#ɡatou#
#kape#,#ɡave#
#kapika#,#ɡaviɡa#
#kili#,#ɡil#
#kodʒom#,#ɡoso#
#puuŋ#,#hu#
#ilo#,#ilo#
#kalu#,#kal#
#kamami#,#kamam#
#kau#,#kau#
#ko#,#ko#
#kokop#,#koko#
#kotos#,#koto#
#lakas#,#laka#
#laman#,#lama#
#ladʒe#,#las#
#lasa#,#lasa#
#laur#,#lau#
#laŋo#,#laŋo#
#leʔo#,#leo#
#lisa#,#lisa#
#aluton#,#lito#
#lom#,#lo#
#lukun#,#luk#
#lukun#,#lukun#
#luluk#,#lul#
#mai#,#ma#
#mama#,#mama#
#mamata#,#mamata#
#mana#,#mana#
#manuk#,#manu#
#masakit#,#masaɡ#
#matakut#,#mataɡut#
#mate#,#mate#
#matuʔa#,#matua#
#mapo#,#mawo#
#mwaloʔ#,#mwalo#
#ɲikut#,#niɡiu#
#nonom#,#nonom#
#ʔone#,#one#
#ba#,#pa#
#bakewak#,#paɡoa#
#baka#,#paka#
#belu#,#pelu#
#bebe#,#pepe#
#pilolo#,#pilolo#
#piluk#,#pilu#
#piluk#,#piluɡ#
#pipis#,#pipis#
#buku#,#puɡiu#
#bona#,#pwona#
#boŋi#,#ʔoŋ#
#puso#,#ʔus#
#rere#,#rere#
#rikiʔ#,#riɡ#
#ropa#,#rova#
#rua#,#rua#
#saman#,#sama#
#sauʔ#,#sau#
#saŋa#,#saŋa#
#siko#,#siɡo#
#siba#,#sipa#
#siba#,#sipa#
#somu#,#som#
#sosok#,#soso#
#taʔe#,#tae#
#takere#,#taɡere#
#tali#,#tali#
#tanoʔ#,#tano#
#taur#,#taur#
#tapuʔ#,#tav#
#tapun#,#tavun#
#taŋa#,#taŋa#
#taŋop#,#taŋo#
#tiki#,#tiɡ#
#tika#,#tika#
#tiro#,#tiro#
#toʔa#,#toa#
#toka#,#toɡa#
#toka#,#toɡa#
#tokalaur#,#toɡalau#
#totok#,#toto#
#tuli#,#tul#
#turu#,#tur#
#tura#,#tura#
#tutuk#,#tut#
#uka#,#uka#
#ʔuraŋ#,#ura#
#usuri#,#usur#
#uton#,#uto#
#pa#,#va#
#pa#,#va#
#pakas#,#vaka#
#palu#,#valu#
#pano#,#van#
#panua#,#vanua#
#paʔo#,#vao#
#papaʔ#,#vava#
#papaba#,#vavapa#
#papine#,#vavine#
#pinut#,#vinitiu#
#piro#,#viro#
#pica#,#visa#
#piso#,#viso#
#pituʔun#,#vitu#
#pulan#,#vula#
#puni#,#vun#
#bpuna#,#vun#
#una#,#vun#
#buraʔ#,#vura#
#puro#,#vuro#
#putun#,#vutu#
#pasok#,#was#
#paŋa#,#waŋa#
#pilit#,#wil#
#piliŋ#,#wil#
#polos#,#wolos#
#pwasa#,#wosa#
#pwasar#,#wosa#
#pose#,#wose#
#potu#,#wot#
#potak#,#wota#
#buraʔ#,#wura#
#ŋau#,#ŋau#
#ŋodra#,#ŋora#
