input,output
#ʔarita#,#alit#
#dʒalan#,#cal#
#salaŋ#,#cal#
#dʒila#,#cil#
#rodrom#,#coc#
#soŋe#,#cuŋ#
#ranum#,#cɨn#
#ʔenop#,#en#
#ipos#,#ih#
#ʔalo#,#kal#
#ʔasu#,#kasu#
#ʔatop#,#kat#
#kalika#,#keli#
#koŋa#,#koŋ#
#ladʒe#,#lac#
#rato#,#lat#
#lipon#,#lih#
#lisa#,#lis#
#raʔani#,#lɨn#
#mamata#,#mamat#
#mimiʔ#,#mim#
#mwaɲa#,#moj#
#mwamwaki#,#mwamwak#
#mwata#,#mwat#
#mwadʒar#,#mʷac#
#kodʒom#,#oc#
#bakewak#,#pahew#
#parara#,#paral#
#papine#,#pehin#
#palisi#,#pelic#
#boma#,#pom#
#pupu#,#puh#
#bune#,#pun#
#poɲu#,#puɲ#
#boŋi#,#puŋ#
#banic#,#pɨn#
#soka#,#so#
#taliŋa#,#taliŋ#
#tanoʔ#,#tan#
#tabuna#,#tapun#
#tiki#,#ti#
#tokon#,#to#
#tokalaur#,#tolaw#
#tutup#,#tut#
#rujuŋ#,#tuj#
#tali#,#təl#
#kuriap#,#uri#
#ɲoro#,#ɲol#
#ɲui#,#ɲu#
