input,output
#acan#,#aha#
#ʔasam#,#aha#
#acan#,#ahei#
#ʔaco#,#aho#
#ʔasu#,#ahu#
#ʔalop#,#alo#
#adom#,#ando#
#ane#,#ane#
#wao#,#ao#
#ʔatop#,#ato#
#ʔatun#,#atu#
#apit#,#avi#
#aŋom#,#aŋo#
#aŋusu#,#aŋusu#
#draula#,#daula#
#daula#,#daula#
#kaju#,#ɡai#
#ɡama#,#ɡama#
#kabe#,#ɡambe#
#kanawe#,#ɡanae#
#kadik#,#ɡandi#
#kani#,#ɡani#
#karaŋi#,#ɡaraŋi#
#kape#,#ɡave#
#kapika#,#ɡaviɡa#
#korit#,#ɡoli#
#koro#,#ɡoro#
#koti#,#ɡoti#
#kukur#,#ɡuɡu#
#kulit#,#ɡuli#
#sabakap#,#habaɡa#
#sau#,#hau#
#sapulu#,#havulu#
#siki#,#hiɡi#
#solso#,#hoho#
#somu#,#homu#
#surup#,#huru#
#ibe#,#imbe#
#iri#,#iri#
#isi#,#isi#
#ipun#,#ivu#
#iput#,#ivu#
#kalu#,#kalu#
#kana#,#kana#
#kari#,#kari#
#karis#,#kari#
#kau#,#kau#
#keke#,#keke#
#kiki#,#kiki#
#kidik#,#kindi#
#koba#,#komba#
#kobuŋ#,#kombu#
#koŋa#,#koŋa#
#kurom#,#kuro#
#kurukuru#,#kurukuru#
#lake#,#lake#
#ralic#,#lali#
#ralom#,#lalo#
#ladʒe#,#lande#
#laur#,#lau#
#laɡas#,#laŋɡa#
#laŋo#,#laŋo#
#lisa#,#liha#
#loɡuŋ#,#loku#
#ropeʔ#,#love#
#loɡuŋ#,#loŋɡu#
#lulus#,#lundi#
#mai#,#mai#
#makaka#,#makaka#
#mama#,#mama#
#mamis#,#mami#
#mana#,#mana#
#madrali#,#mandali#
#manuk#,#manu#
#matakut#,#mataɡu#
#mate#,#mate#
#mapat#,#mava#
#mapo#,#mavo#
#ba#,#mba#
#bakewak#,#mbaɡea#
#bali#,#mbali#
#palu#,#mbalu#
#babaŋ#,#mbamba#
#bara#,#mbara#
#bari#,#mbari#
#beta#,#mbeta#
#bibit#,#mbimbi#
#boŋi#,#mboŋi#
#puaʔ#,#mbua#
#buaʔ#,#mbua#
#buliʔ#,#mbuli#
#bulut#,#mbulu#
#buburu#,#mbumburu#
#bura#,#mbura#
#puraʔ#,#mbura#
#buta#,#mbuta#
#moɲak#,#mona#
#muri#,#muri#
#naɡo#,#naɡo#
#nadi#,#nandi#
#naku#,#nau#
#da#,#nda#
#sokol#,#ndoko#
#druru#,#nduru#
#ɲikut#,#niku#
