input,output
#kaka#,#kaka#
#apon#,#afo#
#ʔaco#,#aho#
#ʔasu#,#ahu#
#ʔasu#,#ahu#
#ai#,#ai#
#aŋin#,#aŋi#
#pano#,#fano#
#pati#,#fati#
#pituʔun#,#fetuː#
#papine#,#fifine#
#pica#,#fiha#
#piro#,#filo#
#pintik#,#fiti#
#polon#,#folo#
#ponor#,#fono#
#poɲu#,#fonu#
#puat#,#fua#
#puaʔ#,#fua#
#buaʔ#,#fua#
#pua#,#fua#
#puput#,#fufu#
#pupula#,#fufula#
#pupuŋan#,#fufuŋa#
#puke#,#fuke#
#buliŋ#,#fuli#
#pulu#,#fulu#
#pudi#,#futi#
#putun#,#futu#
#pea#,#feː#
#saʔit#,#hai#
#sake#,#hake#
#dʒalan#,#hala#
#palus#,#halu#
#saman#,#hama#
#sabot#,#hapo#
#sipo#,#hifo#
#siku#,#hiku#
#siba#,#hipa#
#soka#,#hoka#
#soŋe#,#hoŋe#
#sumu#,#humu#
#ipi#,#ifi#
#ike#,#ike#
#irir#,#ili#
#ibu#,#ipu#
#kapika#,#kafika#
#kani#,#kai#
#kanon#,#kano#
#kaso#,#kato#
#ki#,#ki#
#kiadʒo#,#kiato#
#kikir#,#kili#
#kulit#,#kili#
#kilo#,#kilo#
#koe#,#koe#
#kodʒom#,#koho#
#koka#,#koka#
#koro#,#kolo#
#kukur#,#kuku#
#kukup#,#kuku#
#ɡurat#,#kula#
#kurukuru#,#kulukulu#
#ralom#,#lalo#
#lapar#,#lapa#
#rere#,#lele#
#lomiʔ#,#lomi#
#loto#,#loto#
#druru#,#lulu#
#raʔe#,#leː#
#masaŋa#,#mahaŋa#
#mai#,#mai#
#mana#,#mana#
#maɲawa#,#manava#
#manoŋi#,#manoŋi#
#manuk#,#manu#
#matakut#,#mataku#
#mate#,#mate#
#matolu#,#matolu#
#matuʔa#,#matua#
#miti#,#miti#
#miti#,#misi#
#motus#,#motu#
#matuʔa#,#motua#
#muri#,#mui#
#namo#,#namo#
#nipon#,#nifo#
#nofo#,#nofo#
#nonok#,#nono#
#ɲoɲu#,#nonu#
#oe#,#oe#
#ropa#,#ofa#
#ʔone#,#one#
#ʔono#,#ono#
#onom#,#ono#
#ʔodaʔ#,#ota#
#ʔoti#,#oti#
#balai#,#palai#
#baban#,#papa#
#bweka#,#peka#
#belu#,#pelu#
#bebe#,#pepe#
#bikit#,#piki#
#bito#,#pito#
#popok#,#popo#
#boŋi#,#poŋi#
#busa#,#puha#
#bulat#,#pula#
#pulan#,#pula#
#buliʔ#,#pule#
#bulut#,#pulu#
#bulut#,#pulu#
#buburu#,#pupu#
#putu#,#putu#
#butu#,#putu#
#buŋa#,#puŋa#
#buu#,#puː#
#dʒaot#,#sao#
#tape#,#tafe#
#tapola#,#tafola#
#tasa#,#taha#
#takua#,#takua#
#tari#,#tali#
#talos#,#talo#
#tamanu#,#tamanu#
#tanum#,#tanu#
#tabu#,#tapu#
#tata#,#tata#
#tawasi#,#tavahi#
#taŋa#,#taŋa#
#talise#,#telie#
#tia#,#tia#
#tise#,#tihe#
#tika#,#tika#
#tiko#,#tiko#
#tiko#,#siko#
#tiro#,#tio#
#toʔa#,#toa#
#topiʔ#,#tofi#
#toka#,#toka#
#tokalaur#,#tokelau#
#tokon#,#toko#
#tonuʔ#,#tonu#
#toto#,#toto#
#tuʔa#,#tua#
#tupa#,#tufa#
#tubuʔ#,#tupu#
#tupuʔ#,#tupu#
#tupuʔa#,#tupua#
#taʔe#,#teː#
#tuʔur#,#tuː#
#rua#,#ua#
#ʔusan#,#uha#
#ʔuciŋ#,#uhi#
#uso#,#uho#
#ui#,#ui#
#ʔulu#,#ulu#
#ʔulua#,#ulua#
#ʔunap#,#una#
#uɲus#,#unu#
#ʔuraŋ#,#uo#
#ucan#,#uta#
#ʔumwaŋ#,#uŋa#
#waɡa#,#vaka#
#wali#,#vali#
#wao#,#vao#
#mwata#,#ŋata#
#ŋau#,#ŋau#
#ŋuru#,#ŋulu#
#ŋuŋul#,#ŋuŋu#
#ŋok#,#ŋoː#
