input,output
#ʔatun#,#adu#
#apon#,#aho#
#ai#,#ai#
#saman#,#ama#
#ʔaco#,#ao#
#ʔasu#,#asu#
#saŋa#,#aŋa#
#aŋin#,#aŋi#
#baban#,#baba#
#bebe#,#bebe#
#benu#,#benu#
#bibi#,#bibi#
#biko#,#biɡo#
#putu#,#budu#
#butu#,#budu#
#buku#,#buɡu#
#bula#,#bula#
#buliʔ#,#bule#
#bulut#,#bulu#
#buu#,#buu#
#tabu#,#dabu#
#taʔe#,#dae#
#takua#,#daɡua#
#salaŋ#,#dala#
#lasa#,#dala#
#tali#,#dali#
#talos#,#dalo#
#tanum#,#danu#
#dʒaot#,#dao#
#saur#,#dau#
#tibaŋ#,#diba#
#tiro#,#dilo#
#tinaʔe#,#dinae#
#toto#,#dodo#
#toka#,#doɡa#
#toka#,#doɡa#
#tokon#,#doɡo#
#tuʔa#,#dua#
#tubuʔ#,#dubu#
#tupuʔ#,#dubu#
#tupa#,#duha#
#kabak#,#ɡaba#
#kaka#,#ɡaɡa#
#kani#,#ɡai#
#kanon#,#ɡano#
#kiadʒo#,#ɡiado#
#kulit#,#ɡili#
#kodʒom#,#ɡoo#
#papine#,#haahine#
#patu#,#hadu#
#papaʔ#,#haha#
#papine#,#hahine#
#pano#,#hano#
#pituʔun#,#heduu#
#pea#,#hee#
#pica#,#hia#
#piro#,#hilo#
#pine#,#hine#
#polon#,#holo#
#ponuʔ#,#honu#
#poɲu#,#honu#
#puaʔ#,#hua#
#buaʔ#,#hua#
#pudi#,#hudi#
#pulu#,#hulu#
#sipo#,#iho#
#raʔan#,#laa#
#raʔe#,#lae#
#ralom#,#lalo#
#laŋo#,#laŋo#
#rere#,#lele#
#rikit#,#liɡi#
#lilim#,#lili#
#lilim#,#lillili#
#loto#,#lodo#
#ropa#,#loha#
#rua#,#lua#
#matolu#,#maadolu#
#mataʔ#,#mada#
#matakut#,#madaɡu#
#mate#,#made#
#matuʔa#,#madua#
#masakit#,#maɡi#
#mai#,#mai#
#mamis#,#mami#
#mana#,#mana#
#maɲawa#,#manava#
#maŋa#,#maŋa#
#misi#,#misi#
#nipon#,#niho#
#ɲoɲu#,#nonu#
#ʔodaʔ#,#oda#
#ʔoti#,#odi#
#ʔono#,#ono#
#onom#,#ono#
#soŋe#,#oŋe#
#siku#,#suɡi#
#sumu#,#sumu#
#tiko#,#tiɡo#
#turuʔ#,#tulu#
#ucan#,#uda#
#ʔuto#,#udo#
#sulik#,#uli#
#ʔulu#,#ulu#
#wao#,#vao#
#ŋau#,#ŋau#
