input,output
#acan#,#asa#
#acok#,#aso#
#taliŋa#,#faliŋa#
#tia#,#fia#
#pintik#,#fiti#
#ponor#,#fono#
#toka#,#foʔa#
#tupa#,#fuha#
#tuli#,#fuli#
#tubuʔ#,#fupu#
#tupuʔ#,#fupu#
#tubuŋa#,#fupuŋa#
#takere#,#fœʔere#
#papo#,#haho#
#panako#,#hanaʔo#
#panua#,#hanua#
#padran#,#hata#
#paŋan#,#haŋa#
#pituʔun#,#hefu#
#puaʔ#,#hue#
#buaʔ#,#hue#
#putun#,#hufu#
#puput#,#huhu#
#pupula#,#huhula#
#pupuŋan#,#huhuŋa#
#pulan#,#hula#
#pula#,#hula#
#buliŋ#,#huli#
#puke#,#huʔe#
#irir#,#iri#
#isi#,#isi#
#dʒaot#,#dʒao#
#silak#,#dʒila#
#sobu#,#dʒopu#
#kitoŋ#,#kifo#
#koro#,#koro#
#laŋo#,#laŋa#
#liʔo#,#lio#
#maʔati#,#mafi#
#matuʔa#,#mafua#
#mapo#,#maho#
#mamata#,#mamafa#
#matuʔa#,#mamfua#
#mamis#,#mami#
#motus#,#mofu#
#maʔaɲur#,#mɔnu#
#nofo#,#noho#
#ʔoti#,#ofi#
#onom#,#ono#
#baban#,#papa#
#balapaʔ#,#parafa#
#balai#,#parai#
#bebe#,#pepe#
#popok#,#popo#
#boŋi#,#poŋi#
#bulat#,#pula#
#bula#,#pula#
#buŋa#,#puŋa#
#rano#,#rano#
#rua#,#rua#
#druru#,#ruru#
#raʔan#,#raː#
#ralic#,#rɔri#
#dʒalan#,#sala#
#saman#,#sama#
#sabutu#,#saputu#
#tasiwa#,#sasiva#
#sawaŋ#,#sava#
#saŋa#,#saŋa#
#sipo#,#sio#
#solo#,#solo#
#soŋe#,#soŋe#
#si#,#siː#
#uka#,#uka#
#ʔunap#,#una#
#ʔuraŋ#,#ura#
#ʔusan#,#usa#
#waɡa#,#vaka#
#wao#,#vao#
#katapa#,#ʔafaha#
#kedʒu#,#ʔedʒu#
#kulit#,#ʔuli#
#kurat#,#ʔurɔ#
#kape#,#ʔæhe#
#kaju#,#ʔɔi#
#kasi#,#ʔɔsi#
