input,output
#ʔasam#,#asama#
#apic#,#avisi#
#ba#,#ba#
#beta#,#beta#
#bilac#,#bilasa#
#punat#,#buna#
#bpuna#,#buna#
#una#,#buna#
#ɡurat#,#ɡurata#
#kurat#,#ɡurata#
#ibo#,#ibo#
#icuŋ#,#isu#
#silatoŋ#,#dʒilatoŋo#
#kaka#,#kaka#
#kana#,#kana#
#kapuru#,#kavuru#
#koba#,#koba#
#kotik#,#koti#
#koŋa#,#koŋa#
#laman#,#lamana#
#likos#,#likoho#
#liliu#,#liliu#
#liloʔ#,#lilo#
#luŋan#,#luŋana#
#mama#,#mama#
#mana#,#mana#
#matakut#,#mataɡutu#
#mate#,#mate#
#maja#,#mea#
#mimiʔ#,#mimi#
#monɲo#,#mono#
#moo#,#mono#
#muno#,#munomuno#
#ɲoɲop#,#nonopo#
#nopuʔ#,#novu#
#ʔodaʔ#,#oda#
#onom#,#onomo#
#pa#,#pa#
#papa#,#papa#
#patu#,#patu#
#piras#,#piraha#
#pwipipi#,#pivivi#
#buku#,#puku#
#buta#,#puta#
#sau#,#sauru#
#sawaŋ#,#savaŋa#
#sawaŋ#,#saŋava#
#siri#,#siri#
#sisi#,#sisiri#
#solos#,#soloso#
#soŋe#,#soŋe#
#soɡo#,#soŋɡo#
#tabu#,#tabu#
#taʔe#,#tae#
#tail#,#taili#
#tasa#,#tasa#
#tata#,#tata#
#tise#,#tihe#
#tiro#,#tiro#
#ʔatita#,#tita#
#tobwa#,#toba#
#toka#,#toɡa#
#toka#,#toɡa#
#tokalaur#,#toɡarauru#
#toka#,#toka#
#toka#,#toka#
#tubu#,#tubu#
#turaŋa#,#turaŋa#
#tutuk#,#tutu#
#tupa#,#tuva#
#tupak#,#tuvaka#
#tupul#,#tuvulu#
#unus#,#unusu#
#ʔutup#,#utuvu#
#pakaʔ#,#vaka#
#waɡa#,#vaka#
#pari#,#vari#
#paŋa#,#vaŋavaŋa#
#paŋun#,#vaŋunu#
#pose#,#vose#
#puaʔ#,#vua#
#buaʔ#,#vua#
#puko#,#vuɡo#
#pura#,#vura#
#pupus#,#vuvusu#
#dʒiŋana#,#ziŋana#
#ŋapa#,#ŋava#
#ŋiŋis#,#ŋiŋisi#
