input,output
#api#,#afi#
#apon#,#afo#
#ai#,#ai#
#dʒalan#,#ala#
#ʔarop#,#alo#
#saman#,#ama#
#ane#,#ane#
#ʔanus#,#anu#
#ʔaco#,#aso#
#ʔaso#,#aso#
#ʔasu#,#asu#
#ʔatop#,#ato#
#ʔatun#,#atu#
#ʔasu#,#au#
#aŋin#,#aŋi#
#akot#,#aʔo#
#e#,#e#
#papa#,#fafa#
#papian#,#fafie#
#papine#,#fafine#
#papo#,#fafo#
#pait#,#fai#
#padran#,#fala#
#bpalalan#,#falala#
#alalan#,#falala#
#pale#,#fale#
#pano#,#fano#
#panua#,#fanua#
#pwasa#,#fasa#
#pituʔun#,#fetuː#
#pica#,#fia#
#pilit#,#fili#
#piro#,#filo#
#pisik#,#fisi#
#pidʒo#,#fiso#
#piso#,#fiso#
#pintik#,#fiti#
#posaʔ#,#foa#
#pose#,#foe#
#polon#,#folo#
#ponor#,#fono#
#potu#,#fotu#
#puaʔ#,#fua#
#buaʔ#,#fua#
#pua#,#fua#
#puat#,#fua#
#puʔi#,#fui#
#puri#,#fuli#
#buliŋ#,#fuli#
#pulu#,#fulu#
#pulu#,#fulu#
#putun#,#futu#
#puŋa#,#fuŋa#
#puke#,#fuʔe#
#ipi#,#ifi#
#sipo#,#ifo#
#irir#,#ili#
#dʒiŋana#,#inaŋa#
#ibo#,#ipo#
#ibu#,#ipu#
#dʒiŋana#,#iŋaŋa#
#ike#,#iʔe#
#lapa#,#lafa#
#lapa#,#lafa#
#drali#,#lali#
#ralom#,#lalo#
#rano#,#lano#
#ranum#,#lanu#
#lababa#,#lapa#
#lasa#,#lata#
#laŋo#,#laŋo#
#lakas#,#laʔa#
#rere#,#lele#
#leʔo#,#leo#
#lisa#,#lia#
#lilim#,#lili#
#liko#,#liʔo#
#loan#,#loa#
#lolop#,#lolo#
#lomiʔ#,#lomi#
#loto#,#loto#
#rokuŋ#,#loʔu#
#rua#,#lua#
#druru#,#lulu#
#luma#,#luma#
#mai#,#mai#
#malaʔe#,#malae#
#mana#,#mana#
#maɲawa#,#manava#
#manoŋi#,#manoŋi#
#manuk#,#manu#
#mataʔ#,#mata#
#mataʔ#,#mata#
#mataʔ#,#mata#
#matau#,#matau#
#matakut#,#mataʔu#
#mate#,#mate#
#matuʔa#,#matua#
#matuʔa#,#matuaː#
#maŋa#,#maŋa#
#masakit#,#maʔi#
#miti#,#miti#
#motus#,#motu#
#muʔa#,#mua#
#muri#,#muli#
#maɲawa#,#maːnava#
#maʔaɲur#,#maːnu#
#masaŋa#,#maːsaŋa#
#matuʔa#,#maːtua#
#nipon#,#nifo#
#nofo#,#nofo#
#nopuʔ#,#nofu#
#ɲoɲu#,#nonu#
#noku#,#noʔu#
#numi#,#numi#
#ʔone#,#one#
#onom#,#ono#
#ʔoso#,#oso#
#ʔodaʔ#,#ota#
#ʔoti#,#oti#
#soŋe#,#oŋe#
#balai#,#palai#
#balaŋi#,#palaŋi#
#baba#,#papa#
#babaŋ#,#papa#
#baban#,#papa#
#bele#,#pele#
#belu#,#pelu#
#benu#,#penu#
#bebe#,#pepe#
#bweka#,#peʔa#
#bibi#,#pipi#
#bikit#,#piʔi#
#piko#,#piʔo#
#biko#,#piʔo#
#boŋi#,#poŋi#
#bua#,#pua#
#pulan#,#pula#
#bulat#,#pula#
#buliʔ#,#pule#
#bulut#,#pulu#
#bulut#,#pulu#
#busa#,#pusa#
#putu#,#putu#
#butu#,#putu#
#buŋa#,#puŋa#
#buu#,#puː#
#salatoŋ#,#salato#
#sabot#,#sapo#
#seŋa#,#seŋa#
#siba#,#sipa#
#sisit#,#sisi#
#siku#,#siʔu#
#solo#,#solo#
#solo#,#solo#
#sokar#,#soʔa#
#soka#,#soʔa#
#sokaŋ#,#soʔa#
#sumu#,#sumu#
#susup#,#susu#
#taʔe#,#tae#
#tape#,#tafe#
#salaŋ#,#tala#
#tari#,#tali#
#talise#,#talie#
#taliŋa#,#taliŋa#
#talos#,#talo#
#tamanu#,#tamanu#
#tanum#,#tanu#
#taʔo#,#tao#
#dʒaot#,#tao#
#tabu#,#tapu#
#tawasi#,#tavai#
#taŋa#,#taŋa#
#taŋapa#,#taŋafa#
#taŋop#,#taŋo#
#takas#,#taʔa#
#takua#,#taʔuo#
#dʒila#,#tila#
#tiro#,#tilo#
#tinaʔe#,#tinae#
#tika#,#tiʔa#
#tiko#,#tiʔo#
#topiʔ#,#tofi#
#topoŋ#,#tofo#
#tolaʔ#,#tola#
#solo#,#tolo#
#tonuʔ#,#tonu#
#toto#,#toto#
#toka#,#toʔa#
#toka#,#toʔa#
#tokalaur#,#toʔelau#
#tokon#,#toʔo#
#tuʔa#,#tua#
#matuʔa#,#tuaʔaː#
#tupa#,#tufa#
#tupa#,#tupa#
#tubuʔ#,#tupu#
#tupuʔ#,#tupu#
#tutuk#,#tutu#
#tokuku#,#tuʔuʔu#
#da#,#taː#
#tasiwa#,#taːiva#
#tuʔur#,#tuː#
#ʔusan#,#ua#
#ʔusila#,#uila#
#ʔuraŋ#,#ula#
#ule#,#ule#
#ʔulu#,#ulu#
#ʔulua#,#ulua#
#ʔunap#,#una#
#uso#,#uso#
#ucan#,#uta#
#uton#,#uto#
#ʔutup#,#utu#
#ʔumwaŋ#,#uŋa#
#waʔe#,#vae#
#wanse#,#vae#
#wase#,#vae#
#wali#,#vali#
#wao#,#vao#
#sawaŋ#,#vasa#
#waɡa#,#vaʔa#
#sabu#,#aːfu#
#saʔit#,#aːi#
#ŋapa#,#ŋafa#
#ŋalu#,#ŋalu#
#mwata#,#ŋata#
#ŋau#,#ŋau#
#ŋuru#,#ŋulu#
#ŋuŋul#,#ŋuŋu#
#koe#,#ʔoe#
#kani#,#ʔai#
#kalik#,#ʔali#
#kabak#,#ʔapa#
#kasi#,#ʔasi#
#kaso#,#ʔato#
#kawe#,#ʔave#
#kaka#,#ʔaʔa#
#kakas#,#ʔaʔasi#
#kiadʒo#,#ʔiato#
#kikir#,#ʔili#
#koro#,#ʔolo#
#kodʒom#,#ʔoso#
#koka#,#ʔoʔa#
#kuka#,#ʔuʔa#
#kukur#,#ʔuʔu#
#kukup#,#ʔuʔu#
