input,output
#ʔaʔe#,#ae#
#api#,#ah#
#kapika#,#ahi#
#ʔalo#,#al#
#kalika#,#ali#
#kalia#,#ali#
#amatu#,#amatu#
#kamatu#,#amatu#
#ʔatun#,#at#
#kajadʒo#,#ajas#
#pani#,#hani#
#patu#,#hat#
#papine#,#hehin#
#pica#,#hil#
#poɲu#,#hon#
#puʔaja#,#hua#
#putun#,#hut#
#pia#,#ia#
#ranum#,#kan#
#koti#,#koti#
#laŋo#,#laŋ#
#maʔaɲur#,#man#
#mate#,#mat#
#maʔati#,#mat#
#mimiʔ#,#mimi#
#mona#,#mon#
#nopuʔ#,#noh#
#nuso#,#nus#
#nuse#,#nus#
#taliŋa#,#paxi#
#boma#,#pom#
#buraʔ#,#puh#
#bulat#,#pul#
#buna#,#pun#
#bubu#,#pup#
#saŋa#,#saŋasaŋ#
#dʒila#,#sil#
#tali#,#tal#
#talise#,#talil#
#taɲipa#,#tanih#
#taliŋa#,#taxiŋ#
#tiʔo#,#tioti#
#toka#,#to#
#tokalaur#,#tola#
#ʔuraŋ#,#uh#
#ubu#,#up#
#ʔusila#,#usil#
#kusupe#,#usuh#
#kuriap#,#uxi#
#waɡa#,#wa#
#saman#,#xam#
#rujuŋ#,#xu#
#ŋau#,#ŋa#
