input,output
#ai#,#ai#
#saman#,#aman#
#ʔatun#,#atun#
#pa#,#ba#
#ba#,#ba#
#bpalalan#,#balalan#
#alalan#,#balalan#
#baraŋ#,#bara#
#piriŋ#,#bir#
#biŋa#,#biŋa#
#bobo#,#bobo#
#boɲu#,#bon#
#bona#,#bonbon#
#bonot#,#bonot#
#poɲu#,#bonu#
#boŋol#,#boŋ#
#boŋi#,#boŋ#
#bua#,#bua#
#bubu#,#bub#
#bubu#,#bubu#
#bubu#,#bubu#
#buku#,#buk#
#buku#,#bukbuk#
#buliŋ#,#buli#
#bulit#,#bulit#
#bpuna#,#buna#
#una#,#buna#
#bune#,#buna#
#putu#,#butu#
#butu#,#butu#
#buŋi#,#buŋ#
#ba#,#baː#
#baniŋ#,#baːn#
#bali#,#bali#
#draula#,#daulə#
#daula#,#daulə#
#ipi#,#ipi#
#iput#,#ivut#
#iput#,#iwut#
#kaka#,#kaka#
#kabi#,#kap#
#kabi#,#kapi#
#karat#,#kara#
#karamea#,#karamea#
#kati#,#kat#
#katita#,#katita#
#kasupe#,#kaupa#
#kiki#,#kik#
#kili#,#kil#
#kobot#,#kobot#
#koki#,#kok#
#koko#,#koko#
#koto#,#koto#
#koŋe#,#koŋ#
#koŋe#,#koŋe#
#kuka#,#kuka#
#kunu#,#kun#
#kuriap#,#kuriap#
#kurukuru#,#kurukuru#
#ʔapu#,#kabu#
#lababa#,#lalaː#
#lama#,#lama#
#laman#,#lamana#
#laur#,#lau#
#lisa#,#li#
#lukun#,#lukun#
#lasa#,#laː#
#lasa#,#laː#
#madrar#,#madar#
#mai#,#mai#
#masakit#,#mait#
#mamis#,#mami#
#mamin#,#mamin#
#mapo#,#map#
#mate#,#mat#
#matuʔa#,#matua#
#mono#,#mono#
#muru#,#muru#
#ɲoro#,#noro#
#osi#,#oir#
#soka#,#oka#
#solop#,#olo#
#ʔoti#,#ot#
#pait#,#pait#
#bakul#,#pakul#
#pale#,#pal#
#bpalabpala#,#palapala#
#bpalaala#,#palapala#
#alabpala#,#palapala#
#alaala#,#palapala#
#papaba#,#papaba#
#babak#,#papak#
#bia#,#pia#
#pika#,#pia#
#pilul#,#pilul#
#binu#,#pin#
#pinu#,#pin#
#pina#,#pina#
#pipik#,#pipi#
#pite#,#pite#
#buta#,#put#
#rokot#,#rokot#
#rodrom#,#roro#
#tabe#,#tabe#
#talise#,#talia#
#tapo#,#tap#
#taraɡau#,#taraɡau#
#ʔatita#,#tita#
#tok#,#tok#
#totok#,#tok#
#tusuʔ#,#tu#
#tubuʔ#,#tubu#
#tupuʔ#,#tubu#
#tubu#,#tubu#
#tuna#,#tuna#
#turu#,#tur#
#tutu#,#tut#
#tupa#,#tuva#
#tupa#,#tua#
#suca#,#ua#
#suka#,#uk#
#ʔulu#,#ul#
#surup#,#urup#
#pau#,#vau#
#pakum#,#vaum#
#pitolon#,#vitolon#
#piok#,#viok#
#puu#,#vu#
#pua#,#vua#
#punat#,#vun#
#bpuna#,#vun#
#una#,#vun#
#puna#,#vuna#
#pupu#,#vup#
#pupuŋan#,#vuŋan#
#pana#,#wana#
#papine#,#wawina#
#paŋun#,#waŋun#
#pose#,#wo#
#puntal#,#wuta#
#putun#,#wutun#
#kani#,#ɐni#
#ŋau#,#ŋau#
#ŋek#,#ŋek#
#ŋeŋe#,#ŋeŋe#
#ŋoŋok#,#ŋoŋo#
#ŋoŋop#,#ŋoŋo#
#ŋuŋut#,#ŋut#
#ŋuŋut#,#ŋuŋut#
