input,output
#tabu#,#abu#
#tape#,#afe#
#tali#,#ali#
#talos#,#alo#
#karak#,#ara#
#patu#,#fau#
#paŋan#,#faŋa#
#pica#,#fita#
#poɲu#,#fonu#
#pudi#,#fudi#
#tiro#,#iro#
#tidros#,#iro#
#kanam#,#kana#
#kokop#,#koko#
#kosa#,#kosa#
#ralic#,#lali#
#laŋo#,#laŋo#
#mapo#,#mafo#
#mai#,#mai#
#mama#,#mama#
#manuk#,#manu#
#masakit#,#mataʔi#
#maja#,#mea#
#muru#,#mulu#
#nadi#,#naɡi#
#nusa#,#nuta#
#karut#,#ʔaru#
#rodrom#,#rodo#
#rua#,#rua#
#sipo#,#sifo#
#siko#,#siko#
#siki#,#siʔi#
#sua#,#sua#
#surup#,#suru#
#sabakap#,#tabaʔa#
#dʒalan#,#tala#
#sauʔ#,#tau#
#mwamwaki#,#waawaki#
#ŋek#,#ŋee#
#kape#,#ʔafe#
#kaju#,#ʔai#
#kai#,#ʔai#
#karaɡwam#,#ʔalaɡa#
