input,output
#bula#,#bbula#
#puaʔ#,#bbuwa#
#buaʔ#,#bbuwa#
#bubu#,#buubu#
#bubu#,#buubu#
#papian#,#fafij#
#pale#,#fal#
#pali#,#fali#
#panua#,#faliuw#
#padran#,#faʃ#
#pasok#,#fat#
#panapa#,#fela#
#pituʔun#,#fius#
#kaju#,#ɡai#
#ko#,#ɡo#
#isa#,#it#
#ʔunap#,#iul#
#unus#,#iuliul#
#ʔuraŋ#,#iur#
#ucan#,#iutal#
#mana#,#kemal#
#kusu#,#kut#
#nana#,#laal#
#ralom#,#lal#
#laŋon#,#laŋ#
#maʔaɲur#,#maal#
#manuk#,#mal#
#manuk#,#maliuɡa#
#mamis#,#mam#
#mate#,#mas#
#masedru#,#mater#
#mai#,#me#
#maɲawa#,#melaw#
#matakut#,#metaɡ#
#masakit#,#metaɡi#
#mwata#,#mwat#
#muno#,#mwul#
#baban#,#paap#
#taliŋa#,#pach#
#bpala#,#pal#
#ala#,#pal#
#pika#,#piɡ#
#rua#,#riuwa#
#rodrom#,#roʃ#
#ranum#,#ʃal#
#tabu#,#tab#
#sake#,#taɡ#
#takua#,#taɡuw#
#tali#,#tal#
#tanoʔ#,#tal#
#taliŋa#,#taliŋ#
#saman#,#tam#
#tabal#,#tap#
#toko#,#toɡ#
#solo#,#tol#
#pupu#,#u#
#pukot#,#uɡ#
#puaʔ#,#uwa#
#buaʔ#,#uwa#
#pudi#,#wiʃ#
#onom#,#wol#
#api#,#jaf#
#ʔatop#,#jas#
#ʔase#,#jat#
#ʔawa#,#jaw#
#aŋin#,#jaŋ#
#apon#,#joa#
#ŋapa#,#ŋaf#
#ŋata#,#ŋat#
#ŋipon#,#ŋii#
