input,output
#abaka#,#abaka#
#aba#,#aba#
#ʔabut#,#abot#
#amuma#,#amuma#
#ananaj#,#ananaj#
#antabaj#,#antabaj#
#ata#,#ata#
#atubaŋ#,#atubaŋ#
#ajaw#,#ajaw#
#aŋaj#,#aŋaj#
#balat#,#baeat#
#balaʔih#,#baeaji#
#balitiʔ#,#baleteʔ#
#banaba#,#banaba#
#baraŋɡaj#,#baraŋɡaj#
#basaɡ#,#basaɡ#
#bajaʔ#,#bajaʔ#
#baʔuɡ#,#baoɡ#
#baŋil#,#baŋil#
#bilas#,#bilas#
#bitin#,#bitin#
#bulalakaw#,#bulalakaw#
#bulilit#,#bulilit#
#bulinaw#,#bulinaw#
#bunal#,#bunae#
#burul#,#buroe#
#buas#,#buas#
#buŋiʔ#,#buŋiʔ#
#buŋuʔ#,#buŋoʔ#
#buŋuran#,#buŋuean#
#buʔel#,#buʔoe#
#babad#,#babad#
#baɡaj#,#baɡaj#
#baɡbaɡ#,#baɡbaɡ#
#baɡesak#,#baɡsak#
#baɡsak#,#baɡsak#
#bahiʔ#,#bahiʔ#
#baleɲaw#,#banlaw#
#balɲaw#,#banlaw#
#banesaɡ#,#bansaɡ#
#bansaɡ#,#bansaɡ#
#bantuɡ#,#bantoɡ#
#baʔuɡ#,#baoɡ#
#basaɡ#,#basaɡ#
#bawiʔ#,#bawiʔ#
#bajbaj#,#bajbaj#
#bilaŋ#,#bilaŋ#
#bitaj#,#bitaj#
#bitin#,#bitin#
#biŋat#,#biŋat#
#biŋkit#,#biŋkit#
#bulbul#,#buebue#
#bukelad#,#bukead#
#buklad#,#bukead#
#buniaɡ#,#bunjaɡ#
#besekadʒ#,#buskad#
#beskadʒ#,#buskad#
#busuaŋ#,#buswaŋ#
#buseʔak#,#busʔak#
#busʔak#,#busʔak#
#beteŋ#,#butoŋ#
#bujbuj#,#bujbuj#
#buʔuŋ#,#buʔoŋ#
#daras#,#daeas#
#dalisaj#,#dalisaj#
#danaʔ#,#danaʔ#
#dulem#,#dueom#
#dabuŋ#,#daboŋ#
