input,output
#abaj#,#abaj#
#abala#,#abala#
#abuluj#,#abuluj#
#ʔabut#,#abut#
#adajuʔ#,#adəjo#
#aɡum#,#aɡum#
#alilaʔ#,#alila#
#apat#,#apat#
#apelaɡ#,#aplaɡ#
#aplaɡ#,#aplaɡ#
#hapun#,#apon#
#antiŋ#,#ateŋ#
#awat#,#awat#
#ajun#,#ajun#
#ʔaŋesu#,#aŋso#
#ʔaŋsu#,#aŋso#
#bahaj#,#baaj#
#baɡbaɡ#,#baɡbaɡ#
#baɡeʔut#,#baɡut#
#baɡʔut#,#baɡut#
#baɡut#,#baɡut#
#bakes#,#bakəs#
#balalaŋ#,#balalaŋ#
#balilit#,#balilit#
#baleɲaw#,#balnaw#
#balɲaw#,#balnaw#
#baʔuɡ#,#bauɡ#
#bawiʔ#,#bawe#
#bawas#,#bawas#
#bajbaj#,#bajbaj#
#baŋus#,#baŋus#
#betek#,#betek#
#beŋeʔaw#,#beŋaw#
#beŋʔaw#,#beŋaw#
#basaɡ#,#bisaɡ#
#bateŋ#,#bitəŋ#
#bunuŋ#,#bonoŋ#
#bukenul#,#buknol#
#buknul#,#buknol#
#bulalakaw#,#bulelakaw#
#bulinaw#,#bulinaw#
#butakal#,#butakal#
#butandiŋ#,#butandiŋ#
#buti#,#bute#
#butuj#,#butoj#
#bujuk#,#bujok#
#buŋuran#,#buŋuran#
#buŋaw#,#buŋɵ#
#bakal#,#bakal#
#biɡelaʔ#,#biɡla#
#biɡlaʔ#,#biɡla#
#butbut#,#butbut#
#dalupaniʔ#,#dalupane#
#dapat#,#dapat#
#dapak#,#dapak#
#dajap#,#dajap#
#dikelem#,#diklem#
#diklem#,#diklem#
#dilam#,#dilam#
#dilaw#,#dilaw#
#dudun#,#dudun#
#duɡemun#,#duɡmon#
#duɡmun#,#duɡmon#
#duŋus#,#duŋos#
#dada#,#dada#
#daɡesaʔ#,#daɡsa#
#daɡsaʔ#,#daɡsa#
#dalaw#,#dalaw#
#daldal#,#daldal#
#damit#,#damit#
#dapat#,#dapat#
#daju#,#daju#
#ditaʔ#,#dita#
#duduj#,#duduj#
#denet#,#dənət#
#ʔepes#,#epes#
#ɡalamaj#,#ɡalamaj#
#ɡawed#,#ɡawəd#
#ɡajak#,#ɡajak#
#ɡelɡel#,#ɡelɡel#
#ɡetɡet#,#ɡetɡet#
#ɡidɡid#,#ɡidɡid#
#ɡilidʒ#,#ɡiled#
#ɡalaŋ#,#ɡalaŋ#
#ɡapas#,#ɡapas#
#ɡasaŋ#,#ɡasaŋ#
#ɡaʔud#,#ɡaud#
#ɡajat#,#ɡajat#
#hunus#,#hunos#
#iɡat#,#iɡet#
#hiɡut#,#iɡut#
#hilaw#,#ilaw#
#ʔimun#,#imon#
#isul#,#isol#
#iwas#,#iwas#
#iŋel#,#iŋel#
#kabatiti#,#kabatiti#
#kabaŋ#,#kabaŋ#
#kabit#,#kabit#
#kalaba#,#kalabe#
#kalebit#,#kalbit#
#kalbit#,#kalbit#
#kaluban#,#kaluban#
#kamandaɡ#,#kamandaɡ#
#kamansiʔ#,#kamansi#
#kaput#,#kapot#
#kapuj#,#kapuj#
#kilit#,#kilit#
#kujkuj#,#kojkoj#
#kubalan#,#kubalan#
#kurit#,#kuhet#
#kulasisi#,#kulasisi#
#kulaŋut#,#kulaŋot#
#kabaɡ#,#kabaɡ#
#kampi#,#kampi#
#kania#,#kanija#
#kara#,#kara#
#kajkaj#,#kajkaj#
#kubeli#,#kubli#
#kubli#,#kubli#
#kupas#,#kupas#
#kupit#,#kupit#
#kebil#,#kəbil#
#kelkel#,#kəlkəl#
#kepkep#,#kəpkəp#
#labaɡ#,#labaɡ#
#laɡuʔ#,#laɡu#
#lakatan#,#lakatan#
#lalaŋ#,#lalaŋ#
#lambanuɡ#,#lambanuɡ#
#lampas#,#lampas#
#laman#,#laman#
#lamiɡ#,#lamiɡ#
#lanut#,#lanot#
#lanaŋ#,#lanaŋ#
#lanes#,#lanəs#
#lapedes#,#lapdəs#
#lapdes#,#lapdəs#
#lapeʔut#,#laput#
#lapʔut#,#laput#
#lapeʔut#,#laput#
#lapʔut#,#laput#
#lataɡ#,#lataɡ#
#lajas#,#lajas#
#libak#,#libak#
#limes#,#liməs#
#liŋat#,#liŋat#
#lupes#,#lopes#
#lubid#,#lubid#
#luɡemuk#,#luɡmuk#
#luɡmuk#,#luɡmuk#
#lukaɡ#,#lukaɡ#
#lupajpaj#,#lupajpaj#
#lupiŋ#,#lupeŋ#
#labas#,#labis#
#labis#,#labis#
#labenaw#,#labnaw#
#labnaw#,#labnaw#
#ladlad#,#ladlad#
#lawaj#,#lawaj#
#liɡetas#,#liɡtas#
#liɡtas#,#liɡtas#
#lilip#,#lilip#
#linis#,#linis#
#litid#,#litid#
#liwan#,#liwan#
#luɡaw#,#luɡaw#
#lukesuh#,#luksu#
#luksuh#,#luksu#
#lutaʔ#,#luta#
#lekuʔ#,#ləko#
#lenlen#,#lənlən#
#man#,#man#
#muhmuh#,#mumo#
#palpal#,#palpal#
#parasan#,#palasan#
#palit#,#palit#
#paspas#,#paspas#
#pati#,#pati#
#pawikan#,#pawikan#
#pajapaj#,#pajapaj#
#pajpaj#,#pajpaj#
#paŋanaj#,#paŋanaj#
#peɡpeɡ#,#peɡpeɡ#
#pekel#,#pekel#
#pintas#,#pintas#
#puɡad#,#puɡad#
#pukan#,#pukan#
#pusit#,#pusit#
#puŋan#,#puŋan#
#padpad#,#padpad#
#paɡpaɡ#,#paɡpaɡ#
#paluŋ#,#paluŋ#
#papaɡ#,#papaɡ#
#putik#,#putik#
#pujat#,#pujat#
