input,output
#baketin#,#baktin#
#balisusu#,#balisusu#
#balat#,#balat#
#balaw#,#balaw#
#balajaŋ#,#balajaŋ#
#balaʔih#,#balaji#
#balilit#,#balilit#
#balulaŋ#,#balulaŋ#
#balutu#,#balutu#
#banaba#,#banaba#
#bantuɡ#,#bantuɡ#
#baʔuɡ#,#baʔuɡ#
#biɡelaʔ#,#biɡlaʔ#
#biɡlaʔ#,#biɡlaʔ#
#bilaŋ#,#bilaŋ#
#bilas#,#bilas#
#binuŋa#,#binuŋa#
#bulalakaw#,#bulalakaw#
#bulbul#,#bulbul#
#bulinaw#,#bulinaw#
#buniaɡ#,#bunjaɡ#
#busuaŋ#,#buswaŋ#
#bujuk#,#bujuk#
#bual#,#bual#
#buŋuran#,#buŋuran#
#bukelad#,#buklad#
#buklad#,#buklad#
#babad#,#babad#
#baɡaj#,#baɡaj#
#bahiʔ#,#bahiʔ#
#banuit#,#banwit#
#basaɡ#,#basaɡ#
#basal#,#basal#
#bawas#,#bawas#
#bawiʔ#,#bawiʔ#
#bajbaj#,#bajbaj#
#baŋeluh#,#baŋlu#
#baŋluh#,#baŋlu#
#baʔuɡ#,#baʔuɡ#
#biu#,#biu#
#buŋbuŋ#,#bumbuŋ#
#beteŋ#,#butuŋ#
#bujbuj#,#bujbuj#
#buŋiʔ#,#buŋiʔ#
#buʔuŋ#,#buʔuŋ#
#daɡeʔun#,#daɡʔun#
#daɡʔun#,#daɡʔun#
#dalaɡ#,#dalaɡ#
#daliʔ#,#daliʔ#
#dalukap#,#dalukap#
#dapuʔ#,#dapuʔ#
#dilaw#,#dilaw#
#dulem#,#dulum#
#desdes#,#dusdus#
#daɡus#,#daɡus#
#dalit#,#dalit#
#dapat#,#dapat#
#dajap#,#dajap#
#dajaw#,#dajaw#
#dajket#,#dajkut#
#daŋaw#,#daŋaw#
#deket#,#dukut#
#dulit#,#dulit#
#dunuŋ#,#dunuŋ#
#dujan#,#dujan#
#duŋus#,#duŋus#
#ɡaraw#,#ɡaraw#
#ɡajak#,#ɡajak#
#ɡebaʔ#,#ɡubaʔ#
#ɡabi#,#ɡabi#
#ɡajat#,#ɡajat#
#ɡaʔud#,#ɡaʔud#
#ɡilidʒ#,#ɡilid#
#haɡekes#,#haɡkus#
#haɡkes#,#haɡkus#
#hampak#,#hampak#
#hiɡepit#,#hiɡpit#
#hiɡpit#,#hiɡpit#
#hebas#,#hubas#
#habel#,#habul#
#harab#,#harab#
#hajep#,#hajup#
#hilut#,#hilut#
#hipes#,#hipus#
#hitaʔ#,#hitaʔ#
#huɲat#,#hunat#
#kamaɡuŋ#,#kamaɡuŋ#
#kamansi#,#kamansi#
#kanadem#,#kanarum#
#kanumaj#,#kanumaj#
#kapus#,#kapus#
#kiliŋ#,#kiliŋ#
#kaluɡ#,#kaluɡ#
#katiʔ#,#katiʔ#
#kajas#,#kajas#
#kimaj#,#kimaj#
#kunuʔ#,#kunuʔ#
#kupaŋ#,#kupaŋ#
#kujuɡ#,#kujuɡ#
#labujuʔ#,#labujuʔ#
#ladlad#,#ladlad#
#lakatan#,#lakatan#
#lawaʔan#,#lawaʔan#
#laŋ#,#laŋ#
#liɡesaj#,#liɡsaj#
#liɡsaj#,#liɡsaj#
#liɡetas#,#liɡtas#
#liɡtas#,#liɡtas#
#limes#,#limus#
#liwan#,#liwan#
#liʔed#,#liʔud#
#lubut#,#lubut#
#luhud#,#luhud#
#lukeban#,#lukban#
#lukban#,#lukban#
#lukesuh#,#luksu#
#luksuh#,#luksu#
#lukub#,#lukub#
#lumaj#,#lumaj#
#lua#,#luwa#
#labaw#,#labaw#
#labis#,#labis#
#labut#,#labut#
#laɡuʔ#,#laɡuʔ#
#lamak#,#lamak#
#lamaŋ#,#lamaŋ#
#lambuŋ#,#lambuŋ#
#lanaj#,#lanaj#
#lataɡ#,#lataɡ#
#lawaj#,#lawaj#
#lawiɡ#,#lawiɡ#
#libat#,#libat#
#libetuŋ#,#libtuŋ#
#libtuŋ#,#libtuŋ#
#lipaj#,#lipaj#
#lipeŋ#,#lipuŋ#
#lubid#,#lubid#
#luɡes#,#luɡus#
#lumuj#,#lumuj#
#lunud#,#lunud#
#lupiŋ#,#lupiŋ#
#lutek#,#lutuk#
#luŋebuj#,#luŋbuj#
#luŋbuj#,#luŋbuj#
#minsan#,#minsan#
#panuʔus#,#panus#
#parasan#,#parasan#
#pataniʔ#,#patani#
#pati#,#pati#
#pajapaj#,#pajapaj#
#pajpaj#,#pajpaj#
#paŋanaj#,#paŋanaj#
#piʔpiʔ#,#pipiʔ#
#puseʔun#,#pusʔun#
#pusʔun#,#pusʔun#
#paluŋ#,#paluŋ#
#panduŋ#,#panduŋ#
#papaɡ#,#papaɡ#
#pinsan#,#pinsan#
#pintas#,#pintas#
#pukan#,#pukan#
#pulaw#,#pulaw#
#pujat#,#pujat#
#damit#,#ramit#
#rakrak#,#rakrak#
#runut#,#runut#
#sabelaj#,#sablaj#
#sablaj#,#sablaj#
#saɡut#,#saɡut#
#saka#,#saka#
#saliŋsiŋ#,#saliŋsiŋ#
#salukub#,#salukub#
#salup#,#salup#
#sapupu#,#sapupu#
#sibaʔ#,#sibaʔ#
#sibukaw#,#sibukaw#
#siam#,#sijam#
#siŋɡit#,#siŋɡit#
#siʔerip#,#siʔrip#
#siʔrip#,#siʔrip#
#sukeluban#,#sukluban#
#sukluban#,#sukluban#
#sulit#,#sulit#
#sunud#,#sunud#
#sadeʔaŋ#,#sadʔaŋ#
#sadʔaŋ#,#sadʔaŋ#
#sapad#,#sapad#
#simaʔ#,#simaʔ#
#sipaɡ#,#sipaɡ#
#suka#,#suka#
#sukut#,#sukut#
#selaŋ#,#sulaŋ#
#sepet#,#suput#
#suŋaj#,#suŋaj#
#taɡek#,#taɡuk#
#taked#,#takud#
#talaɡa#,#talaɡa#
#tandaʔ#,#tandaʔ#
#tanan#,#tanan#
#tajaʔ#,#tajaʔ#
#taŋkal#,#taŋkal#
#tikis#,#tikis#
#tuŋɡil#,#tiŋɡil#
#tulaj#,#tulaj#
#tuntun#,#tuntun#
#tupad#,#tupad#
#tuŋkul#,#tuŋkul#
#taɡebuʔ#,#taɡbuʔ#
#taɡbuʔ#,#taɡbuʔ#
#tanud#,#tanud#
#tadʒip#,#tarip#
#tawad#,#tawad#
#taŋebuʔ#,#taŋbuʔ#
