input,output
#ʔabut#,#abut#
#anad#,#anad#
#atubaŋ#,#atubaŋ#
#bahen#,#bahun#
#bilas#,#bilas#
#bitin#,#bitin#
#buti#,#buti#
#butiʔ#,#butiʔ#
#bujuɡ#,#bujuɡ#
#beŋat#,#buŋat#
#buʔel#,#buʔul#
#buas#,#bwas#
#baɡaj#,#baɡaj#
#bantuɡ#,#bantuɡ#
#bitaj#,#bitaj#
#buniaɡ#,#bunjaɡ#
#besekadʒ#,#buskad#
#beskadʒ#,#buskad#
#buseʔak#,#busʔak#
#busʔak#,#busʔak#
#buʔuŋ#,#buʔuŋ#
#dalaɡan#,#dalaɡan#
#dujan#,#dujan#
#ɡabi#,#ɡabi#
#haŋad#,#haŋad#
#hebas#,#hubas#
#hampak#,#hampak#
#hapelit#,#haplit#
#haplit#,#haplit#
#haperus#,#haplus#
#haprus#,#haplus#
#hajep#,#hajup#
#hilut#,#hilut#
#hitaʔ#,#hitaʔ#
#hiwaʔ#,#hiwaʔ#
#kapuj#,#kapuj#
#laŋ#,#laŋ#
#labut#,#labut#
#lujluj#,#lujluj#
#man#,#man#
#pawikan#,#pawikan#
#pudʒuʔ#,#puluʔ#
#sipiʔ#,#sipiʔ#
#sikad#,#sikad#
#suka#,#suka#
#suput#,#suput#
#suŋaj#,#suŋaj#
#tajaʔ#,#tajaʔ#
#tulaj#,#tulaj#
#tapiʔ#,#tapiʔ#
#tulduʔ#,#tudluʔ#
#waswas#,#waswas#
#ʔaŋetedʒ#,#antud#
#ʔaŋtedʒ#,#antud#
#aŋaj#,#aŋaj#
#isip#,#isip#
#isul#,#isul#
#uɡbus#,#uɡbus#
#uɡtu#,#uɡtu#
