input,output
#ananaj#,#ananaj#
#kawitan#,#awiːtan#
#ʔaŋetedʒ#,#aŋtoɡ#
#ʔaŋtedʒ#,#aŋtoɡ#
#balikis#,#balikis#
#bawaŋ#,#bawaŋ#
#beseʔel#,#bohol#
#besʔel#,#bohol#
#belaj#,#bolaj#
#betek#,#botoʔ#
#buas#,#buah#
#bulud#,#bulud#
#buluɡ#,#buluɡ#
#butiʔ#,#buti#
#buŋbuŋ#,#buŋbuŋ#
#basul#,#baːhol#
#bitin#,#biːtin#
#bitu#,#biːtu#
#buɡaʔ#,#buːɡa#
#deldel#,#doldol#
#dapat#,#daːpat#
#dujan#,#daːjun#
#dulaw#,#duːlaw#
#sipsip#,#hiphip#
#suŋsuŋ#,#huŋhuŋ#
#sabuŋ#,#haːbuŋ#
#sapad#,#haːpad#
#saud#,#haːud#
#sikad#,#hiːʔad#
#sukaj#,#huːʔaj#
#kumpaj#,#kumpaj#
#lebaɡ#,#lobaɡ#
#luɡaw#,#luːɡaw#
#lusiʔ#,#luːhi#
#man#,#man#
#hesek#,#ohoʔ#
#pilit#,#piːlit#
#pulidʒ#,#puːliɡ#
#taʔ#,#ta#
#tiwatiw#,#tiwaːtiw#
#tepeŋ#,#topoŋ#
#tuɡiʔ#,#tuɡi#
#tadʒip#,#taːɡip#
#waswas#,#wahwah#
#wasiwas#,#wahiwaj#
#wiɡwiɡ#,#wiɡwiɡ#
#jamjam#,#jamjam#
#juŋjuŋ#,#juŋjuŋ#
#kajat#,#aːjat#
#aŋas#,#aːŋah#
#ŋarab#,#ŋaːlab#
#apa#,#aːpa#
