input,output
#abaka#,#abaka#
#habel#,#abol#
#hadawiʔ#,#adawi#
#hadawiʔ#,#adawi#
#aɡa#,#aɡa#
#ʔasud#,#ahud#
#ananaj#,#ananaj#
#haperus#,#aplu#
#haprus#,#aplu#
#kawitan#,#awiːtan#
#ʔaŋetedʒ#,#aŋtoɡ#
#ʔaŋtedʒ#,#aŋtoɡ#
#aŋaŋ#,#aŋaŋ#
#bakbak#,#bakbak#
#balituk#,#balituk#
#balituk#,#balitok#
#baliweswes#,#baliwohwo#
#balikis#,#balikis#
#balikes#,#balikoh#
#banutan#,#banutan#
#bawaŋ#,#bawaŋ#
#bajuɡ#,#bajuɡ#
#baŋeluh#,#baŋlo#
#baŋluh#,#baŋlo#
#bikelat#,#biklat#
#biklat#,#biklat#
#beseʔel#,#bohol#
#besʔel#,#bohol#
#beseʔel#,#bohʔol#
#besʔel#,#bohʔol#
#belaj#,#bolaj#
#belaj#,#bole#
#betek#,#botoʔ#
#betek#,#botok#
#buas#,#bua#
#buas#,#buah#
#budʒas#,#buɡa#
#busiʔ#,#buhi#
#buseʔak#,#buhak#
#busʔak#,#buhak#
#bulalakaw#,#bulalakaw#
#bulud#,#bulud#
#buluɡ#,#buluɡ#
#bunwit#,#bunwit#
#butakal#,#butakal#
#butikiʔ#,#butiki#
#butiʔ#,#buti#
#butiʔ#,#buti#
#buaɡ#,#buaɡ#
#buŋbuŋ#,#buŋbuŋ#
#buŋbuŋ#,#buŋbuŋ#
#buŋetut#,#buŋtut#
#buŋtut#,#buŋtut#
#baʔak#,#baak#
#balud#,#balud#
#baʔuɡ#,#bauɡ#
#bitin#,#bitin#
#bitu#,#bitu#
#buɡaʔ#,#buɡa#
#bulaɡ#,#bulaɡ#
#bulud#,#bulud#
#buɡetuŋ#,#buttoŋ#
#buɡtuŋ#,#buttoŋ#
#basul#,#baːhol#
#bitin#,#biːtin#
#bitu#,#biːtu#
#buɡaʔ#,#buːɡa#
#dakel#,#dakol#
#deket#,#deket#
#deket#,#dekket#
#desdes#,#dohdo#
#deldel#,#doldol#
#deldel#,#doldol#
#deŋdeŋ#,#doŋdoŋ#
#duldul#,#duldul#
#dakit#,#dakit#
#dapat#,#dapat#
#dawat#,#dawat#
#dujan#,#dajun#
#dudun#,#dudun#
#dulaw#,#dulo#
#dapat#,#daːpat#
#dujan#,#daːjun#
#dulaw#,#duːlaw#
#ɡabi#,#ɡabi#
#ɡelɡel#,#ɡolɡol#
#ɡabut#,#ɡabut#
#ɡilidʒ#,#ɡiliɡ#
#sabelaj#,#hable#
#sablaj#,#hable#
#sabuaɡ#,#habuwaɡ#
#sipsip#,#hiphip#
#siam#,#hijam#
#sedsed#,#hodhod#
#sensen#,#honhon#
#suŋsuŋ#,#huŋhuŋ#
#sadʒab#,#haɡab#
#sapad#,#hapad#
#sapuʔ#,#hapu#
#saud#,#haud#
#sibaj#,#hibe#
#sidaʔ#,#hida#
#simaʔ#,#hima#
#sabuŋ#,#haːbuŋ#
#sapad#,#haːpad#
#saud#,#haːud#
#sikad#,#hiːkad#
#sikad#,#hiːʔad#
#sukaj#,#huːʔaj#
#himatun#,#imaton#
#iwit#,#iwit#
#iŋʔiiŋ#,#iŋiiŋ#
#kiliŋ#,#kiliŋ#
#kedked#,#kodkod#
#kumpaj#,#kumpaj#
#kanap#,#kanap#
#kapuj#,#kapuj#
#kajat#,#kajat#
#kujuɡ#,#kujuɡ#
#laman#,#laman#
#lahus#,#lauh#
#lebaɡ#,#lobaɡ#
#lebaɡ#,#lobaɡ#
#lebeŋ#,#loboŋ#
#lukeban#,#lukban#
#lukban#,#lukban#
#luɡaw#,#luɡo#
#lutaʔ#,#luta#
#lutuj#,#lutuj#
#luɡaw#,#luːɡaw#
#lusiʔ#,#luːhi#
#man#,#man#
#man#,#man#
#hesek#,#ohok#
#hesek#,#ohoʔ#
#helek#,#olok#
#etak#,#otak#
#pilit#,#pilit#
#pitek#,#pitok#
#pulidʒ#,#puliɡ#
#pilit#,#piːlit#
#pulidʒ#,#puːliɡ#
#taʔ#,#ta#
#taʔ#,#ta#
#taduŋ#,#taddoŋ#
#takip#,#takip#
#tantan#,#tantan#
#taptap#,#taptap#
#taŋkal#,#taŋkal#
#timtim#,#timtim#
#tiwatiw#,#tiwatiw#
#tiwatiw#,#tiwaːtiw#
#tepeŋ#,#topoŋ#
#tepeŋ#,#topoŋ#
#tulduʔ#,#tuddu#
#tuɡiʔ#,#tuɡi#
#tukak#,#tukak#
#tadʒip#,#taɡip#
#takaŋ#,#takaŋ#
#tajaw#,#tajo#
#tajaw#,#tajaw#
#tiʔad#,#tiad#
#tulud#,#tulud#
#tadʒip#,#taːɡip#
#hulhul#,#ulul#
#hujap#,#ujap#
#waɡwaɡ#,#waɡwaɡ#
#waswas#,#wahwa#
#waswas#,#wahwah#
#wasiwas#,#wahiwa#
#wasiwas#,#wahiwaj#
#watwat#,#watwat#
#wiɡwiɡ#,#wiɡwiɡ#
#wiɡwiɡ#,#wiɡwiɡ#
#witwit#,#witwit#
#wakat#,#wakat#
#jabjab#,#jabjab#
#jamjam#,#jamjam#
#juŋjuŋ#,#juŋjuŋ#
#jukus#,#juku#
#haʔemuʔ#,#amo#
#haʔmuʔ#,#amo#
#aŋas#,#aŋah#
#iwik#,#iwik#
#hiŋak#,#iŋak#
#iŋel#,#iŋol#
#hubad#,#ubad#
#kajat#,#aːjat#
#aŋas#,#aːŋah#
#ŋarab#,#ŋalab#
#ŋarab#,#ŋaːlab#
#amiliʔ#,#amili#
#apa#,#apa#
