input,output
#ʔa#,#a#
#ʔa#,#a#
#abaka#,#abaka#
#habel#,#abel#
#ʔambidaj#,#abidaj#
#abidʒaj#,#abiɡaj#
#ʔambidʒaj#,#abiɡaj#
#adajuʔ#,#adajo#
#ʔaliaw#,#aliaw#
#alilaʔ#,#alila#
#halhal#,#alʔal#
#hambuɡ#,#ambuɡ#
#haʔemuʔ#,#amo#
#haʔmuʔ#,#amo#
#hampak#,#ampak#
#ananaj#,#ananaj#
#antabaj#,#antabaj#
#anam#,#anam#
#hapelit#,#aplit#
#haplit#,#aplit#
#aperus#,#apros#
#aprus#,#apros#
#apatut#,#apatot#
#araj#,#araj#
#ʔasud#,#asud#
#atab#,#atab#
#hawaw#,#awaw#
#baɡiat#,#baɡiat#
#baɡesak#,#baɡsak#
#baɡsak#,#baɡsak#
#baɡut#,#baɡot#
#baɡeʔut#,#baɡʔut#
#baɡʔut#,#baɡʔut#
#bakenis#,#baknis#
#baknis#,#baknis#
#bakaʔ#,#baka#
#balikutkut#,#balikutkut#
#balinu#,#balino#
#balutu#,#baloto#
#balat#,#balat#
#balajaŋ#,#balajaŋ#
#balikid#,#balikid#
#balitiʔ#,#baliti#
#balulaŋ#,#balulaŋ#
#banaba#,#banaba#
#baniakaw#,#baniakaw#
#bani#,#bani#
#barakilan#,#barakilan#
#baranban#,#baramban#
#baraŋɡaj#,#baraŋɡaj#
#bateŋ#,#bateŋ#
#bajbaj#,#bajbaj#
#bajuɡ#,#bajoɡ#
#bajaʔ#,#bajʔa#
#bahaj#,#baaj#
#baʔuɡ#,#baoɡ#
#baŋeluh#,#baŋlo#
#baŋluh#,#baŋlo#
#baŋus#,#baŋos#
#beheɲat#,#bennat#
#behɲat#,#bennat#
#betek#,#bettek#
#betek#,#bettek#
#beŋat#,#beŋŋat#
#biɡelaʔ#,#biɡla#
#biɡlaʔ#,#biɡla#
#bidʒaʔu#,#biɡaʔo#
#bisibis#,#bisibis#
#biu#,#bio#
#biŋat#,#biŋat#
#bukelaw#,#buklaw#
#buklaw#,#buklaw#
#bulediŋ#,#buldiŋ#
#buldiŋ#,#buldiŋ#
#buluɡ#,#buloɡ#
#buɡeris#,#buris#
#buɡris#,#buris#
#burudʒ#,#buroɡ#
#butbut#,#butbut#
#bual#,#bual#
#buaŋ#,#buaŋ#
#buŋetut#,#buŋtot#
#buŋtut#,#buŋtot#
#buŋaw#,#buŋaw#
