input,output
#hebas#,#abbaːt#
#abuju#,#abujo#
#ʔalibuŋbuŋ#,#aliboŋboŋ#
#epis#,#appit#
#apatut#,#apatut#
#apiŋ#,#apipiŋ#
#ʔasud#,#asud#
#aŋaŋ#,#aŋaŋ#
#bakes#,#bakat#
#balajaŋ#,#balajaŋ#
#balikid#,#balikid#
#balitiʔ#,#balisi#
#balulaŋ#,#balulaŋ#
#baniakaw#,#banijakaw#
#banuit#,#bannuwet#
#barat#,#barat#
#basula#,#basola#
#betek#,#battaʔ#
#bateŋ#,#bataŋ#
#bajbaj#,#bajbaj#
#bajuɡ#,#bajuɡ#
#bulbul#,#bulbul#
#bulediŋ#,#buldiŋ#
#buldiŋ#,#buldiŋ#
#buniaɡ#,#buniaːɡ#
#butiʔ#,#busi#
#butitiʔ#,#busisiʔ#
#bujbuj#,#bujbuj#
#bujuk#,#bujoʔ#
#buŋaw#,#buŋaw#
#buʔetis#,#buʔsit#
#buʔtis#,#buʔsit#
#baʔak#,#baaʔ#
#basi#,#basi#
#basul#,#basol#
#baŋaʔ#,#baŋa#
#bujuɡ#,#bujoɡ#
#dalaɡ#,#dalaɡ#
#diʔ#,#di#
#disul#,#disol#
#ditaʔ#,#dita#
#dudun#,#dodon#
#hirud#,#ilud#
#himatun#,#imaton#
#kabatiti#,#kabatiti#
#kabelit#,#kabbit#
#kablit#,#kabbit#
#kanumaj#,#kanumaj#
#katudaj#,#katudaj#
#kawitan#,#kawitaːn#
#kubkub#,#kubkub#
#kulili#,#kulili#
#kutaj#,#kuttaj#
#kiwal#,#kiwal#
#kulit#,#kulit#
#kulap#,#kulaːp#
#lebeŋ#,#labbaŋ#
#laman#,#laman#
#liped#,#lipad#
#luŋebuj#,#loŋboj#
#luŋbuj#,#loŋboj#
#luŋebuj#,#lumboj#
#luŋbuj#,#lumboj#
#lusak#,#lusaʔ#
#lajuɡ#,#lajuɡ#
#lipaj#,#lipaj#
#lubid#,#lubid#
#lutab#,#lutaːb#
#nakem#,#nakam#
#paɡeʔuŋ#,#paɡʔoŋ#
#paɡʔuŋ#,#paɡʔoŋ#
#paluŋ#,#paloŋ#
#paʔeliŋ#,#palʔiŋ#
#paʔliŋ#,#palʔiŋ#
#piŋkiʔ#,#piŋki#
#puseʔuŋ#,#pusoŋ#
#pusʔuŋ#,#pusoŋ#
#puŋan#,#puŋaːn#
#pasuʔ#,#paso#
#rabuŋ#,#raboŋ#
#ribuk#,#ribuʔ#
#sidaʔ#,#sida#
#sipeʔun#,#sipun#
#sipʔun#,#sipun#
#siam#,#sijaːm#
#tiŋen#,#siŋan#
#sikap#,#sikap#
#siluʔ#,#silo#
#sipiŋ#,#sipiŋ#
#siŋin#,#siŋin#
#taʔ#,#ta#
#taʔ#,#ta#
#tebel#,#tabbal#
#taɡtaɡ#,#taɡtaːɡ#
#taked#,#takad#
#taŋedan#,#taŋdaːn#
#taŋdan#,#taŋdaːn#
#tukak#,#tukaʔ#
#sapat#,#tapat#
#tapiʔ#,#tapi#
#tuleŋ#,#tulaŋ#
#hubad#,#ubaːd#
#ulajan#,#ulajan#
#waɡwaɡ#,#waɡwaːɡ#
#wajwaj#,#wajwaj#
#ɡawed#,#xawad#
#ɡubat#,#xubat#
#ɡujud#,#xujud#
#jeɡjeɡ#,#jaɡjaɡ#
#abat#,#abat#
#habuŋ#,#abuŋ#
#hapun#,#apon#
#idau#,#idaw#
#hilut#,#ilot#
#ipus#,#iput#
#hiwaʔ#,#iwa#
#iɡat#,#ixaːt#
#ŋarab#,#ŋarab#
#ŋatu#,#ŋato#
