input,output
#lebeŋ#,#ahbeŋ#
#banisah#,#banisa#
#kiwkiw#,#ciwciw#
#linak#,#dinak#
#lukeban#,#dukban#
#lukban#,#dukban#
#lanut#,#hanut#
#lubaj#,#hovaj#
#lubid#,#hovid#
#kabatiti#,#kabatiti#
#kanadem#,#kanarem#
#katana#,#katana#
#kutaj#,#kutaj#
#dudun#,#lolon#
#pasuʔ#,#paso#
#dulit#,#rodʒit#
#sabaŋ#,#sabaŋ#
#salujut#,#salujut#
#sawaj#,#sawaj#
#siam#,#siam#
#seledaŋ#,#sohdaŋ#
#seldaŋ#,#sohdaŋ#
#sauŋ#,#sooŋ#
#temtem#,#temtem#
#tuŋaw#,#tuŋaw#
#balitiʔ#,#vadici#
#balinu#,#vadino#
#basula#,#vahosa#
