input,output
#abaka#,#abaka#
#abala#,#abala#
#abaj#,#abe#
#abaj#,#ambaj#
#ʔaninaw#,#aninaw#
#atab#,#atab#
#balaʔih#,#balai#
#balitiʔ#,#balitiʔ#
#banaba#,#banaba#
#bajbaj#,#bebe#
#biɡelaʔ#,#biɡlaʔ#
#biɡlaʔ#,#biɡlaʔ#
#bilas#,#bilas#
#bulalakaw#,#bulalakaw#
#bulbul#,#bulbul#
#bulaɡ#,#bulaɡ#
#buŋiʔ#,#buŋiʔ#
#baɡaj#,#baɡe#
#bakal#,#bakal#
#banesaɡ#,#bansaɡ#
#bansaɡ#,#bansaɡ#
#bawas#,#bawas#
#bitin#,#bitin#
#buɡaʔ#,#buɡa#
#dakel#,#dakal#
#daliɡ#,#daliɡ#
#disul#,#disul#
#dujan#,#duːjan#
#duldul#,#duldul#
#dudun#,#durun#
#dabuŋ#,#dabuŋ#
#dalaw#,#dalo#
#daput#,#dapot#
#daput#,#daput#
#ɡalaŋ#,#ɡalaŋ#
#ɡapas#,#ɡapas#
#ɡilidʒ#,#ɡilid#
#ɡuɡuʔ#,#ɡuɡu#
#imut#,#imut#
#kabeɡ#,#kabaɡ#
#kalebit#,#kalbit#
#kalbit#,#kalbit#
#katudaj#,#kature#
#labas#,#labas#
#ladlad#,#ladlad#
#laɡuʔ#,#laɡuʔ#
#rakrak#,#laklak#
#lantik#,#lantik#
#lapu#,#lapu#
#laman#,#laman#
#litid#,#litid#
#lubid#,#lubid#
#man#,#man#
#maja#,#maja#
#pati#,#pati#
#pajpaj#,#pepe#
#puedʒ#,#puwad#
#paluŋ#,#paluŋ#
#papaɡ#,#papaɡ#
#pila#,#pila#
#pilit#,#pilit#
#salakeb#,#salakab#
#sarut#,#salut#
#samsam#,#samsam#
#sawsaw#,#sawsaw#
#siɡuk#,#siɡuk#
#sikad#,#sikad#
#sileʔab#,#silab#
#silʔab#,#silab#
#siŋaw#,#siŋo#
#sudsud#,#sudsud#
#suhaʔ#,#suaʔ#
#suhaʔ#,#swaʔ#
#siam#,#sjam#
#sipiŋ#,#sipiŋ#
#subuk#,#subuk#
#subuʔ#,#subuʔ#
#suput#,#suput#
#talaɡa#,#talaɡa#
#tadʒip#,#talip#
#taŋiliʔ#,#taŋle#
#taŋuʔ#,#taŋoʔ#
#taʔ#,#taʔ#
#tulduʔ#,#tulduʔ#
#turiʔ#,#tuliʔ#
#tikal#,#tikal#
#tipun#,#tipun#
#uɡtu#,#uɡtu#
#umah#,#uma#
#waɡwaɡ#,#waɡwaɡ#
#waswas#,#waswas#
#waʔwaʔ#,#wawaʔ#
#jatab#,#jatab#
#ʔabut#,#abut#
#aɡum#,#aɡum#
#hapun#,#apun#
#hilut#,#ilut#
#hilut#,#hilut#
#isip#,#isip#
#uŋut#,#uŋut#
