input,output
#habel#,#aboɭ#
#baliketad#,#balikotad#
#banehed#,#banod#
#banhed#,#banod#
#barat#,#barat#
#bitek#,#bitok#
#balutu#,#bolotu#
#baniakaw#,#boniakow#
#banutan#,#bonutan#
#bulbul#,#bubul#
#buti#,#busi#
#butitiʔ#,#busisiʔ#
#bujuk#,#bujuk#
#dapu#,#dapo#
#ɡiaw#,#ɡiow#
#hilaw#,#ilow#
#ipus#,#iput#
#kabaŋ#,#kabaŋ#
#keleb#,#kolob#
#liʔed#,#liod#
#liŋkep#,#liŋkop#
#lubid#,#lubid#
#alabat#,#olabat#
#alabat#,#labat#
#alinaw#,#olinow#
#epis#,#opit#
#petpet#,#popot#
#tipuʔ#,#sipuʔ#
#sapuʔ#,#tapuʔ#
#takaŋ#,#taŋkaŋ#
#sedaʔ#,#tojaʔ#
#tulud#,#tulud#
#upas#,#upat#
#uɡtu#,#utu#
