input,output
#ʔa#,#a#
#habel#,#abel#
#abuluj#,#aboloj#
#habuŋ#,#aboŋ#
#alilaʔ#,#alila#
#ʔalis#,#alis#
#dujan#,#andojan#
#antabaj#,#antabaj#
#aperus#,#aplos#
#aprus#,#aplos#
#apiŋ#,#apiŋ#
#baɡbaɡ#,#baɡbaɡ#
#bakes#,#bakes#
#bakal#,#bakal#
#balulaŋ#,#balolaŋ#
#banuit#,#banuit#
#banal#,#banal#
#basi#,#basi#
#bawas#,#bawas#
#bajbaj#,#bajbaj#
#bidʒaʔu#,#biɡao#
#biɡelaʔ#,#biɡla#
#biɡlaʔ#,#biɡla#
#bisibis#,#bisibis#
#bulilit#,#bolilit#
#buluɡ#,#boloɡ#
#bulaɡ#,#bulaɡ#
#buniaɡ#,#bunjaɡ#
#bual#,#bual#
#buas#,#buas#
#bawiʔ#,#bawi#
#bilaŋ#,#bilaŋ#
#bitaj#,#bitaj#
#bukenul#,#buknol#
#buknul#,#buknol#
#dabuk#,#dabok#
#dakel#,#dakel#
#dalaɡ#,#dalaɡ#
#daliʔ#,#dali#
#dalisaj#,#dalisaj#
#dapelis#,#daplis#
#daplis#,#daplis#
#deket#,#deket#
#diken#,#diken#
#dudun#,#duron#
#dalaw#,#dalaw#
#daldal#,#daldal#
#dapuʔ#,#dapo#
#daput#,#dapot#
#dawat#,#dawat#
#dajaw#,#dajew#
#dunuŋ#,#donoŋ#
#ekal#,#ekal#
#ɡilidʒ#,#ɡiliɡ#
#ɡulaman#,#ɡulaman#
#ɡalaŋ#,#ɡalaŋ#
#ɡaʔud#,#ɡaor#
#ɡetɡet#,#ɡetɡet#
#hiɡepit#,#iɡpit#
#hiɡpit#,#iɡpit#
#iɡat#,#iɡat#
#ikamen#,#ikamen#
#hilut#,#ilot#
#himatun#,#imaton#
#hinam#,#inam#
#kajas#,#kajas#
#kiliŋ#,#kiliŋ#
#kimat#,#kimat#
#kiwih#,#kiwi#
#kulili#,#kolili#
#kutak#,#kotak#
#kalaba#,#kalaba#
#kapuj#,#kapoj#
#laɡuʔ#,#laɡo#
#laman#,#laman#
#latak#,#latak#
#lahus#,#laos#
#lebaɡ#,#lebaɡ#
#likup#,#likop#
#linab#,#linab#
#linak#,#linak#
#linawa#,#linawa#
#liwaɡ#,#liwaɡ#
#liŋaw#,#liŋaw#
#lublub#,#loblob#
#lubid#,#lobir#
#lubus#,#lobos#
#lukesuh#,#lokso#
#luksuh#,#lokso#
#lukub#,#lokob#
#lanut#,#lanot#
#liput#,#lipot#
#mikmik#,#mikmik#
#minsan#,#minsan#
#nawnaw#,#nawnaw#
#nisnis#,#nisnis#
#uɡtu#,#oɡto#
#ulaʔul#,#olaol#
#huɲat#,#onat#
#uɲat#,#onat#
#paɡas#,#paɡas#
#palit#,#palit#
#paluŋ#,#paloŋ#
#pantuk#,#pantok#
#pataw#,#pataw#
#pati#,#pati#
#pajpaj#,#pajpaj#
#perper#,#perper#
#pisak#,#pisak#
#pudʒuʔ#,#poɡo#
#puli#,#poli#
#puedʒ#,#poeɡ#
#pusit#,#pusit#
#padpad#,#padpar#
#palpal#,#palpal#
#pilit#,#pilit#
#pinsan#,#pinsan#
#punit#,#ponit#
#puselit#,#poslit#
#puslit#,#poslit#
#sabuŋ#,#saboŋ#
#sakem#,#sakem#
#sakub#,#sakob#
#saliŋsiŋ#,#saliŋsiŋ#
#saluksuk#,#saloksok#
#salet#,#salet#
#salup#,#salop#
#samsam#,#samsam#
#sapenut#,#sapnot#
#sapnut#,#sapnot#
#sapsap#,#sapsap#
#sapat#,#sapat#
#sapin#,#sapin#
#saput#,#sapot#
#sawsaw#,#sawsaw#
#saiŋ#,#saiŋ#
#saŋi#,#saŋi#
#sedsed#,#sedser#
#sibaʔ#,#siba#
#sikap#,#sikap#
#simut#,#simot#
#sipsip#,#sipsip#
#sipiʔ#,#sipi#
#sipiŋ#,#sipiŋ#
#sidaʔ#,#sira#
#siraʔ#,#sira#
#siam#,#siam#
#siŋin#,#siŋin#
#subuʔ#,#sobo#
#sudsud#,#sorsor#
#suŋaw#,#soŋaw#
#sapin#,#sapin#
#sikat#,#sikat#
#sikil#,#sikil#
#siluŋ#,#siloŋ#
#simsim#,#simsim#
#tiʔeris#,#sirit#
#tiʔris#,#sirit#
#subuk#,#sobok#
#subaʔ#,#suba#
#suku#,#suko#
#suman#,#suman#
#suput#,#supot#
#taʔ#,#ta#
#taʔ#,#ta#
#tabak#,#tabak#
#takeba#,#takba#
#takba#,#takba#
#talaɡa#,#talaɡa#
#tarus#,#talos#
#tantan#,#tantan#
#taʔul#,#taol#
#taŋaʔ#,#taŋa#
#tebaɡ#,#tebaɡ#
#tepet#,#tepet#
#tumbalik#,#tombalik#
#tuʔun#,#toon#
#tupadʒ#,#topaɡ#
#talesik#,#talsik#
#talsik#,#talsik#
#tipun#,#tipon#
#waɡwaɡ#,#waɡwaɡ#
#jeɡjeɡ#,#jeɡjeɡ#
#abaj#,#abaj#
#ʔabut#,#abot#
#aɡum#,#aɡom#
#halhal#,#alal#
#ataŋ#,#ataŋ#
#hajep#,#ajep#
#iliw#,#iliw#
#isip#,#isip#
#iwas#,#iwas#
#ŋalŋal#,#ŋalŋal#
#akaj#,#akaj#
#alabaʔab#,#alabab#
