input,output
#baŋaʔ#,#baŋaʔ#
#bukelid#,#boklid#
#buklid#,#boklid#
#butbut#,#botbot#
#daɡaw#,#daɡaw#
#dapdap#,#dapdap#
#ɡalamaj#,#ɡalamaj#
#suka#,#hoka#
#subu#,#hombo#
#suʔaɡ#,#howaɡ#
#suŋaj#,#hoŋaj#
#pidek#,#kirɨp#
#rakrak#,#laklak#
#lantik#,#lantik#
#lanes#,#laneh#
#liŋaj#,#liŋaj#
#lublub#,#loblob#
#lapat#,#lapat#
#lajas#,#lajas#
#lepad#,#lɨpad#
#nakem#,#nakem#
#padpad#,#padpad#
#paluŋ#,#paloŋ#
#pudʒuʔ#,#poloʔ#
#punit#,#ponit#
#pujat#,#pojat#
#siam#,#sijam#
#siam#,#siam#
#taɡekes#,#taɡkeh#
#taɡkes#,#taɡkeh#
#talesik#,#talhik#
#talsik#,#talhik#
#taluntun#,#talonton#
#tadek#,#talek#
#talinum#,#talinom#
#tambuɡ#,#tamboɡ#
#taŋebuʔ#,#tamboʔ#
#taŋbuʔ#,#tamboʔ#
#tapuŋ#,#tapoŋ#
#tebaʔ#,#tebaʔ#
#timtim#,#timtim#
#tubaɡ#,#tobaɡ#
#tupiʔ#,#topiʔ#
#tujuʔ#,#tojoʔ#
#tuŋkul#,#toŋkol#
#tanud#,#tanod#
#tapiʔ#,#tapiʔ#
#taŋus#,#taŋos#
#tisaʔ#,#tisaʔ#
#tuleŋ#,#toleŋ#
#tutuj#,#totoj#
#wadwad#,#wadwad#
#wasaɡ#,#wahaɡ#
#jadjad#,#jadjad#
#jukjuk#,#jokjok#
#jukuʔ#,#jokoʔ#
#jatab#,#jatab#
#awaj#,#awaj#
#hiriɡ#,#iliɡ#
#upas#,#opah#
#uŋut#,#oŋot#
#aɡap#,#aɡap#
#aɡud#,#aɡol#
#apelaɡ#,#aplak#
#aplaɡ#,#aplak#
#apelak#,#aplak#
#aplak#,#aplak#
