input,output
#abat#,#abat#
#baduŋ#,#baduŋ#
#basal#,#basal#
#bateŋ#,#bataŋ#
#batun#,#batun#
#bawiʔ#,#bawik#
#bajuɡ#,#bajuɡ#
#beles#,#beles#
#beŋet#,#beŋet#
#bilaʔ#,#bilaʔ#
#bitek#,#bitek#
#buʔel#,#bukol#
#bulbul#,#bul#
#danaʔ#,#danaʔ#
#dawa#,#dawa#
#dilas#,#dilos#
#dabuŋ#,#dobuŋ#
#kepal#,#fol#
#ɡebaʔ#,#ɡbaʔ#
#pusek#,#husek#
#iba#,#iba#
#kabaŋ#,#kabaŋ#
#kapus#,#kafus#
#kabeɡ#,#kebeɡ#
#kiliŋ#,#kiliŋ#
#ɡiruk#,#kilok#
#keraʔ#,#kla#
#ʔadipen#,#klifen#
#lipat#,#klifot#
#kubkub#,#kukub#
#ʔujaɡ#,#kujaɡ#
#alabat#,#labat#
#labat#,#labat#
#labut#,#labut#
#lapi#,#lafi#
#lakun#,#lakun#
#lanut#,#lanut#
#lawit#,#lawit#
#adajuʔ#,#lajuk#
#luhenaw#,#lenaw#
#luhnaw#,#lenaw#
#limes#,#limes#
#saru#,#solu#
#suntuk#,#suntuk#
#suŋet#,#suŋet#
#siam#,#sjom#
#tanud#,#tanul#
#taŋkuŋ#,#taŋkuŋ#
#taŋkuŋ#,#tlaŋkuŋ#
#tebaɡ#,#tbaɡ#
#tebuɡ#,#tebuɡ#
#tulduʔ#,#tedok#
#tekuk#,#tekok#
#tahul#,#toul#
#tanud#,#tanud#
#umaw#,#umew#
#usiŋ#,#usiŋ#
#abaka#,#woɡu#
#amul#,#amul#
