input,output
#ʔawis#,#awih#
#ʔajaɡ#,#ajaʔ#
#adu#,#adu#
#ʔalesem#,#asam#
#asi#,#asoə#
#ataŋ#,#ateuəŋ#
#hawan#,#awan#
#awaj#,#awe#
#hajun#,#ajoːn#
#aŋkat#,#aŋkat#
#baŋbaŋ#,#bambaŋ#
#baŋkaj#,#baŋke#
#bekel#,#beukaj#
#benaŋ#,#beuneuŋ#
#bidaŋ#,#bideuəŋ#
#bilis#,#bileh#
#baisan#,#bisan#
#bisik#,#biseʔ#
#biŋkaj#,#biŋke#
#buken#,#bukon#
#burik#,#bureʔ#
#busuŋ#,#busoːŋ#
#buas#,#buəh#
#buŋkus#,#buŋkoih#
#dahdah#,#dada#
#ɡasiŋ#,#ɡaseŋ#
#ɡetɡet#,#ɡeuɡat#
#ɡenep#,#ɡeunab#
#ʔabiʔ#,#habeh#
#ʔirem#,#hiram#
#ibus#,#iboih#
#indaŋ#,#indaŋ#
#ʔipuʔ#,#ipoːh#
#isaŋ#,#iseueŋ#
#kaban#,#kawan#
#lupi#,#lumpoə#
#padaŋ#,#padaŋ#
#paɡi#,#paɡi#
#paɡu#,#paɡu#
#paku#,#paku#
#paluŋ#,#paloŋ#
#palis#,#paleh#
#paŋɡaŋ#,#paŋɡaŋ#
#paŋi#,#paŋe#
#salaj#,#salɛ#
#siaŋ#,#siaŋ#
#suɡi#,#suɡɔε#
#tumid#,#tumεt#
