input,output
#aba#,#aba#
#ataŋ#,#ataŋ#
#ataŋ#,#ataŋ#
#ʔajaɡ#,#ajaɡ#
#ajat#,#ajat#
#balanak#,#baeanak#
#balantik#,#baeatik#
#balatik#,#baeatik#
#balaŋaʔ#,#baeaŋa#
#balaŋa#,#baeaŋa#
#bakan#,#bakan#
#balidaʔ#,#balilaʔ#
#basbas#,#basbas#
#baties#,#batiʔis#
#bajuʔuŋ#,#bajuoŋ#
#baŋa#,#baŋa#
#baŋbaŋ#,#baŋbaŋ#
#baŋkiriŋ#,#baŋkiliŋ#
#bika#,#bika#
#bida#,#bira#
#biʔas#,#biʔas#
#butiti#,#botiti#
#budiŋ#,#budiŋ#
#beladʒ#,#buead#
#bulaŋ#,#bueaŋ#
#buhis#,#buhis#
#bukaʔ#,#bukaʔ#
#benal#,#bunae#
#badʒbadʒ#,#badbad#
#baɡaj#,#baɡaj#
#baɡuh#,#baɡo#
#banban#,#banban#
#bantal#,#bantae#
#bataʔ#,#bataʔ#
#batbat#,#batbat#
#batuk#,#batok#
#baŋkat#,#baŋkat#
#bakat#,#baŋkat#
#baŋkaw#,#baŋkaw#
#baŋkaj#,#baŋkaj#
#bihed#,#bihod#
#bilin#,#bilin#
#bintul#,#bintoe#
#budʒak#,#bueak#
#buɡbuɡ#,#buɡbuɡ#
#buhus#,#buhos#
#bekadʒ#,#bukad#
#bukaw#,#bukaw#
#buliɡ#,#buliɡ#
#beteken#,#butkon#
#bujuk#,#bujok#
#bujuʔ#,#bujoʔ#
#beŋbeŋ#,#buŋbuŋ#
#buŋkuɡ#,#buŋkoɡ#
#dapit#,#dapit#
#dalih#,#dahil#
#dapit#,#dapit#
#dapit#,#dapit#
#dilap#,#dilap#
#ladʒa#,#eaea#
#lampaw#,#eapaw#
#lapaw#,#eapaw#
#laun#,#eaon#
#laŋuj#,#eaŋoj#
#lemu#,#eumo#
#lupiʔ#,#eupiʔ#
#labeŋ#,#eaboŋ#
#latiʔ#,#eatiʔ#
#lanteʔas#,#eatʔas#
#lantʔas#,#eatʔas#
#lateʔas#,#eatʔas#
#latʔas#,#eatʔas#
#leɲedʒ#,#eunud#
#lutuʔ#,#eutoʔ#
#luja#,#euja#
#ɡawaŋ#,#ɡawaŋ#
#ɡaliŋ#,#ɡaliŋ#
#ɡujud#,#ɡujod#
#ɡujud#,#ɡujod#
#haluh#,#haeo#
#hurus#,#huros#
#hampaŋ#,#hampaŋ#
#hametak#,#hamtak#
#hawan#,#hawan#
#haŋus#,#haŋos#
#hilah#,#hila#
#hiwiʔ#,#hiwiʔ#
#hukas#,#hukas#
#humbak#,#humbak#
#hujaŋ#,#hujaŋ#
#isut#,#isot#
#ʔitik#,#itik#
#itik#,#itik#
#kaban#,#kaban#
#kabasi#,#kabasi#
#kalamaj#,#kaeamaj#
#kalat#,#kaeat#
#kapin#,#kapin#
#kureb#,#kueob#
#kezut#,#kurot#
#kamaŋ#,#kamaŋ#
#kazaŋ#,#karaŋ#
#kawiŋ#,#kawiŋ#
