input,output
#ʔajam#,#adʒa#
#ʔambawaŋ#,#ambawa#
#ansaw#,#anco#
#ʔawis#,#awi#
#baŋkaj#,#bake#
#balaʔ#,#bala#
#baladaw#,#balado#
#balian#,#balia#
#baliuŋ#,#baliu#
#banaeŋ#,#bana#
#basuŋ#,#bancu#
#baraŋan#,#baraŋa#
#balaʔ#,#baja#
#balulaŋ#,#bajuja#
#bias#,#bia#
#bikbik#,#bibi#
#biŋkeluŋ#,#biŋkolu#
#bawaŋ#,#boa#
#bebak#,#boba#
#beŋbeŋ#,#bobo#
#berit#,#bori#
#buɡa#,#buɡa#
#buŋbuŋ#,#bumbu#
#budul#,#bundu#
#butiti#,#butiti#
#bujaŋ#,#buja#
#dahdah#,#dada#
#ɡaliŋɡaŋ#,#ɡaliŋɡaŋ#
#ɡasiŋ#,#ɡanci#
#ɡimbal#,#ɡimba#
#ɡerɡer#,#ɡoɡo#
#ɡumpit#,#ɡumpi#
#ɡupit#,#ɡumpi#
#ilu#,#ilu#
#ʔipuʔ#,#impo#
#hinzam#,#inda#
#ʔinit#,#ini#
#kabal#,#kaba#
#kalikiʔ#,#kaliki#
#kaluŋ#,#kalu#
#kamas#,#kama#
#karanzaŋ#,#karanda#
#kemut#,#kemu#
#kidaj#,#kinde#
#kiraj#,#kire#
#kempuŋ#,#kompo#
#kepek#,#kopo#
#kerut#,#koru#
#kukuŋ#,#kuku#
#kulasa#,#kulasa#
#kumut#,#kumu#
#kuriʔik#,#kuri#
#kurud#,#kuru#
#kutuk#,#kutu#
#kundul#,#kuju#
#kudul#,#kuju#
#lalaw#,#lalo#
#lambaŋ#,#lamba#
#labaŋ#,#lamba#
#laŋkaj#,#laŋkaj#
#lalatu#,#lelatu#
#liŋa#,#liŋa#
#lemiʔ#,#lomi#
#eŋkab#,#oka#
#ekab#,#oka#
#eŋkaŋ#,#oŋka#
#padaŋ#,#pada#
#paku#,#paku#
#panes#,#pane#
#patuŋ#,#patu#
#paŋi#,#paŋi#
#pindaŋ#,#pidʒa#
#pinzit#,#pindi#
#pizit#,#pindi#
#pekaʔ#,#poka#
#pujuŋ#,#pudʒu#
#pueʔ#,#puə#
#rambut#,#rambu#
#raŋkaŋ#,#raŋka#
#saɡu#,#saɡu#
#saŋkep#,#sako#
#sakep#,#sako#
#sanda#,#sanda#
#sila#,#sila#
#simpir#,#simpi#
#siksik#,#sisi#
#siuʔ#,#siu#
#seleɡ#,#solo#
#sempit#,#sopi#
#seput#,#sopu#
#selsel#,#soso#
#sulit#,#suli#
#sumbir#,#sumbi#
#subir#,#sumbi#
#sumpiŋ#,#sumpi#
#sulsul#,#susu#
#suŋit#,#suŋi#
#tanzak#,#tada#
#taŋket#,#taka#
#taket#,#taka#
#tamanaŋ#,#tamana#
#tambaʔ#,#tamba#
#taniʔ#,#tani#
#tadu#,#taru#
#tawa#,#tawa#
#tilaj#,#tile#
#tilem#,#tilo#
#timbalaŋ#,#timbala#
#tendem#,#tondo#
#tedem#,#tondo#
#tendek#,#tondo#
#tepuʔ#,#topu#
#tunas#,#tuna#
#tubeliʔ#,#tuwele#
#tubliʔ#,#tuwele#
#ʔudud#,#udu#
#ujun#,#udʒu#
#uliʔ#,#uli#
#ubal#,#umba#
#utuŋ#,#untu#
#upit#,#upi#
#udahik#,#ure#
#bakan#,#waka#
#bali#,#wali#
#baliliŋ#,#walili#
#wasaj#,#wase#
#balaŋ#,#waja#
#balatuk#,#wajatu#
#benuaŋ#,#wenua#
#binuaŋ#,#winua#
#biʔuŋ#,#wiu#
#biŋkaj#,#wiŋke#
#bukaw#,#wuko#
#balian#,#wulia#
#budul#,#wundu#
#bunut#,#wunu#
#budiŋ#,#wuri#
#buʔul#,#wuʔu#
